priority,APN,COUNTY,Issue_Category,Num_Years_Lost,Total_Units_CSV,Years_Lost,Years_In_FC,spatial_parent_apns,match_types,Suggested_Action
HIGH: UNKNOWN + no genealogy,1319-30-514-011,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-514-000,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-514-012,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-514-000,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-514-014,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-514-000,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-514-015,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-514-000,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-514-017,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-514-000,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-514-018,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-514-000,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-514-019,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-514-000,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-514-020,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-514-000,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-514-021,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-514-000,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-514-022,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-514-000,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-514-024,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-514-000,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-515-001,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","1319-30-515-000, 1319-30-515-003",intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-519-004,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-519-020,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-519-005,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-519-001,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-519-007,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-519-024,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-519-013,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-519-024,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-520-001,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-520-000,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-520-002,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-520-024,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-520-006,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-520-017,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
