priority,APN,COUNTY,Issue_Category,Num_Years_Lost,Total_Units_CSV,Years_Lost,Years_In_FC,spatial_parent_apns,match_types,Suggested_Action
LOW:  in genealogy (review),1318-23-710-003,DG,PARCEL_SPLIT,10,10,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015]",1318-23-710-094,intersect,"APN present in FC through 2015, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1318-26-101-029,DG,PARCEL_SPLIT,5,10,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015]",1318-26-101-090,intersect,"APN present in FC through 2015, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1318-27-001-002,DG,PARCEL_SPLIT,10,10,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015]",1318-27-001-015,intersect,"APN present in FC through 2015, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1318-27-001-003,DG,PARCEL_SPLIT,10,10,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015]",1318-27-001-015,intersect,"APN present in FC through 2015, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1319-19-212-078,DG,PARCEL_SPLIT,5,10,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",1319-19-212-095,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1418-10-702-005,DG,PARCEL_SPLIT,5,10,"[2021, 2022, 2023, 2024, 2025]",[2013],1418-10-702-008,intersect,"APN present in FC through 2013, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1418-27-210-015,DG,PARCEL_SPLIT,10,10,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015]","1418-27-210-014, 1418-27-210-034",intersect,"APN present in FC through 2015, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1418-34-110-010,DG,PARCEL_SPLIT,5,10,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",1418-34-110-009,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1418-34-110-024,DG,PARCEL_SPLIT,10,10,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015]",1418-34-110-065,intersect,"APN present in FC through 2015, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1418-34-201-004,DG,PARCEL_SPLIT,10,10,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015]",1418-34-201-007,intersect,"APN present in FC through 2015, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1418-34-211-026,DG,PARCEL_SPLIT,10,10,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015]",1418-34-211-047,intersect,"APN present in FC through 2015, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),084-110-011,PL,PARCEL_SPLIT,9,9,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",084-110-026,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),097-122-013,PL,PARCEL_SPLIT,5,9,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]","097-122-031, 097-122-033",intersect,"APN present in FC through 2020, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),117-120-031,PL,PARCEL_SPLIT,9,9,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",117-120-041,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),123-032-12,WA,PARCEL_SPLIT,9,9,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]","123-032-26, 123-032-28",intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),129-292-07,WA,PARCEL_SPLIT,9,9,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",129-292-31,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),130-312-04,WA,PARCEL_SPLIT,9,9,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",130-312-30,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1318-15-601-003,DG,PARCEL_SPLIT,9,9,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",1318-15-601-005,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1418-10-702-006,DG,PARCEL_SPLIT,9,9,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",1418-10-702-009,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1418-27-210-029,DG,PARCEL_SPLIT,9,9,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",1418-27-210-036,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1418-34-110-003,DG,PARCEL_SPLIT,9,9,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]","1418-34-110-002, 1418-34-110-068",intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1418-34-401-010,DG,PARCEL_SPLIT,9,9,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",1418-34-401-029,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1418-34-401-011,DG,PARCEL_SPLIT,9,9,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",1418-34-401-028,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),083-063-023,PL,UNKNOWN,9,9,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]","[2021, 2022, 2023, 2024, 2025]",083-063-015,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
LOW:  in genealogy (review),117-100-089,PL,UNKNOWN,9,9,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]","[2021, 2022, 2023, 2024, 2025]",117-100-015,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
LOW:  in genealogy (review),015-104-009,,PARCEL_NEW,8,8,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",NEVER,015-104-024,intersect,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
LOW:  in genealogy (review),015-264-017,,PARCEL_NEW,8,8,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",NEVER,015-264-025,intersect,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
LOW:  in genealogy (review),017-021-015,,PARCEL_NEW,8,8,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",NEVER,017-021-031,intersect,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
LOW:  in genealogy (review),017-021-020,,PARCEL_NEW,8,8,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",NEVER,017-021-033,intersect,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
LOW:  in genealogy (review),018-320-011,,PARCEL_NEW,8,8,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",NEVER,018-320-018,intersect,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
LOW:  in genealogy (review),021-321-009,,PARCEL_NEW,8,8,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",NEVER,021-321-036,intersect,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
LOW:  in genealogy (review),027-313-002,,PARCEL_NEW,8,8,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",NEVER,027-313-016,intersect,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
LOW:  in genealogy (review),034-284-028,,PARCEL_NEW,8,8,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",NEVER,034-284-030,intersect,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
LOW:  in genealogy (review),036-543-011,,PARCEL_NEW,8,8,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",NEVER,036-472-009,intersect,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
LOW:  in genealogy (review),090-231-036,PL,PARCEL_SPLIT,8,8,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017]",090-231-052,intersect,"APN present in FC through 2017, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),092-190-052,PL,PARCEL_SPLIT,8,8,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017]",092-190-067,intersect,"APN present in FC through 2017, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),092-190-065,PL,PARCEL_SPLIT,8,8,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017]",092-190-068,intersect,"APN present in FC through 2017, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),098-210-031,PL,PARCEL_SPLIT,8,8,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017]",098-360-007,intersect,"APN present in FC through 2017, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),115-030-035,PL,PARCEL_SPLIT,8,8,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017]",115-030-100,intersect,"APN present in FC through 2017, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),117-180-037,PL,PARCEL_SPLIT,8,8,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017]",117-180-065,intersect,"APN present in FC through 2017, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),124-860-01,WA,PARCEL_SPLIT,8,8,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",124-860-07,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),124-860-02,WA,PARCEL_SPLIT,8,8,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",124-860-06,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),124-860-03,WA,PARCEL_SPLIT,8,8,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",124-860-05,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1318-10-415-062,DG,PARCEL_SPLIT,8,8,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017]",1318-10-415-072,intersect,"APN present in FC through 2017, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1318-25-110-010,DG,PARCEL_SPLIT,8,8,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017]","1318-25-110-013, 1318-25-110-016",intersect,"APN present in FC through 2017, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1319-19-710-031,DG,PARCEL_SPLIT,8,8,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017]",1319-19-710-048,intersect,"APN present in FC through 2017, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1319-19-710-032,DG,PARCEL_SPLIT,8,8,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017]",1319-19-710-049,intersect,"APN present in FC through 2017, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1418-34-210-007,DG,PARCEL_SPLIT,8,8,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017]",1418-34-210-032,intersect,"APN present in FC through 2017, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),015-370-022,EL,PARCEL_SPLIT,7,7,"[2019, 2020, 2021, 2022, 2023, 2024, 2025]",[2018],015-370-027,intersect,"APN present in FC through 2018, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),016-101-014,EL,PARCEL_SPLIT,7,7,"[2019, 2020, 2021, 2022, 2023, 2024, 2025]",[2018],016-101-095,intersect,"APN present in FC through 2018, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),083-074-003,PL,PARCEL_SPLIT,7,7,"[2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017, 2018]",083-074-019,intersect,"APN present in FC through 2018, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),090-030-044,PL,PARCEL_SPLIT,7,7,"[2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017, 2018]",090-030-046,intersect,"APN present in FC through 2018, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),090-262-013,PL,PARCEL_SPLIT,7,7,"[2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017, 2018]",090-262-015,intersect,"APN present in FC through 2018, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),098-164-009,PL,PARCEL_SPLIT,7,7,"[2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017, 2018]",098-164-016,intersect,"APN present in FC through 2018, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),117-150-040,PL,PARCEL_SPLIT,7,7,"[2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017, 2018]",117-150-048,intersect,"APN present in FC through 2018, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),123-032-26,WA,PARCEL_SPLIT,7,7,"[2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2017, 2018]",123-032-28,intersect,"APN present in FC through 2018, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),126-082-49,WA,PARCEL_SPLIT,7,7,"[2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017, 2018]",126-082-67,intersect,"APN present in FC through 2018, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1318-03-110-005,DG,PARCEL_SPLIT,7,7,"[2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017, 2018]",1318-03-110-035,intersect,"APN present in FC through 2018, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1318-09-810-103,DG,PARCEL_SPLIT,7,7,"[2019, 2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017, 2018]",1318-09-810-117,intersect,"APN present in FC through 2018, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1319-30-610-002,DG,PARCEL_SPLIT,7,7,"[2014, 2015, 2016, 2017, 2018, 2019, 2020]",[2013],1319-30-610-004,intersect,"APN present in FC through 2013, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),015-370-027,EL,UNKNOWN,7,7,"[2012, 2013, 2014, 2015, 2016, 2017, 2018]","[2019, 2020, 2021, 2022, 2023, 2024, 2025]","015-370-023, 015-370-23",intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
LOW:  in genealogy (review),090-233-036,PL,UNKNOWN,7,7,"[2012, 2013, 2014, 2015, 2016, 2017, 2018]","[2019, 2020, 2021, 2022, 2023, 2024, 2025]",090-233-001,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
LOW:  in genealogy (review),016-300-64,,PARCEL_NEW,6,6,"[2012, 2013, 2014, 2015, 2016, 2017]",NEVER,016-300-59,intersect,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
LOW:  in genealogy (review),018-320-18,,PARCEL_NEW,6,6,"[2012, 2013, 2014, 2015, 2016, 2017]",NEVER,"018-320-11, 018-320-12",intersect,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
LOW:  in genealogy (review),033-441-029,EL,PARCEL_SPLIT,6,6,"[2016, 2017, 2018, 2019, 2020, 2021]","[2022, 2023, 2024, 2025]","033-441-006, 033-441-06",intersect,"APN present in FC for some years but missing for: [2016, 2017, 2018, 2019, 2020, 2021]. Likely a parcel split or APN renaming event. Update CSV to reference successor APNs for affected years."
LOW:  in genealogy (review),094-350-021,PL,PARCEL_SPLIT,6,6,"[2017, 2018, 2019, 2020, 2021, 2022]","[2012, 2013, 2014, 2015, 2016, 2023, 2024, 2025]",094-350-037,intersect,"APN present in FC for some years but missing for: [2017, 2018, 2019, 2020, 2021, 2022]. Likely a parcel split or APN renaming event. Update CSV to reference successor APNs for affected years."
LOW:  in genealogy (review),117-100-004,PL,PARCEL_SPLIT,5,6,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017, 2018]",117-100-088,intersect,"APN present in FC through 2018, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),122-181-24,WA,PARCEL_SPLIT,6,6,"[2020, 2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",122-181-77,intersect,"APN present in FC through 2019, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1318-09-810-095,DG,PARCEL_SPLIT,3,6,"[2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",1318-09-810-118,intersect,"APN present in FC through 2022, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1418-27-210-031,DG,PARCEL_SPLIT,5,6,"[2021, 2022, 2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016]",1418-27-210-036,intersect,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1418-27-403-003,DG,PARCEL_SPLIT,3,6,"[2023, 2024, 2025]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",1418-27-403-005,intersect,"APN present in FC through 2022, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
LOW:  in genealogy (review),1418-34-211-046,DG,PARCEL_SPLIT,6,6,"[2013, 2021, 2022, 2023, 2024, 2025]","[2012, 2014, 2015]","1418-34-211-028, 1418-34-211-048",intersect,"APN present in FC for some years but missing for: [2013, 2021, 2022, 2023, 2024, 2025]. Likely a parcel split or APN renaming event. Update CSV to reference successor APNs for affected years."
LOW:  in genealogy (review),1418-10-610-003,DG,UNKNOWN,6,6,"[2012, 2013, 2014, 2015, 2016, 2017]","[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","1418-10-510-001, 1418-10-510-003",intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
LOW:  in genealogy (review),016-081-042,,PARCEL_NEW,5,5,"[2021, 2022, 2023, 2024, 2025]",NEVER,016-081-046,intersect,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
LOW:  in genealogy (review),016-081-043,,PARCEL_NEW,5,5,"[2021, 2022, 2023, 2024, 2025]",NEVER,016-081-045,intersect,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
LOW:  in genealogy (review),016-091-051,,PARCEL_NEW,5,5,"[2021, 2022, 2023, 2024, 2025]",NEVER,016-091-065,intersect,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
LOW:  in genealogy (review),016-300-021,,PARCEL_NEW,5,5,"[2021, 2022, 2023, 2024, 2025]",NEVER,016-300-063,intersect,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
LOW:  in genealogy (review),016-544-016,,PARCEL_NEW,5,5,"[2021, 2022, 2023, 2024, 2025]",NEVER,016-544-020,intersect,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
LOW:  in genealogy (review),017-021-018,,PARCEL_NEW,5,5,"[2021, 2022, 2023, 2024, 2025]",NEVER,017-021-033,intersect,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
LOW:  in genealogy (review),018-090-079,,PARCEL_NEW,5,5,"[2021, 2022, 2023, 2024, 2025]",NEVER,018-090-084,intersect,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
LOW:  in genealogy (review),018-300-006,,PARCEL_NEW,5,5,"[2021, 2022, 2023, 2024, 2025]",NEVER,018-300-023,intersect,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
LOW:  in genealogy (review),021-241-001,,PARCEL_NEW,5,5,"[2021, 2022, 2023, 2024, 2025]",NEVER,021-241-007,intersect,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
LOW:  in genealogy (review),021-321-033,,PARCEL_NEW,5,5,"[2021, 2022, 2023, 2024, 2025]",NEVER,021-321-035,intersect,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
LOW:  in genealogy (review),022-331-025,,PARCEL_NEW,5,5,"[2021, 2022, 2023, 2024, 2025]",NEVER,022-331-026,intersect,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
LOW:  in genealogy (review),023-341-003,,PARCEL_NEW,5,5,"[2021, 2022, 2023, 2024, 2025]",NEVER,023-341-020,intersect,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
LOW:  in genealogy (review),025-225-015,,PARCEL_NEW,5,5,"[2021, 2022, 2023, 2024, 2025]",NEVER,025-225-031,intersect,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
LOW:  in genealogy (review),025-451-017,,PARCEL_NEW,5,5,"[2021, 2022, 2023, 2024, 2025]",NEVER,025-451-028,intersect,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
LOW:  in genealogy (review),025-451-018,,PARCEL_NEW,5,5,"[2021, 2022, 2023, 2024, 2025]",NEVER,025-451-029,intersect,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
LOW:  in genealogy (review),025-510-090,,PARCEL_NEW,5,5,"[2021, 2022, 2023, 2024, 2025]",NEVER,025-510-095,intersect,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
LOW:  in genealogy (review),025-551-001,,PARCEL_NEW,5,5,"[2021, 2022, 2023, 2024, 2025]",NEVER,025-551-034,intersect,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
LOW:  in genealogy (review),026-034-008,,PARCEL_NEW,5,5,"[2021, 2022, 2023, 2024, 2025]",NEVER,026-034-019,intersect,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
LOW:  in genealogy (review),026-061-005,,PARCEL_NEW,5,5,"[2021, 2022, 2023, 2024, 2025]",NEVER,026-061-030,intersect,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
LOW:  in genealogy (review),026-139-023,,PARCEL_NEW,5,5,"[2021, 2022, 2023, 2024, 2025]",NEVER,026-139-044,intersect,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
LOW:  in genealogy (review),027-313-006,,PARCEL_NEW,5,5,"[2021, 2022, 2023, 2024, 2025]",NEVER,027-313-016,intersect,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
LOW:  in genealogy (review),027-313-012,,PARCEL_NEW,5,5,"[2021, 2022, 2023, 2024, 2025]",NEVER,027-313-017,intersect,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
LOW:  in genealogy (review),028-301-006,,PARCEL_NEW,5,5,"[2021, 2022, 2023, 2024, 2025]",NEVER,028-301-068,intersect,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
LOW:  in genealogy (review),029-095-006,,PARCEL_NEW,5,5,"[2021, 2022, 2023, 2024, 2025]",NEVER,029-630-029,intersect,APN never found in FC for any year. Verify parcel exists in AllParcels service. May need geometry fetch or CSV correction.
