CSV_APN,FC_APN,Year,Match_Type,APN_Changed
084-092-040,084-092-008,2013,intersect,True
090-223-046,090-223-008,2013,intersect,True
129-071-02,129-280-21,2013,intersect,True
129-071-06,129-280-21,2013,intersect,True
129-071-07,129-280-21,2013,intersect,True
129-071-10,129-290-01,2013,intersect,True
129-071-01,129-280-21,2013,intersect,True
1319-30-514-005,1319-30-514-000,2013,intersect,True
1319-30-514-002,1319-30-514-000,2013,intersect,True
1319-30-514-020,1319-30-514-000,2013,intersect,True
1319-19-213-003,1319-19-213-002,2013,intersect,True
1319-30-520-002,1319-30-520-024,2013,intersect,True
1319-30-520-014,1319-30-520-003,2013,intersect,True
1319-30-520-015,1319-30-520-000,2013,intersect,True
1319-30-519-007,1319-30-519-024,2013,intersect,True
1319-30-519-013,1319-30-519-024,2013,intersect,True
1319-30-520-001,1319-30-520-000,2013,intersect,True
1319-30-520-020,1319-30-520-031,2013,intersect,True
1319-30-520-021,1319-30-520-032,2013,intersect,True
1319-30-522-003,1319-30-523-003,2013,intersect,True
1319-30-522-004,1319-30-522-000,2013,intersect,True
1319-30-611-003,1319-30-611-000,2013,intersect,True
123-293-02,123-071-34,2013,intersect,True
123-293-03,123-071-34,2013,intersect,True
123-294-03,123-071-34,2013,intersect,True
123-295-01,123-071-34,2013,intersect,True
123-295-02,123-071-34,2013,intersect,True
123-295-05,123-071-34,2013,intersect,True
1318-23-315-025,1318-23-301-001,2013,intersect,True
1318-23-315-044,1318-23-301-001,2013,intersect,True
1318-23-315-041,1318-23-301-001,2013,intersect,True
1318-23-315-007,1318-23-301-001,2013,intersect,True
1318-23-315-031,1318-23-301-001,2013,intersect,True
1318-23-315-037,1318-23-301-001,2013,intersect,True
1318-23-315-036,1318-23-301-001,2013,intersect,True
1318-23-315-039,1318-23-301-001,2013,intersect,True
1318-23-315-004,1318-23-301-001,2013,intersect,True
1318-23-315-034,1318-23-301-001,2013,intersect,True
016-300-64,016-300-59,2013,intersect,True
017-021-31,017-021-15,2013,intersect,True
018-300-23,018-300-06,2013,intersect,True
027-323-19,027-323-10,2013,intersect,True
028-301-65,028-301-25,2013,intersect,True
031-084-17,031-084-03,2013,intersect,True
016-332-42,016-332-24,2013,intersect,True
029-095-29,029-095-21,2013,intersect,True
018-320-13,018-320-11,2013,intersect,True
025-451-29,025-451-18,2013,intersect,True
015-104-023,015-104-09,2013,intersect,True
029-620-02,029-381-50,2013,intersect,True
029-620-04,029-381-50,2013,intersect,True
029-620-06,029-381-50,2013,intersect,True
029-620-09,029-381-50,2013,intersect,True
029-630-10,029-095-06,2013,intersect,True
029-630-24,029-095-06,2013,intersect,True
029-630-14,029-450-18,2013,intersect,True
029-630-05,029-450-03,2013,intersect,True
029-630-25,029-095-06,2013,intersect,True
029-630-27,029-095-06,2013,intersect,True
029-710-001,029-441-21,2013,intersect,True
029-710-010,029-441-15,2013,intersect,True
029-710-019,029-441-21,2013,intersect,True
029-710-011,029-441-15,2013,intersect,True
029-710-018,029-441-15,2013,intersect,True
029-710-012,029-441-15,2013,intersect,True
029-710-017,029-441-15,2013,intersect,True
029-710-015,029-441-15,2013,intersect,True
028-340-001,028-011-19,2013,intersect,True
028-340-012,028-011-19,2013,intersect,True
028-340-017,028-011-19,2013,intersect,True
028-340-008,028-011-19,2013,intersect,True
028-340-009,028-011-19,2013,intersect,True
