Year,CSV_Total,FC_Total,Diff,Status
2012,6581919.0,6581919.0,0.0,OK
2013,6587387.0,6587387.0,0.0,OK
2014,6609450.0,6609450.0,0.0,OK
2015,6598123.0,6598123.0,0.0,OK
2016,6601783.0,6601783.0,0.0,OK
2017,6573092.0,6573092.0,0.0,OK
2018,6617617.0,6617617.0,0.0,OK
2019,6622199.0,6622199.0,0.0,OK
2020,6607012.0,6607012.0,0.0,OK
2021,6609588.0,6609588.0,0.0,OK
2022,6610535.0,6610535.0,0.0,OK
2023,6609970.0,6609970.0,0.0,OK
2024,6592958.0,6592958.0,0.0,OK
2025,6583769.0,6583769.0,0.0,OK
