row_index,reason,raw_apn,value
857,noncanonical_category_2023,015-302-38,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
895,noncanonical_category_2023,015-304-31,Over-Correction
897,noncanonical_category_2023,015-304-34,Correction Based on County Data
946,noncanonical_category_2023,015-313-30,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
964,noncanonical_category_2023,015-314-22,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
966,noncanonical_category_2023,015-314-25,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
974,noncanonical_category_2023,015-315-08,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
978,noncanonical_category_2023,015-315-16,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
984,noncanonical_category_2023,015-322-12,Correction Based on County Data
991,noncanonical_category_2023,015-322-27,Unit(s) Added Based on GIS (Errors)
992,noncanonical_category_2023,015-322-28,Correction Based on County Data
1107,noncanonical_category_2023,015-370-23,Over-Correction
1156,noncanonical_category_2023,015-400-06,Vacant Parcel
1157,noncanonical_category_2023,015-400-07,Vacant Parcel
1158,noncanonical_category_2023,015-400-10,Vacant Parcel
1189,noncanonical_category_2023,016-051-52,Over-Correction
1196,noncanonical_category_2023,016-052-04,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
1241,noncanonical_category_2023,016-081-42,Over-Correction
1242,noncanonical_category_2023,016-081-43,Over-Correction
1256,noncanonical_category_2023,016-091-42,Correction Based on County Data
1273,noncanonical_category_2023,016-101-14,Correction Based on County Data
1282,noncanonical_category_2023,016-101-77,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
1417,noncanonical_category_2023,016-211-14,Correction Based on County Data
1419,noncanonical_category_2023,016-211-16,Correction Based on County Data
1420,noncanonical_category_2023,016-211-17,Correction Based on County Data
1463,noncanonical_category_2023,016-251-04,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
1467,noncanonical_category_2023,016-251-09,Correction Based on County Data
1468,noncanonical_category_2023,016-251-12,Correction Based on County Data
1498,noncanonical_category_2023,016-300-21,Correction Based on County Data
1504,noncanonical_category_2023,016-300-56,Correction Based on County Data
1505,noncanonical_category_2023,016-300-57,Over-Correction
1506,noncanonical_category_2023,016-300-60,Correction Based on County Data
1507,noncanonical_category_2023,016-300-63,Correction Based on County Data
1538,noncanonical_category_2023,016-332-24,Correction Based on County Data
1544,noncanonical_category_2023,016-332-42,Correction Based on County Data
1631,noncanonical_category_2023,016-410-10,"Commercial, Not Residential"
1636,noncanonical_category_2023,016-421-06,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
1643,noncanonical_category_2023,016-423-03,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
1695,noncanonical_category_2023,016-462-06,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
1697,noncanonical_category_2023,016-462-08,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
1731,noncanonical_category_2023,016-522-01,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
1760,noncanonical_category_2023,016-544-08,Vacant Parcel
1764,noncanonical_category_2023,016-544-16,Correction Based on County Data
1766,noncanonical_category_2023,016-544-20,Correction Based on County Data
1788,noncanonical_category_2023,016-582-05,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
1805,noncanonical_category_2023,016-583-18,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
1806,noncanonical_category_2023,016-583-19,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
1824,noncanonical_category_2023,017-021-15,Correction Based on County Data
1825,noncanonical_category_2023,017-021-16,Over-Correction
1827,noncanonical_category_2023,017-021-18,Over-Correction
1828,noncanonical_category_2023,017-021-20,Over-Correction
1832,noncanonical_category_2023,017-021-28,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
1833,noncanonical_category_2023,017-021-31,Correction Based on County Data
1836,noncanonical_category_2023,017-041-20,Correction Based on County Data
1842,noncanonical_category_2023,017-041-34,Correction Based on County Data
1867,noncanonical_category_2023,018-090-12,Correction Based on County Data
1879,noncanonical_category_2023,018-090-79,Over-Correction
2007,noncanonical_category_2023,018-260-19,Vacant Parcel
2021,noncanonical_category_2023,018-270-11,Vacant Parcel
2046,noncanonical_category_2023,018-300-06,Correction Based on County Data
2047,noncanonical_category_2023,018-300-23,Correction Based on County Data
2048,noncanonical_category_2023,018-320-13,Correction Based on County Data
2186,noncanonical_category_2023,021-031-18,Correction Based on County Data
2188,noncanonical_category_2023,021-031-28,Correction Based on County Data
2189,noncanonical_category_2023,021-031-29,Unit(s) Added Based on GIS (Errors)
2190,noncanonical_category_2023,021-031-32,Correction Based on County Data
2191,noncanonical_category_2023,021-031-34,Correction Based on County Data
2212,noncanonical_category_2023,021-060-11,Correction Based on County Data
2215,noncanonical_category_2023,021-060-14,Correction Based on County Data
2230,noncanonical_category_2023,021-100-07,Vacant Parcel
2263,noncanonical_category_2023,021-180-20,Vacant Parcel
2278,noncanonical_category_2023,021-201-10,Correction Based on County Data
2279,noncanonical_category_2023,021-201-16,Correction Based on County Data
2288,noncanonical_category_2023,021-210-13,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
2289,noncanonical_category_2023,021-241-01,Correction Based on County Data
2290,noncanonical_category_2023,021-241-07,Correction Based on County Data
2292,noncanonical_category_2023,021-251-14,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
2307,noncanonical_category_2023,021-261-22,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
2325,noncanonical_category_2023,021-281-19,Vacant Parcel
2360,noncanonical_category_2023,021-321-09,Over-Correction
2363,noncanonical_category_2023,021-321-15,Vacant Parcel
2367,noncanonical_category_2023,021-321-29,Correction Based on County Data
2368,noncanonical_category_2023,021-321-30,Correction Based on County Data
2369,noncanonical_category_2023,021-321-32,Correction Based on County Data
2439,noncanonical_category_2023,022-021-06,Over-Correction
2876,noncanonical_category_2023,022-122-17,Correction Based on County Data
2878,noncanonical_category_2023,022-122-20,Correction Based on County Data
2971,noncanonical_category_2023,022-161-09,Correction Based on County Data
2978,noncanonical_category_2023,022-161-26,Correction Based on County Data
3033,noncanonical_category_2023,022-171-73,Correction Based on County Data
3036,noncanonical_category_2023,022-171-76,Correction Based on County Data
3050,noncanonical_category_2023,022-181-17,Correction Based on County Data
3052,noncanonical_category_2023,022-181-19,Correction Based on County Data
3152,noncanonical_category_2023,022-221-01,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
3605,noncanonical_category_2023,022-331-25,Correction Based on County Data
3606,noncanonical_category_2023,022-331-26,Correction Based on County Data
3636,noncanonical_category_2023,022-332-37,Correction Based on County Data
3657,noncanonical_category_2023,022-332-63,Correction Based on County Data
3686,noncanonical_category_2023,022-343-07,Correction Based on County Data
3696,noncanonical_category_2023,022-343-28,Correction Based on County Data
3712,noncanonical_category_2023,022-351-08,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
3720,noncanonical_category_2023,022-351-26,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
3721,noncanonical_category_2023,022-351-27,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
3949,noncanonical_category_2023,023-081-11,Correction Based on County Data
3950,noncanonical_category_2023,023-101-02,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
3982,noncanonical_category_2023,023-102-20,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
4052,noncanonical_category_2023,023-111-39,Over-Correction
4053,noncanonical_category_2023,023-111-46,"TAUs, Not Residential"
4069,noncanonical_category_2023,023-132-04,Over-Correction
4086,noncanonical_category_2023,023-141-03,Over-Correction
4087,noncanonical_category_2023,023-141-08,Over-Correction
4108,noncanonical_category_2023,023-151-03,Correction Based on County Data
4110,noncanonical_category_2023,023-151-11,Corrections based on County Data
4126,noncanonical_category_2023,023-161-05,Over-Correction
4137,noncanonical_category_2023,023-161-33,Corrections based on County Data
4143,noncanonical_category_2023,023-162-17,HOA/Common Area Corrections
4160,noncanonical_category_2023,023-181-29,Mobile Home Park Corrections
4163,noncanonical_category_2023,023-181-38,Over-Correction
4165,noncanonical_category_2023,023-181-45,Correction Based on County Data
4166,noncanonical_category_2023,023-181-46,Mobile Home Park Corrections
4175,noncanonical_category_2023,023-182-22,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
4189,noncanonical_category_2023,023-211-39,Over-Correction
4196,noncanonical_category_2023,023-221-39,Over-Correction
4200,noncanonical_category_2023,023-221-50,Corrections based on County Data
4201,noncanonical_category_2023,023-221-52,Corrections based on County Data
4202,noncanonical_category_2023,023-221-53,Corrections based on County Data
4208,noncanonical_category_2023,023-221-63,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
4209,noncanonical_category_2023,023-221-64,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
4212,noncanonical_category_2023,023-241-10,Mobile Home Park Corrections
4218,noncanonical_category_2023,023-241-38,Corrections based on County Data
4222,noncanonical_category_2023,023-251-26,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
4223,noncanonical_category_2023,023-251-27,Over-Correction
4224,noncanonical_category_2023,023-251-30,Correction Based on County Data
4240,noncanonical_category_2023,023-271-19,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
4259,noncanonical_category_2023,023-311-01,Over-Correction
4260,noncanonical_category_2023,023-311-10,Over-Correction
4263,noncanonical_category_2023,023-311-27,Over-Correction
4269,noncanonical_category_2023,023-321-10,Over-Correction
4270,noncanonical_category_2023,023-321-11,Over-Correction
4272,noncanonical_category_2023,023-321-15,Over-Correction
4287,noncanonical_category_2023,023-341-03,Correction Based on County Data
4289,noncanonical_category_2023,023-341-07,Correction Based on County Data
4296,noncanonical_category_2023,023-341-20,Correction Based on County Data
4300,noncanonical_category_2023,023-351-23,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
4301,noncanonical_category_2023,023-351-24,Corrections based on County Data
4303,noncanonical_category_2023,023-351-28,Over-Correction
4310,noncanonical_category_2023,023-362-18,Corrections based on County Data
4321,noncanonical_category_2023,023-372-06,Over-Correction
4324,noncanonical_category_2023,023-372-14,Over-Correction
4348,noncanonical_category_2023,023-392-16,Over-Correction
4353,noncanonical_category_2023,023-392-31,Over-Correction
4363,noncanonical_category_2023,023-393-31,HOA/Common Area Corrections
4370,noncanonical_category_2023,023-441-10,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
4382,noncanonical_category_2023,023-441-28,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
4421,noncanonical_category_2023,023-461-01,Corrections - Units Removed Based on County Data
4516,noncanonical_category_2023,023-482-11,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
4533,noncanonical_category_2023,023-491-28,Correction Based on County Data
4536,noncanonical_category_2023,023-491-33,Correction Based on County Data
4595,noncanonical_category_2023,023-502-46,Over-Correction
4596,noncanonical_category_2023,023-502-47,Corrections based on County Data
4615,noncanonical_category_2023,023-512-12,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
5032,noncanonical_category_2023,023-632-05,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
5106,noncanonical_category_2023,023-645-05,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
5200,noncanonical_category_2023,023-655-04,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
5302,noncanonical_category_2023,023-672-12,Vacant Parcel
5435,noncanonical_category_2023,023-694-07,Over-Correction
5461,noncanonical_category_2023,023-695-21,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.
5483,noncanonical_category_2023,023-700-01,Correction Based on County Data
5485,noncanonical_category_2023,023-700-19,Correction Based on County Data
5846,noncanonical_category_2023,023-781-06,Vacant Parcel
5882,noncanonical_category_2023,023-783-12,Corrections based on County Data
6061,noncanonical_category_2023,023-840-01,Mobile Home Park Corrections
6062,noncanonical_category_2023,023-840-02,Mobile Home Park Corrections
6063,noncanonical_category_2023,023-840-03,Mobile Home Park Corrections
6064,noncanonical_category_2023,023-840-04,Mobile Home Park Corrections
6065,noncanonical_category_2023,023-840-05,Mobile Home Park Corrections
