APN,COUNTY,Years_Lost,Num_Years_Lost,Total_Units_CSV,Years_In_FC,Issue_Category,Suggested_Action
084-110-014,,"[2021, 2022, 2023, 2024, 2025]",5,10,"[2012, 2013, 2014, 2015, 2016]",PARCEL_SPLIT,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
084-172-005,,"[2021, 2022, 2023, 2024, 2025]",5,10,"[2012, 2013, 2014, 2015, 2016]",PARCEL_SPLIT,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
090-071-008,,"[2021, 2022, 2023, 2024, 2025]",5,10,"[2012, 2013, 2014, 2015, 2016]",PARCEL_SPLIT,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
115-050-039,,"[2021, 2022, 2023, 2024, 2025]",5,10,"[2012, 2013, 2014, 2015, 2016, 2017, 2018]",PARCEL_SPLIT,"APN present in FC through 2018, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
117-180-038,,"[2021, 2022, 2023, 2024, 2025]",5,10,"[2012, 2013, 2014, 2015, 2016, 2017]",PARCEL_SPLIT,"APN present in FC through 2017, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
117-230-008,,[2013],1,10,"[2012, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",PARCEL_SPLIT,APN present in FC for some years but missing for: [2013]. Likely a parcel split or APN renaming event. Update CSV to reference successor APNs for affected years.
122-530-27,,"[2021, 2022, 2023, 2024, 2025]",5,10,"[2013, 2014]",PARCEL_SPLIT,"APN present in FC through 2014, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
130-241-52,,"[2021, 2022, 2023, 2024, 2025]",5,10,[2013],PARCEL_SPLIT,"APN present in FC through 2013, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
1318-10-310-015,,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",10,10,"[2012, 2013, 2014, 2015]",PARCEL_SPLIT,"APN present in FC through 2015, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
1318-10-310-036,,"[2021, 2022, 2023, 2024, 2025]",5,10,"[2012, 2013, 2014, 2015, 2016]",PARCEL_SPLIT,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
1318-23-212-005,,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",10,10,"[2012, 2013, 2014, 2015]",PARCEL_SPLIT,"APN present in FC through 2015, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
1318-23-212-006,,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",10,10,"[2012, 2013, 2014, 2015]",PARCEL_SPLIT,"APN present in FC through 2015, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
1318-23-710-003,,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",10,10,"[2012, 2013, 2014, 2015]",PARCEL_SPLIT,"APN present in FC through 2015, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
1318-26-101-029,,"[2021, 2022, 2023, 2024, 2025]",5,10,"[2012, 2013, 2014, 2015]",PARCEL_SPLIT,"APN present in FC through 2015, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
1318-27-001-002,,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",10,10,"[2012, 2013, 2014, 2015]",PARCEL_SPLIT,"APN present in FC through 2015, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
1318-27-001-003,,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",10,10,"[2012, 2013, 2014, 2015]",PARCEL_SPLIT,"APN present in FC through 2015, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
1319-19-212-078,,"[2021, 2022, 2023, 2024, 2025]",5,10,"[2012, 2013, 2014, 2015, 2016]",PARCEL_SPLIT,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
1418-10-702-005,,"[2021, 2022, 2023, 2024, 2025]",5,10,[2013],PARCEL_SPLIT,"APN present in FC through 2013, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
1418-27-210-015,,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",10,10,"[2012, 2013, 2014, 2015]",PARCEL_SPLIT,"APN present in FC through 2015, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
1418-34-110-010,,"[2021, 2022, 2023, 2024, 2025]",5,10,"[2012, 2013, 2014, 2015, 2016]",PARCEL_SPLIT,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
1418-34-110-024,,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",10,10,"[2012, 2013, 2014, 2015]",PARCEL_SPLIT,"APN present in FC through 2015, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
1418-34-201-004,,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",10,10,"[2012, 2013, 2014, 2015]",PARCEL_SPLIT,"APN present in FC through 2015, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
1418-34-211-026,,"[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",10,10,"[2012, 2013, 2014, 2015]",PARCEL_SPLIT,"APN present in FC through 2015, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
084-110-011,,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",9,9,"[2012, 2013, 2014, 2015, 2016]",PARCEL_SPLIT,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
117-120-031,,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",9,9,"[2012, 2013, 2014, 2015, 2016]",PARCEL_SPLIT,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
123-032-12,,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",9,9,"[2012, 2013, 2014, 2015, 2016]",PARCEL_SPLIT,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
129-292-07,,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",9,9,"[2012, 2013, 2014, 2015, 2016]",PARCEL_SPLIT,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
129-292-14,,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",9,9,"[2012, 2013, 2014, 2015, 2016]",PARCEL_SPLIT,"APN present in FC through 2016, then disappears. Parcel was likely split or re-numbered. Update CSV to reference successor APNs for years after split."
