APN,YL,Units_CSV,Year,APN_fixed,FC_Units,COUNTY
1319-30-520-006,2012 Final,1.0,2012,1319-30-520-006,,
1319-30-520-007,2012 Final,1.0,2012,1319-30-520-007,,
1319-30-520-008,2012 Final,1.0,2012,1319-30-520-008,,
1319-30-520-009,2012 Final,1.0,2012,1319-30-520-009,,
1319-30-520-010,2012 Final,1.0,2012,1319-30-520-010,,
1319-30-520-013,2012 Final,1.0,2012,1319-30-520-013,,
1319-30-520-014,2012 Final,1.0,2012,1319-30-520-014,,
1319-30-520-015,2012 Final,1.0,2012,1319-30-520-015,,
1319-30-520-019,2012 Final,1.0,2012,1319-30-520-019,,
1319-30-520-020,2012 Final,1.0,2012,1319-30-520-020,,
1319-30-520-021,2012 Final,1.0,2012,1319-30-520-021,,
1319-30-520-023,2012 Final,1.0,2012,1319-30-520-023,,
1319-30-520-025,2012 Final,1.0,2012,1319-30-520-025,,
1319-30-520-026,2012 Final,1.0,2012,1319-30-520-026,,
1319-30-520-030,2012 Final,1.0,2012,1319-30-520-030,,
1319-30-611-001,2012 Final,1.0,2012,1319-30-611-001,,
1319-30-611-002,2012 Final,1.0,2012,1319-30-611-002,,
1319-30-611-003,2012 Final,1.0,2012,1319-30-611-003,,
1319-30-611-004,2012 Final,1.0,2012,1319-30-611-004,,
1319-30-611-005,2012 Final,1.0,2012,1319-30-611-005,,
1319-30-611-006,2012 Final,1.0,2012,1319-30-611-006,,
1319-30-611-007,2012 Final,1.0,2012,1319-30-611-007,,
1319-30-611-008,2012 Final,1.0,2012,1319-30-611-008,,
1319-30-612-001,2012 Final,1.0,2012,1319-30-612-001,,
1319-30-612-002,2012 Final,1.0,2012,1319-30-612-002,,
1319-30-612-003,2012 Final,1.0,2012,1319-30-612-003,,
1319-30-612-004,2012 Final,1.0,2012,1319-30-612-004,,
1319-30-612-005,2012 Final,1.0,2012,1319-30-612-005,,
1319-30-612-007,2012 Final,1.0,2012,1319-30-612-007,,
1319-30-612-008,2012 Final,1.0,2012,1319-30-612-008,,
1319-30-612-009,2012 Final,1.0,2012,1319-30-612-009,,
1319-30-612-010,2012 Final,1.0,2012,1319-30-612-010,,
1319-30-612-011,2012 Final,1.0,2012,1319-30-612-011,,
1319-30-612-012,2012 Final,1.0,2012,1319-30-612-012,,
1319-30-614-004,2012 Final,1.0,2012,1319-30-614-004,,
1319-30-614-006,2012 Final,1.0,2012,1319-30-614-006,,
1319-30-614-007,2012 Final,1.0,2012,1319-30-614-007,,
1319-30-614-008,2012 Final,1.0,2012,1319-30-614-008,,
1319-30-615-001,2012 Final,1.0,2012,1319-30-615-001,,
1319-30-615-002,2012 Final,1.0,2012,1319-30-615-002,,
1319-30-615-003,2012 Final,1.0,2012,1319-30-615-003,,
1319-30-615-004,2012 Final,1.0,2012,1319-30-615-004,,
1319-30-615-005,2012 Final,1.0,2012,1319-30-615-005,,
1319-30-615-006,2012 Final,1.0,2012,1319-30-615-006,,
1319-30-617-001,2012 Final,1.0,2012,1319-30-617-001,,
1319-30-617-002,2012 Final,1.0,2012,1319-30-617-002,,
1319-30-617-003,2012 Final,1.0,2012,1319-30-617-003,,
1319-30-617-007,2012 Final,1.0,2012,1319-30-617-007,,
1319-30-617-009,2012 Final,1.0,2012,1319-30-617-009,,
1319-30-621-006,2012 Final,1.0,2012,1319-30-621-006,,
1319-30-622-006,2012 Final,1.0,2012,1319-30-622-006,,
1319-30-622-009,2012 Final,1.0,2012,1319-30-622-009,,
1319-30-622-010,2012 Final,1.0,2012,1319-30-622-010,,
1319-30-623-001,2012 Final,1.0,2012,1319-30-623-001,,
1319-30-624-001,2012 Final,1.0,2012,1319-30-624-001,,
1319-30-624-002,2012 Final,1.0,2012,1319-30-624-002,,
1319-30-624-003,2012 Final,1.0,2012,1319-30-624-003,,
1319-30-624-004,2012 Final,1.0,2012,1319-30-624-004,,
1319-30-625-001,2012 Final,1.0,2012,1319-30-625-001,,
1319-30-625-002,2012 Final,1.0,2012,1319-30-625-002,,
1319-30-625-003,2012 Final,1.0,2012,1319-30-625-003,,
1319-30-625-004,2012 Final,1.0,2012,1319-30-625-004,,
1319-30-626-001,2012 Final,1.0,2012,1319-30-626-001,,
1319-30-626-002,2012 Final,1.0,2012,1319-30-626-002,,
1319-30-626-003,2012 Final,1.0,2012,1319-30-626-003,,
1319-30-626-004,2012 Final,1.0,2012,1319-30-626-004,,
1319-30-710-001,2012 Final,1.0,2012,1319-30-710-001,,
1418-34-110-039,2012 Final,1.0,2012,1418-34-110-039,,
123-032-29,2012 Final,3.0,2012,123-032-29,,
117-110-072,2012 Final,1.0,2012,117-110-072,,
130-312-30,2012 Final,1.0,2012,130-312-30,,
027-313-16,2012 Final,2.0,2012,027-313-16,,
015-322-28,2013 Final,1.0,2013,015-322-28,,
016-091-42,2013 Final,1.0,2013,016-091-42,,
016-211-16,2013 Final,1.0,2013,016-211-16,,
016-211-17,2013 Final,1.0,2013,016-211-17,,
016-300-57,2013 Final,1.0,2013,016-300-57,,
016-300-63,2013 Final,1.0,2013,016-300-63,,
016-332-42,2013 Final,1.0,2013,016-332-42,,
016-544-20,2013 Final,1.0,2013,016-544-20,,
017-021-31,2013 Final,1.0,2013,017-021-31,,
017-041-34,2013 Final,1.0,2013,017-041-34,,
018-300-23,2013 Final,1.0,2013,018-300-23,,
018-320-13,2013 Final,1.0,2013,018-320-13,,
021-201-16,2013 Final,3.0,2013,021-201-16,,
021-241-07,2013 Final,1.0,2013,021-241-07,,
021-321-32,2013 Final,2.0,2013,021-321-32,,
022-331-26,2013 Final,1.0,2013,022-331-26,,
023-341-20,2013 Final,1.0,2013,023-341-20,,
025-224-20,2013 Final,2.0,2013,025-224-20,,
025-382-14,2013 Final,2.0,2013,025-382-14,,
028-301-65,2013 Final,1.0,2013,028-301-65,,
029-095-30,2013 Final,1.0,2013,029-095-30,,
029-602-13,2013 Final,1.0,2013,029-602-13,,
030-421-02,2013 Final,1.0,2013,030-421-02,,
031-084-17,2013 Final,1.0,2013,031-084-17,,
031-085-23,2013 Final,2.0,2013,031-085-23,,
033-255-06,2013 Final,1.0,2013,033-255-06,,
033-255-08,2013 Final,1.0,2013,033-255-08,,
034-722-44,2013 Final,1.0,2013,034-722-44,,
035-234-20,2013 Final,2.0,2013,035-234-20,,
036-472-09,2013 Final,1.0,2013,036-472-09,,
036-530-28,2013 Final,1.0,2013,036-530-28,,
083-075-037,2013 Final,1.0,2013,083-075-037,,
083-085-042,2013 Final,1.0,2013,083-085-042,,
083-151-030,2013 Final,1.0,2013,083-151-030,,
083-202-016,2013 Final,1.0,2013,083-202-016,,
083-202-017,2013 Final,1.0,2013,083-202-017,,
084-151-029,2013 Final,1.0,2013,084-151-029,,
084-151-030,2013 Final,1.0,2013,084-151-030,,
085-050-045,2013 Final,1.0,2013,085-050-045,,
085-180-017,2013 Final,1.0,2013,085-180-017,,
085-180-018,2013 Final,1.0,2013,085-180-018,,
090-222-051,2013 Final,8.0,2013,090-222-051,,
090-222-060,2013 Final,1.0,2013,090-222-060,,
092-160-032,2013 Final,1.0,2013,092-160-032,,
092-160-033,2013 Final,1.0,2013,092-160-033,,
092-190-053,2013 Final,1.0,2013,092-190-053,,
093-042-029,2013 Final,1.0,2013,093-042-029,,
093-042-032,2013 Final,1.0,2013,093-042-032,,
093-042-037,2013 Final,1.0,2013,093-042-037,,
093-042-038,2013 Final,1.0,2013,093-042-038,,
094-102-024,2013 Final,1.0,2013,094-102-024,,
094-122-058,2013 Final,1.0,2013,094-122-058,,
094-140-067,2013 Final,1.0,2013,094-140-067,,
094-171-010,2013 Final,1.0,2013,094-171-010,,
094-171-011,2013 Final,1.0,2013,094-171-011,,
094-233-015,2013 Final,1.0,2013,094-233-015,,
094-233-016,2013 Final,1.0,2013,094-233-016,,
095-510-035,2013 Final,1.0,2013,095-510-035,,
097-084-025,2013 Final,1.0,2013,097-084-025,,
097-100-045,2013 Final,1.0,2013,097-100-045,,
097-111-028,2013 Final,1.0,2013,097-111-028,,
097-122-002,2013 Final,1.0,2013,097-122-002,,
097-122-015,2013 Final,1.0,2013,097-122-015,,
098-010-038,2013 Final,1.0,2013,098-010-038,,
098-010-040,2013 Final,1.0,2013,098-010-040,,
098-210-039,2013 Final,1.0,2013,098-210-039,,
112-180-078,2013 Final,1.0,2013,112-180-078,,
112-190-040,2013 Final,1.0,2013,112-190-040,,
112-190-065,2013 Final,1.0,2013,112-190-065,,
112-190-066,2013 Final,1.0,2013,112-190-066,,
115-020-042,2013 Final,1.0,2013,115-020-042,,
116-220-061,2013 Final,1.0,2013,116-220-061,,
116-220-062,2013 Final,2.0,2013,116-220-062,,
117-020-025,2013 Final,1.0,2013,117-020-025,,
117-071-025,2013 Final,1.0,2013,117-071-025,,
117-071-051,2013 Final,1.0,2013,117-071-051,,
117-071-052,2013 Final,1.0,2013,117-071-052,,
117-210-014,2013 Final,1.0,2013,117-210-014,,
117-230-008,2013 Final,1.0,2013,117-230-008,,
117-230-009,2013 Final,1.0,2013,117-230-009,,
122-181-37,2013 Final,1.0,2013,122-181-37,,
122-530-37,2013 Final,2.0,2013,122-530-37,,
123-021-04,2013 Final,1.0,2013,123-021-04,,
123-032-01,2013 Final,4.0,2013,123-032-01,,
123-131-05,2013 Final,1.0,2013,123-131-05,,
123-152-08,2013 Final,1.0,2013,123-152-08,,
123-161-32,2013 Final,1.0,2013,123-161-32,,
125-163-39,2013 Final,1.0,2013,125-163-39,,
125-172-33,2013 Final,1.0,2013,125-172-33,,
125-172-34,2013 Final,1.0,2013,125-172-34,,
125-232-29,2013 Final,1.0,2013,125-232-29,,
126-082-66,2013 Final,1.0,2013,126-082-66,,
130-241-62,2013 Final,2.0,2013,130-241-62,,
130-241-63,2013 Final,1.0,2013,130-241-63,,
130-241-64,2013 Final,1.0,2013,130-241-64,,
130-332-10,2013 Final,1.0,2013,130-332-10,,
130-332-12,2013 Final,1.0,2013,130-332-12,,
130-332-13,2013 Final,1.0,2013,130-332-13,,
1318-15-711-030,2013 Final,1.0,2013,1318-15-711-030,,
1318-15-711-031,2013 Final,1.0,2013,1318-15-711-031,,
1319-19-710-001,2013 Final,1.0,2013,1319-19-710-001,,
1319-30-514-002,2013 Final,1.0,2013,1319-30-514-002,,
1319-30-514-003,2013 Final,1.0,2013,1319-30-514-003,,
1319-30-514-004,2013 Final,1.0,2013,1319-30-514-004,,
1319-30-514-005,2013 Final,1.0,2013,1319-30-514-005,,
1319-30-514-007,2013 Final,1.0,2013,1319-30-514-007,,
1319-30-514-008,2013 Final,1.0,2013,1319-30-514-008,,
1319-30-514-009,2013 Final,1.0,2013,1319-30-514-009,,
1319-30-514-011,2013 Final,1.0,2013,1319-30-514-011,,
1319-30-514-012,2013 Final,1.0,2013,1319-30-514-012,,
1319-30-514-014,2013 Final,1.0,2013,1319-30-514-014,,
1319-30-514-015,2013 Final,1.0,2013,1319-30-514-015,,
1319-30-514-017,2013 Final,1.0,2013,1319-30-514-017,,
1319-30-514-018,2013 Final,1.0,2013,1319-30-514-018,,
1319-30-514-019,2013 Final,1.0,2013,1319-30-514-019,,
1319-30-514-020,2013 Final,1.0,2013,1319-30-514-020,,
1319-30-514-021,2013 Final,1.0,2013,1319-30-514-021,,
1319-30-514-022,2013 Final,1.0,2013,1319-30-514-022,,
1319-30-514-024,2013 Final,1.0,2013,1319-30-514-024,,
1319-30-515-001,2013 Final,1.0,2013,1319-30-515-001,,
1319-30-515-002,2013 Final,1.0,2013,1319-30-515-002,,
1319-30-515-003,2013 Final,1.0,2013,1319-30-515-003,,
1319-30-515-004,2013 Final,1.0,2013,1319-30-515-004,,
1319-30-519-004,2013 Final,1.0,2013,1319-30-519-004,,
1319-30-519-005,2013 Final,1.0,2013,1319-30-519-005,,
1319-30-519-007,2013 Final,1.0,2013,1319-30-519-007,,
1319-30-519-013,2013 Final,1.0,2013,1319-30-519-013,,
1319-30-520-001,2013 Final,1.0,2013,1319-30-520-001,,
1319-30-520-002,2013 Final,1.0,2013,1319-30-520-002,,
1319-30-520-006,2013 Final,1.0,2013,1319-30-520-006,,
1319-30-520-007,2013 Final,1.0,2013,1319-30-520-007,,
1319-30-520-008,2013 Final,1.0,2013,1319-30-520-008,,
1319-30-520-009,2013 Final,1.0,2013,1319-30-520-009,,
1319-30-520-010,2013 Final,1.0,2013,1319-30-520-010,,
1319-30-520-013,2013 Final,1.0,2013,1319-30-520-013,,
1319-30-520-014,2013 Final,1.0,2013,1319-30-520-014,,
1319-30-520-015,2013 Final,1.0,2013,1319-30-520-015,,
1319-30-520-019,2013 Final,1.0,2013,1319-30-520-019,,
1319-30-520-020,2013 Final,1.0,2013,1319-30-520-020,,
1319-30-520-021,2013 Final,1.0,2013,1319-30-520-021,,
1319-30-520-023,2013 Final,1.0,2013,1319-30-520-023,,
1319-30-520-025,2013 Final,1.0,2013,1319-30-520-025,,
1319-30-520-026,2013 Final,1.0,2013,1319-30-520-026,,
1319-30-520-030,2013 Final,1.0,2013,1319-30-520-030,,
1319-30-610-003,2013 Final,1.0,2013,1319-30-610-003,,
1319-30-610-004,2013 Final,1.0,2013,1319-30-610-004,,
1319-30-611-001,2013 Final,1.0,2013,1319-30-611-001,,
1319-30-611-002,2013 Final,1.0,2013,1319-30-611-002,,
1319-30-611-003,2013 Final,1.0,2013,1319-30-611-003,,
1319-30-611-004,2013 Final,1.0,2013,1319-30-611-004,,
1319-30-611-005,2013 Final,1.0,2013,1319-30-611-005,,
1319-30-611-006,2013 Final,1.0,2013,1319-30-611-006,,
1319-30-611-007,2013 Final,1.0,2013,1319-30-611-007,,
1319-30-611-008,2013 Final,1.0,2013,1319-30-611-008,,
1319-30-612-001,2013 Final,1.0,2013,1319-30-612-001,,
1319-30-612-002,2013 Final,1.0,2013,1319-30-612-002,,
1319-30-612-003,2013 Final,1.0,2013,1319-30-612-003,,
1319-30-612-004,2013 Final,1.0,2013,1319-30-612-004,,
1319-30-612-005,2013 Final,1.0,2013,1319-30-612-005,,
1319-30-612-007,2013 Final,1.0,2013,1319-30-612-007,,
1319-30-612-008,2013 Final,1.0,2013,1319-30-612-008,,
1319-30-612-009,2013 Final,1.0,2013,1319-30-612-009,,
1319-30-612-010,2013 Final,1.0,2013,1319-30-612-010,,
1319-30-612-011,2013 Final,1.0,2013,1319-30-612-011,,
1319-30-612-012,2013 Final,1.0,2013,1319-30-612-012,,
1319-30-614-004,2013 Final,1.0,2013,1319-30-614-004,,
1319-30-614-006,2013 Final,1.0,2013,1319-30-614-006,,
1319-30-614-007,2013 Final,1.0,2013,1319-30-614-007,,
1319-30-614-008,2013 Final,1.0,2013,1319-30-614-008,,
1319-30-615-001,2013 Final,1.0,2013,1319-30-615-001,,
1319-30-615-002,2013 Final,1.0,2013,1319-30-615-002,,
1319-30-615-003,2013 Final,1.0,2013,1319-30-615-003,,
1319-30-615-004,2013 Final,1.0,2013,1319-30-615-004,,
1319-30-615-005,2013 Final,1.0,2013,1319-30-615-005,,
1319-30-615-006,2013 Final,1.0,2013,1319-30-615-006,,
1319-30-617-001,2013 Final,1.0,2013,1319-30-617-001,,
1319-30-617-002,2013 Final,1.0,2013,1319-30-617-002,,
1319-30-617-003,2013 Final,1.0,2013,1319-30-617-003,,
1319-30-617-007,2013 Final,1.0,2013,1319-30-617-007,,
1319-30-617-009,2013 Final,1.0,2013,1319-30-617-009,,
1319-30-621-006,2013 Final,1.0,2013,1319-30-621-006,,
1319-30-622-006,2013 Final,1.0,2013,1319-30-622-006,,
1319-30-622-009,2013 Final,1.0,2013,1319-30-622-009,,
1319-30-622-010,2013 Final,1.0,2013,1319-30-622-010,,
1319-30-623-001,2013 Final,1.0,2013,1319-30-623-001,,
1319-30-624-001,2013 Final,1.0,2013,1319-30-624-001,,
1319-30-624-002,2013 Final,1.0,2013,1319-30-624-002,,
1319-30-624-003,2013 Final,1.0,2013,1319-30-624-003,,
1319-30-624-004,2013 Final,1.0,2013,1319-30-624-004,,
1319-30-625-001,2013 Final,1.0,2013,1319-30-625-001,,
1319-30-625-002,2013 Final,1.0,2013,1319-30-625-002,,
1319-30-625-003,2013 Final,1.0,2013,1319-30-625-003,,
1319-30-625-004,2013 Final,1.0,2013,1319-30-625-004,,
1319-30-626-001,2013 Final,1.0,2013,1319-30-626-001,,
1319-30-626-002,2013 Final,1.0,2013,1319-30-626-002,,
1319-30-626-003,2013 Final,1.0,2013,1319-30-626-003,,
1319-30-626-004,2013 Final,1.0,2013,1319-30-626-004,,
1319-30-710-001,2013 Final,1.0,2013,1319-30-710-001,,
132-612-01,2013 Final,1.0,2013,132-612-01,,
1418-03-401-017,2013 Final,1.0,2013,1418-03-401-017,,
1418-10-702-008,2013 Final,2.0,2013,1418-10-702-008,,
1418-10-802-008,2013 Final,8.0,2013,1418-10-802-008,,
1418-27-601-008,2013 Final,2.0,2013,1418-27-601-008,,
1418-34-110-039,2013 Final,1.0,2013,1418-34-110-039,,
1418-34-211-046,2013 Final,1.0,2013,1418-34-211-046,,
1418-34-310-014,2013 Final,1.0,2013,1418-34-310-014,,
1418-34-401-027,2013 Final,1.0,2013,1418-34-401-027,,
090-074-027,2013 Final,2.0,2013,090-074-027,,
117-110-072,2013 Final,1.0,2013,117-110-072,,
130-312-30,2013 Final,1.0,2013,130-312-30,,
027-313-16,2013 Final,2.0,2013,027-313-16,,
015-264-17,2014 Final,1.0,2014,015-264-17,,
016-091-42,2014 Final,1.0,2014,016-091-42,,
016-300-57,2014 Final,1.0,2014,016-300-57,,
017-041-34,2014 Final,1.0,2014,017-041-34,,
021-321-32,2014 Final,2.0,2014,021-321-32,,
025-224-20,2014 Final,2.0,2014,025-224-20,,
028-301-65,2014 Final,1.0,2014,028-301-65,,
029-602-13,2014 Final,1.0,2014,029-602-13,,
031-084-17,2014 Final,1.0,2014,031-084-17,,
031-085-23,2014 Final,2.0,2014,031-085-23,,
033-255-06,2014 Final,1.0,2014,033-255-06,,
033-255-08,2014 Final,1.0,2014,033-255-08,,
035-234-20,2014 Final,2.0,2014,035-234-20,,
036-530-28,2014 Final,1.0,2014,036-530-28,,
036-543-11,2014 Final,1.0,2014,036-543-11,,
083-151-030,2014 Final,1.0,2014,083-151-030,,
083-202-016,2014 Final,1.0,2014,083-202-016,,
083-202-017,2014 Final,1.0,2014,083-202-017,,
084-151-029,2014 Final,1.0,2014,084-151-029,,
084-151-030,2014 Final,1.0,2014,084-151-030,,
085-050-045,2014 Final,1.0,2014,085-050-045,,
090-222-051,2014 Final,8.0,2014,090-222-051,,
090-222-060,2014 Final,1.0,2014,090-222-060,,
092-190-053,2014 Final,1.0,2014,092-190-053,,
093-042-029,2014 Final,1.0,2014,093-042-029,,
093-042-032,2014 Final,1.0,2014,093-042-032,,
093-042-037,2014 Final,1.0,2014,093-042-037,,
093-042-038,2014 Final,1.0,2014,093-042-038,,
094-102-024,2014 Final,1.0,2014,094-102-024,,
094-122-058,2014 Final,1.0,2014,094-122-058,,
094-140-067,2014 Final,1.0,2014,094-140-067,,
094-171-010,2014 Final,1.0,2014,094-171-010,,
094-171-011,2014 Final,1.0,2014,094-171-011,,
094-233-015,2014 Final,1.0,2014,094-233-015,,
094-233-016,2014 Final,1.0,2014,094-233-016,,
097-100-045,2014 Final,1.0,2014,097-100-045,,
097-122-002,2014 Final,1.0,2014,097-122-002,,
097-122-015,2014 Final,1.0,2014,097-122-015,,
097-130-029,2014 Final,1.0,2014,097-130-029,,
098-010-038,2014 Final,1.0,2014,098-010-038,,
098-010-040,2014 Final,1.0,2014,098-010-040,,
098-210-039,2014 Final,1.0,2014,098-210-039,,
112-180-009,2014 Final,1.0,2014,112-180-009,,
112-180-078,2014 Final,1.0,2014,112-180-078,,
112-190-040,2014 Final,1.0,2014,112-190-040,,
112-190-065,2014 Final,1.0,2014,112-190-065,,
112-190-066,2014 Final,1.0,2014,112-190-066,,
117-020-025,2014 Final,1.0,2014,117-020-025,,
117-071-025,2014 Final,1.0,2014,117-071-025,,
122-181-37,2014 Final,1.0,2014,122-181-37,,
122-530-37,2014 Final,2.0,2014,122-530-37,,
123-021-04,2014 Final,1.0,2014,123-021-04,,
123-032-01,2014 Final,4.0,2014,123-032-01,,
123-131-05,2014 Final,1.0,2014,123-131-05,,
125-172-33,2014 Final,1.0,2014,125-172-33,,
125-172-34,2014 Final,1.0,2014,125-172-34,,
125-232-29,2014 Final,1.0,2014,125-232-29,,
126-080-25,2014 Final,1.0,2014,126-080-25,,
1318-15-711-030,2014 Final,1.0,2014,1318-15-711-030,,
1318-15-711-031,2014 Final,1.0,2014,1318-15-711-031,,
1319-30-514-002,2014 Final,1.0,2014,1319-30-514-002,,
1319-30-514-003,2014 Final,1.0,2014,1319-30-514-003,,
1319-30-514-004,2014 Final,1.0,2014,1319-30-514-004,,
1319-30-514-005,2014 Final,1.0,2014,1319-30-514-005,,
1319-30-514-007,2014 Final,1.0,2014,1319-30-514-007,,
1319-30-514-008,2014 Final,1.0,2014,1319-30-514-008,,
1319-30-514-009,2014 Final,1.0,2014,1319-30-514-009,,
1319-30-514-011,2014 Final,1.0,2014,1319-30-514-011,,
1319-30-514-012,2014 Final,1.0,2014,1319-30-514-012,,
1319-30-514-014,2014 Final,1.0,2014,1319-30-514-014,,
1319-30-514-015,2014 Final,1.0,2014,1319-30-514-015,,
1319-30-514-017,2014 Final,1.0,2014,1319-30-514-017,,
1319-30-514-018,2014 Final,1.0,2014,1319-30-514-018,,
1319-30-514-019,2014 Final,1.0,2014,1319-30-514-019,,
1319-30-514-020,2014 Final,1.0,2014,1319-30-514-020,,
1319-30-514-021,2014 Final,1.0,2014,1319-30-514-021,,
1319-30-514-022,2014 Final,1.0,2014,1319-30-514-022,,
1319-30-514-024,2014 Final,1.0,2014,1319-30-514-024,,
1319-30-515-001,2014 Final,1.0,2014,1319-30-515-001,,
1319-30-515-002,2014 Final,1.0,2014,1319-30-515-002,,
1319-30-515-003,2014 Final,1.0,2014,1319-30-515-003,,
1319-30-515-004,2014 Final,1.0,2014,1319-30-515-004,,
1319-30-519-004,2014 Final,1.0,2014,1319-30-519-004,,
1319-30-519-005,2014 Final,1.0,2014,1319-30-519-005,,
1319-30-519-007,2014 Final,1.0,2014,1319-30-519-007,,
1319-30-519-013,2014 Final,1.0,2014,1319-30-519-013,,
1319-30-520-001,2014 Final,1.0,2014,1319-30-520-001,,
1319-30-520-002,2014 Final,1.0,2014,1319-30-520-002,,
1319-30-520-006,2014 Final,1.0,2014,1319-30-520-006,,
1319-30-520-007,2014 Final,1.0,2014,1319-30-520-007,,
1319-30-520-008,2014 Final,1.0,2014,1319-30-520-008,,
1319-30-520-009,2014 Final,1.0,2014,1319-30-520-009,,
1319-30-520-010,2014 Final,1.0,2014,1319-30-520-010,,
1319-30-520-013,2014 Final,1.0,2014,1319-30-520-013,,
1319-30-520-014,2014 Final,1.0,2014,1319-30-520-014,,
1319-30-520-015,2014 Final,1.0,2014,1319-30-520-015,,
1319-30-520-019,2014 Final,1.0,2014,1319-30-520-019,,
1319-30-520-020,2014 Final,1.0,2014,1319-30-520-020,,
1319-30-520-021,2014 Final,1.0,2014,1319-30-520-021,,
1319-30-520-023,2014 Final,1.0,2014,1319-30-520-023,,
1319-30-520-025,2014 Final,1.0,2014,1319-30-520-025,,
1319-30-520-026,2014 Final,1.0,2014,1319-30-520-026,,
1319-30-520-030,2014 Final,1.0,2014,1319-30-520-030,,
1319-30-610-003,2014 Final,1.0,2014,1319-30-610-003,,
1319-30-611-001,2014 Final,1.0,2014,1319-30-611-001,,
1319-30-611-002,2014 Final,1.0,2014,1319-30-611-002,,
1319-30-611-003,2014 Final,1.0,2014,1319-30-611-003,,
1319-30-611-004,2014 Final,1.0,2014,1319-30-611-004,,
1319-30-611-005,2014 Final,1.0,2014,1319-30-611-005,,
1319-30-611-006,2014 Final,1.0,2014,1319-30-611-006,,
1319-30-611-007,2014 Final,1.0,2014,1319-30-611-007,,
1319-30-611-008,2014 Final,1.0,2014,1319-30-611-008,,
1319-30-612-001,2014 Final,1.0,2014,1319-30-612-001,,
1319-30-612-002,2014 Final,1.0,2014,1319-30-612-002,,
1319-30-612-003,2014 Final,1.0,2014,1319-30-612-003,,
1319-30-612-004,2014 Final,1.0,2014,1319-30-612-004,,
1319-30-612-005,2014 Final,1.0,2014,1319-30-612-005,,
1319-30-612-007,2014 Final,1.0,2014,1319-30-612-007,,
1319-30-612-008,2014 Final,1.0,2014,1319-30-612-008,,
1319-30-612-009,2014 Final,1.0,2014,1319-30-612-009,,
1319-30-612-010,2014 Final,1.0,2014,1319-30-612-010,,
1319-30-612-011,2014 Final,1.0,2014,1319-30-612-011,,
1319-30-612-012,2014 Final,1.0,2014,1319-30-612-012,,
1319-30-614-004,2014 Final,1.0,2014,1319-30-614-004,,
1319-30-614-006,2014 Final,1.0,2014,1319-30-614-006,,
1319-30-614-007,2014 Final,1.0,2014,1319-30-614-007,,
1319-30-614-008,2014 Final,1.0,2014,1319-30-614-008,,
1319-30-615-001,2014 Final,1.0,2014,1319-30-615-001,,
1319-30-615-002,2014 Final,1.0,2014,1319-30-615-002,,
1319-30-615-003,2014 Final,1.0,2014,1319-30-615-003,,
1319-30-615-004,2014 Final,1.0,2014,1319-30-615-004,,
1319-30-615-005,2014 Final,1.0,2014,1319-30-615-005,,
1319-30-615-006,2014 Final,1.0,2014,1319-30-615-006,,
1319-30-617-001,2014 Final,1.0,2014,1319-30-617-001,,
1319-30-617-002,2014 Final,1.0,2014,1319-30-617-002,,
1319-30-617-003,2014 Final,1.0,2014,1319-30-617-003,,
1319-30-617-007,2014 Final,1.0,2014,1319-30-617-007,,
1319-30-617-009,2014 Final,1.0,2014,1319-30-617-009,,
1319-30-621-006,2014 Final,1.0,2014,1319-30-621-006,,
1319-30-622-006,2014 Final,1.0,2014,1319-30-622-006,,
1319-30-622-009,2014 Final,1.0,2014,1319-30-622-009,,
1319-30-622-010,2014 Final,1.0,2014,1319-30-622-010,,
1319-30-623-001,2014 Final,1.0,2014,1319-30-623-001,,
1319-30-624-001,2014 Final,1.0,2014,1319-30-624-001,,
1319-30-624-002,2014 Final,1.0,2014,1319-30-624-002,,
1319-30-624-003,2014 Final,1.0,2014,1319-30-624-003,,
1319-30-624-004,2014 Final,1.0,2014,1319-30-624-004,,
1319-30-625-001,2014 Final,1.0,2014,1319-30-625-001,,
1319-30-625-002,2014 Final,1.0,2014,1319-30-625-002,,
1319-30-625-003,2014 Final,1.0,2014,1319-30-625-003,,
1319-30-625-004,2014 Final,1.0,2014,1319-30-625-004,,
1319-30-626-001,2014 Final,1.0,2014,1319-30-626-001,,
1319-30-626-002,2014 Final,1.0,2014,1319-30-626-002,,
1319-30-626-003,2014 Final,1.0,2014,1319-30-626-003,,
1319-30-626-004,2014 Final,1.0,2014,1319-30-626-004,,
1319-30-710-001,2014 Final,1.0,2014,1319-30-710-001,,
132-611-04,2014 Final,1.0,2014,132-611-04,,
1418-34-110-039,2014 Final,1.0,2014,1418-34-110-039,,
117-110-072,2014 Final,1.0,2014,117-110-072,,
130-312-30,2014 Final,1.0,2014,130-312-30,,
027-313-16,2014 Final,2.0,2014,027-313-16,,
094-110-007,2014 Final,1.0,2014,094-110-007,,
027-323-10,2014 Final,48.0,2014,027-323-10,,
015-264-17,2015 Final,1.0,2015,015-264-17,,
015-304-31,2015 Final,2.0,2015,015-304-31,,
016-091-42,2015 Final,1.0,2015,016-091-42,,
016-300-57,2015 Final,1.0,2015,016-300-57,,
027-621-15,2015 Final,1.0,2015,027-621-15,,
029-381-50,2015 Final,20.0,2015,029-381-50,,
033-255-06,2015 Final,1.0,2015,033-255-06,,
033-255-08,2015 Final,1.0,2015,033-255-08,,
035-296-14,2015 Final,1.0,2015,035-296-14,,
036-350-08,2015 Final,1.0,2015,036-350-08,,
