Year,CSV_Total,FC_Total,Diff,Status
2012,11180.0,11180,0.0,OK
2013,11175.0,11175,0.0,OK
2014,11175.0,11175,0.0,OK
2015,11153.0,11153,0.0,OK
2016,11108.0,11108,0.0,OK
2017,11139.0,11139,0.0,OK
2018,11156.0,11156,0.0,OK
2019,11150.0,11150,0.0,OK
2020,11150.0,11150,0.0,OK
2021,11094.0,11094,0.0,OK
2022,11107.0,11107,0.0,OK
2023,11114.0,11114,0.0,OK
2024,10969.0,10969,0.0,OK
2025,10761.0,10761,0.0,OK
