EntryID,EventID,EntryDate,Year,JurisdictionAbbrev,CommodityPoolID,CommodityShortName,BucketType,Quantity,MovementType,ParcelNumber,SourceSystem,SourceID,Notes
760,353,2015-11-20,2015.0,,69.0,Res. Alloc.,UnusedCapacity,-1.0,ALLOC,,corral_tdr,corral_tdr:353,
761,353,2015-11-20,2015.0,SLT,,Res. Alloc.,Allocated,1.0,ALLOC,023-694-005,corral_tdr,corral_tdr:353,
762,354,2015-11-23,2015.0,,69.0,Res. Alloc.,UnusedCapacity,-1.0,ALLOC,,corral_tdr,corral_tdr:354,
763,354,2015-11-23,2015.0,SLT,,Res. Alloc.,Allocated,1.0,ALLOC,029-605-001,corral_tdr,corral_tdr:354,
764,345,2015-11-24,2015.0,,70.0,Res. Alloc.,UnusedCapacity,-1.0,ALLOC,,corral_tdr,corral_tdr:345,
765,345,2015-11-24,2015.0,DG,,Res. Alloc.,Allocated,1.0,ALLOC,1418-27-210-033,corral_tdr,corral_tdr:345,
766,346,2015-11-24,2015.0,,70.0,Res. Alloc.,UnusedCapacity,-1.0,ALLOC,,corral_tdr,corral_tdr:346,
767,346,2015-11-24,2015.0,DG,,Res. Alloc.,Allocated,1.0,ALLOC,1418-03-301-010,corral_tdr,corral_tdr:346,
768,2410,2015-11-30,2015.0,SLT,,PRUU,Existing,-1.0,Banking,026-115-005,corral_banking,corral_banking:118,
769,2410,2015-11-30,2015.0,SLT,,PRUU,Banked,1.0,Banking,026-115-005,corral_banking,corral_banking:118,
770,330,2015-12-16,2015.0,,107.0,CFA,UnusedCapacity,-1460.0,ALLOC,,corral_tdr,corral_tdr:330,
771,330,2015-12-16,2015.0,SLT,,CFA,Allocated,1460.0,ALLOC,029-470-017,corral_tdr,corral_tdr:330,
772,445,2015-12-16,2015.0,,20.0,CFA,UnusedCapacity,-3176.0,ALLOC,,corral_tdr,corral_tdr:445,
773,445,2015-12-16,2015.0,SLT,,CFA,Allocated,3176.0,ALLOC,029-470-017,corral_tdr,corral_tdr:445,
774,446,2015-12-16,2015.0,,20.0,CFA,UnusedCapacity,-486.0,ALLOC,,corral_tdr,corral_tdr:446,
775,446,2015-12-16,2015.0,SLT,,CFA,Allocated,486.0,ALLOC,029-470-017,corral_tdr,corral_tdr:446,
776,358,2016-01-11,2016.0,,69.0,Res. Alloc.,UnusedCapacity,-1.0,ALLOC,,corral_tdr,corral_tdr:358,
777,358,2016-01-11,2016.0,SLT,,Res. Alloc.,Allocated,1.0,ALLOC,026-139-045,corral_tdr,corral_tdr:358,
778,1365,2016-01-13,2016.0,,71.0,Res. Alloc.,UnusedCapacity,-1.0,ALLOC,,corral_tdr,corral_tdr:1365,
779,1365,2016-01-13,2016.0,EL,,Res. Alloc.,Allocated,1.0,ALLOC,025-742-017,corral_tdr,corral_tdr:1365,
780,913,2016-01-15,2016.0,,72.0,Res. Alloc.,UnusedCapacity,-1.0,ALLOC,,corral_tdr,corral_tdr:913,
781,913,2016-01-15,2016.0,PL,,Res. Alloc.,Allocated,1.0,ALLOC,098-231-030,corral_tdr,corral_tdr:913,
782,928,2016-01-15,2016.0,,72.0,Res. Alloc.,UnusedCapacity,-1.0,ALLOC,,corral_tdr,corral_tdr:928,
783,928,2016-01-15,2016.0,PL,,Res. Alloc.,Allocated,1.0,ALLOC,117-050-048,corral_tdr,corral_tdr:928,
784,2418,2016-01-29,2016.0,SLT,,Hard Cover.,Existing,-35.0,Banking,023-892-015,corral_banking,corral_banking:15,
785,2418,2016-01-29,2016.0,SLT,,Hard Cover.,Banked,35.0,Banking,023-892-015,corral_banking,corral_banking:15,
786,2419,2016-01-29,2016.0,SLT,,PRUU,Existing,-1.0,Banking,023-892-015,corral_banking,corral_banking:77,
787,2419,2016-01-29,2016.0,SLT,,PRUU,Banked,1.0,Banking,023-892-015,corral_banking,corral_banking:77,
788,1030,2016-02-03,2016.0,,70.0,Res. Alloc.,UnusedCapacity,-1.0,ALLOC,,corral_tdr,corral_tdr:1030,
789,1030,2016-02-03,2016.0,DG,,Res. Alloc.,Allocated,1.0,ALLOC,1418-15-510-004,corral_tdr,corral_tdr:1030,
790,633,2016-02-24,2016.0,,70.0,Res. Alloc.,UnusedCapacity,-1.0,ALLOC,,corral_tdr,corral_tdr:633,
791,633,2016-02-24,2016.0,DG,,Res. Alloc.,Allocated,1.0,ALLOC,1418-34-110-065,corral_tdr,corral_tdr:633,
792,1147,2016-02-26,2016.0,WA,,Pot. Cover.,Existing,-10000.0,LBA,125-030-06,corral_tdr,corral_tdr:1147,
793,1147,2016-02-26,2016.0,,,Pot. Cover.,Banked,10000.0,LBA,,corral_tdr,corral_tdr:1147,LandBankID=3
794,993,2016-03-03,2016.0,,70.0,Res. Alloc.,UnusedCapacity,-1.0,ALLOC,,corral_tdr,corral_tdr:993,
795,993,2016-03-03,2016.0,DG,,Res. Alloc.,Allocated,1.0,ALLOC,1418-15-110-017,corral_tdr,corral_tdr:993,
796,2386,2016-03-22,2016.0,SLT,,Pot. Cover.,Existing,-206.0,TRF,023-141-005,corral_tdr,corral_tdr:2386,
797,2386,2016-03-22,2016.0,SLT,,Pot. Cover.,Existing,206.0,TRF,023-102-041,corral_tdr,corral_tdr:2386,
798,2461,2016-04-01,2016.0,SLT,,Hard Cover.,Existing,-3807.0,Banking,027-101-013,corral_banking,corral_banking:74,
799,2461,2016-04-01,2016.0,SLT,,Hard Cover.,Banked,3807.0,Banking,027-101-013,corral_banking,corral_banking:74,
800,2462,2016-04-01,2016.0,SLT,,SFRUU,Existing,-2.0,Banking,027-101-013,corral_banking,corral_banking:75,
801,2462,2016-04-01,2016.0,SLT,,SFRUU,Banked,2.0,Banking,027-101-013,corral_banking,corral_banking:75,
802,384,2016-04-04,2016.0,,54.0,PAOT,UnusedCapacity,-168.0,ALLOC,,corral_tdr,corral_tdr:384,
