Lost_APN,Issue_Category,Years_Lost,Total_Units_CSV,Match_Source,Candidate_New_APN,Match_Type,Already_In_Tahoe,Action
028-301-006,PARCEL_NEW,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,KK,028-301-068,kk_rename,NO,NEEDS_CHANGE_YEAR
028-301-006,PARCEL_NEW,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,ACCELA,028-301-068,accela_rename,NO,NEEDS_CHANGE_YEAR
028-301-006,PARCEL_NEW,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,KK,028-301-068,kk_rename,NO,NEEDS_CHANGE_YEAR
028-301-006,PARCEL_NEW,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,KK,028-301-068,kk_rename,NO,NEEDS_CHANGE_YEAR
034-734-026,PARCEL_NEW,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,KK,034-734-028,kk_rename,NO,NEEDS_CHANGE_YEAR
034-734-026,PARCEL_NEW,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,KK,034-734-028,kk_rename,NO,NEEDS_CHANGE_YEAR
035-301-001,PARCEL_NEW,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,KK,035-301-009,kk_rename,NO,NEEDS_CHANGE_YEAR
035-301-001,PARCEL_NEW,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,KK,035-301-009,kk_rename,NO,NEEDS_CHANGE_YEAR
036-543-011,PARCEL_NEW,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,ACCELA,036-472-009,accela_rename,NO,NEEDS_CHANGE_YEAR
036-543-011,PARCEL_NEW,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,KK,036-472-009,kk_rename,NO,NEEDS_CHANGE_YEAR
036-543-011,PARCEL_NEW,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,KK,036-472-009,kk_rename,NO,NEEDS_CHANGE_YEAR
036-543-011,PARCEL_NEW,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,ACCELA,036-472-009,accela_rename,NO,NEEDS_CHANGE_YEAR
036-543-011,PARCEL_NEW,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,KK,036-472-009,kk_rename,NO,NEEDS_CHANGE_YEAR
036-543-011,PARCEL_NEW,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",8,KK,036-472-009,kk_rename,NO,NEEDS_CHANGE_YEAR
027-313-006,PARCEL_NEW,"[2021, 2022, 2023, 2024, 2025]",5,ACCELA,027-313-16,accela_rename,NO,NEEDS_CHANGE_YEAR
027-313-006,PARCEL_NEW,"[2021, 2022, 2023, 2024, 2025]",5,KK,027-313-16,kk_rename,NO,NEEDS_CHANGE_YEAR
027-313-006,PARCEL_NEW,"[2021, 2022, 2023, 2024, 2025]",5,ACCELA,027-313-16,accela_rename,NO,NEEDS_CHANGE_YEAR
027-313-006,PARCEL_NEW,"[2021, 2022, 2023, 2024, 2025]",5,KK,027-313-16,kk_rename,NO,NEEDS_CHANGE_YEAR
029-602-011,PARCEL_NEW,"[2021, 2022, 2023, 2024, 2025]",5,KK,029-032-09,kk_rename,NO,NEEDS_CHANGE_YEAR
029-602-011,PARCEL_NEW,"[2021, 2022, 2023, 2024, 2025]",5,KK,029-032-09,kk_rename,NO,NEEDS_CHANGE_YEAR
031-102-001,PARCEL_SPLIT,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",64,ACCELA,031-102-001,accela_rename,NO,NEEDS_CHANGE_YEAR
031-102-001,PARCEL_SPLIT,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",64,KK,031-102-001,kk_rename,NO,NEEDS_CHANGE_YEAR
031-102-001,PARCEL_SPLIT,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",64,KK,031-102-01,kk_rename,NO,NEEDS_CHANGE_YEAR
031-102-001,PARCEL_SPLIT,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",64,ACCELA,031-102-001,accela_rename,NO,NEEDS_CHANGE_YEAR
031-102-001,PARCEL_SPLIT,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",64,KK,031-102-001,kk_rename,NO,NEEDS_CHANGE_YEAR
031-102-001,PARCEL_SPLIT,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",64,KK,031-102-01,kk_rename,NO,NEEDS_CHANGE_YEAR
1418-10-802-003,PARCEL_SPLIT,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",61,KK,1418-10-802-012,kk_rename,NO,NEEDS_CHANGE_YEAR
1418-10-802-008,PARCEL_SPLIT,"[2021, 2022, 2023, 2024, 2025]",40,KK,1418-10-802-012,kk_rename,NO,NEEDS_CHANGE_YEAR
129-280-12,PARCEL_SPLIT,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",36,ACCELA,129-301-01,accela_rename,NO,NEEDS_CHANGE_YEAR
129-280-12,PARCEL_SPLIT,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",36,KK,129-301-01,kk_rename,NO,NEEDS_CHANGE_YEAR
129-280-12,PARCEL_SPLIT,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",36,KK,129-301-01,kk_rename,NO,NEEDS_CHANGE_YEAR
129-280-12,PARCEL_SPLIT,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",36,ACCELA,129-301-01,accela_rename,NO,NEEDS_CHANGE_YEAR
129-280-12,PARCEL_SPLIT,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",36,KK,129-301-01,kk_rename,NO,NEEDS_CHANGE_YEAR
129-280-12,PARCEL_SPLIT,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",36,KK,129-301-01,kk_rename,NO,NEEDS_CHANGE_YEAR
129-280-13,PARCEL_SPLIT,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",36,ACCELA,129-301-02,accela_rename,NO,NEEDS_CHANGE_YEAR
129-280-13,PARCEL_SPLIT,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",36,KK,129-301-02,kk_rename,NO,NEEDS_CHANGE_YEAR
129-280-13,PARCEL_SPLIT,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",36,KK,129-301-02,kk_rename,NO,NEEDS_CHANGE_YEAR
129-280-13,PARCEL_SPLIT,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",36,ACCELA,129-301-02,accela_rename,NO,NEEDS_CHANGE_YEAR
129-280-13,PARCEL_SPLIT,"[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",36,KK,129-301-02,kk_rename,NO,NEEDS_CHANGE_YEAR
