Lost_APN,Candidate_New_APN,Issue_Category,Match_Source,Match_Type,Total_Units_CSV,FC_Last_Year_Old,FC_First_Year_New,Suggested_Change_Year,Confidence,In_FC_Old,In_FC_New,Promote_Ready,old_apn,new_apn,change_year,change_type,is_primary,year_source,source,fc_last_year,fc_new_first,Old_Unit_Years,New_Unit_Years,Status
117-100-017,117-100-091,PARCEL_SPLIT,KK,kk_rename,5,2020.0,2021.0,2021,HIGH,1,1,YES,117-100-017,117-100-091,2021,rename,1,fc_last_old+1,KK,2020.0,2021.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
080-162-017,080-162-020,PARCEL_SPLIT,KK,kk_rename,5,2018.0,2019.0,2019,HIGH,1,1,YES,080-162-017,080-162-020,2019,rename,1,fc_last_old+1,KK,2018.0,2019.0,[],[],TRUE_GAP
025-735-005,025-735-011,PARCEL_SPLIT,ACCELA,accela_rename,5,2018.0,2019.0,2019,HIGH,1,1,YES,025-735-005,025-735-011,2019,rename,1,fc_last_old+1,ACCELA,2018.0,2019.0,[],"['2019', '2020', '2021', '2022', '2023', '2024', '2025']",ALREADY_HANDLED
083-063-015,083-063-023,PARCEL_SPLIT,KK,kk_rename,5,2020.0,2021.0,2021,HIGH,1,1,YES,083-063-015,083-063-023,2021,rename,1,fc_last_old+1,KK,2020.0,2021.0,[],"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",ALREADY_HANDLED
084-092-008,084-092-040,PARCEL_SPLIT,ACCELA,accela_rename,5,2016.0,2017.0,2017,HIGH,1,1,YES,084-092-008,084-092-040,2017,rename,1,fc_last_old+1,ACCELA,2016.0,2017.0,[],"['2019', '2020', '2021', '2022', '2023', '2024', '2025']",ALREADY_HANDLED
098-200-026,098-200-046,PARCEL_SPLIT,KK,kk_rename,3,2024.0,2025.0,2025,HIGH,1,1,YES,098-200-026,098-200-046,2025,rename,1,fc_last_old+1,KK,2024.0,2025.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
026-031-013,026-031-019,PARCEL_SPLIT,KK,kk_rename,3,2022.0,2023.0,2023,HIGH,1,1,YES,026-031-013,026-031-019,2023,rename,1,fc_last_old+1,KK,2022.0,2023.0,[],[],TRUE_GAP
122-181-64,122-181-79,PARCEL_SPLIT,KK,kk_rename,3,2022.0,2023.0,2023,HIGH,1,1,YES,122-181-64,122-181-79,2023,rename,1,fc_last_old+1,KK,2022.0,2023.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
125-142-02,125-156-10,PARCEL_SPLIT,KK,kk_rename,2,2023.0,2024.0,2024,HIGH,1,1,YES,125-142-02,125-156-10,2024,rename,1,fc_last_old+1,KK,2023.0,2024.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
098-167-006,098-167-020,PARCEL_SPLIT,KK,kk_rename,2,2021.0,2022.0,2022,HIGH,1,1,YES,098-167-006,098-167-020,2022,rename,1,fc_last_old+1,KK,2021.0,2022.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
090-055-012,090-055-038,PARCEL_SPLIT,KK,kk_rename,2,2023.0,2024.0,2024,HIGH,1,1,YES,090-055-012,090-055-038,2024,rename,1,fc_last_old+1,KK,2023.0,2024.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
083-201-002,083-201-005,PARCEL_SPLIT,KK,kk_rename,2,2023.0,2024.0,2024,HIGH,1,1,YES,083-201-002,083-201-005,2024,rename,1,fc_last_old+1,KK,2023.0,2024.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
026-111-021,026-111-025,PARCEL_SPLIT,KK,kk_rename,2,2023.0,2024.0,2024,HIGH,1,1,YES,026-111-021,026-111-025,2024,rename,1,fc_last_old+1,KK,2023.0,2024.0,[],[],TRUE_GAP
130-331-08,130-331-15,PARCEL_SPLIT,KK,kk_rename,2,2023.0,2024.0,2024,HIGH,1,1,YES,130-331-08,130-331-15,2024,rename,1,fc_last_old+1,KK,2023.0,2024.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
125-142-01,125-156-09,PARCEL_SPLIT,KK,kk_rename,2,2023.0,2024.0,2024,HIGH,1,1,YES,125-142-01,125-156-09,2024,rename,1,fc_last_old+1,KK,2023.0,2024.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
1319-19-710-027,1319-19-710-051,PARCEL_SPLIT,KK,kk_rename,2,2023.0,2024.0,2024,HIGH,1,1,YES,1319-19-710-027,1319-19-710-051,2024,rename,1,fc_last_old+1,KK,2023.0,2024.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
125-142-03,125-156-11,PARCEL_SPLIT,KK,kk_rename,2,2023.0,2024.0,2024,HIGH,1,1,YES,125-142-03,125-156-11,2024,rename,1,fc_last_old+1,KK,2023.0,2024.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
125-141-31,125-141-36,PARCEL_SPLIT,KK,kk_rename,2,2023.0,2024.0,2024,HIGH,1,1,YES,125-141-31,125-141-36,2024,rename,1,fc_last_old+1,KK,2023.0,2024.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
115-030-073,115-030-102,PARCEL_SPLIT,KK,kk_rename,2,2023.0,2024.0,2024,HIGH,1,1,YES,115-030-073,115-030-102,2024,rename,1,fc_last_old+1,KK,2023.0,2024.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
031-103-027,031-103-030,PARCEL_SPLIT,ACCELA,accela_rename,1,2024.0,2025.0,2025,HIGH,1,1,YES,031-103-027,031-103-030,2025,rename,1,fc_last_old+1,ACCELA,2024.0,2025.0,[],[],TRUE_GAP
1318-03-210-022,1318-03-210-041,PARCEL_SPLIT,KK,kk_rename,1,2024.0,2025.0,2025,HIGH,1,1,YES,1318-03-210-022,1318-03-210-041,2025,rename,1,fc_last_old+1,KK,2024.0,2025.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
1318-16-810-038,1318-16-810-058,PARCEL_SPLIT,ACCELA,accela_rename,1,2024.0,2025.0,2025,HIGH,1,1,YES,1318-16-810-038,1318-16-810-058,2025,rename,1,fc_last_old+1,ACCELA,2024.0,2025.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
1418-10-802-003,1418-10-802-012,PARCEL_SPLIT,KK,kk_rename,61,2013.0,2024.0,2024,MEDIUM_GAP,1,1,NO,1418-10-802-003,1418-10-802-012,2024,rename,1,fc_first_new,KK,2013.0,2024.0,[],[],TRUE_GAP
1418-10-802-011,1418-10-802-004,UNKNOWN,KK,kk_rename,48,2025.0,2012.0,2012,MEDIUM_GAP,1,1,NO,1418-10-802-011,1418-10-802-004,2012,rename,1,fc_first_new,KK,2025.0,2012.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
1418-10-802-008,1418-10-802-012,PARCEL_SPLIT,KK,kk_rename,40,2016.0,2024.0,2024,MEDIUM_GAP,1,1,NO,1418-10-802-008,1418-10-802-012,2024,rename,1,fc_first_new,KK,2016.0,2024.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
097-092-003,097-092-014,PARCEL_SPLIT,ACCELA,accela_rename,18,2016.0,2023.0,2023,MEDIUM_GAP,1,1,NO,097-092-003,097-092-014,2023,rename,1,fc_first_new,ACCELA,2016.0,2023.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
015-370-30,015-370-11,PARCEL_NEW,KK,kk_rename,14,2025.0,2012.0,2012,MEDIUM_GAP,1,1,NO,015-370-30,015-370-11,2012,rename,1,fc_first_new,KK,2025.0,2012.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']","['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",OVERLAP_CHECK
112-190-040,112-190-064,PARCEL_NEW,KK,kk_rename,14,,2012.0,2012,MEDIUM_NEW_ONLY,1,1,NO,112-190-040,112-190-064,2012,rename,1,fc_first_new,KK,,2012.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
018-320-18,018-320-12,PARCEL_NEW,KK,kk_rename,14,2025.0,2012.0,2012,MEDIUM_GAP,1,1,NO,018-320-18,018-320-12,2012,rename,1,fc_first_new,KK,2025.0,2012.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
018-320-18,018-320-11,PARCEL_NEW,KK,kk_rename,14,2025.0,2013.0,2013,MEDIUM_GAP,1,1,NO,018-320-18,018-320-11,2013,rename,1,fc_first_new,KK,2025.0,2013.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
016-300-64,016-300-59,PARCEL_NEW,KK,kk_rename,14,2025.0,2012.0,2012,MEDIUM_GAP,1,1,NO,016-300-64,016-300-59,2012,rename,1,fc_first_new,KK,2025.0,2012.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
126-080-25,126-080-28,UNKNOWN,KK,kk_rename,13,2013.0,2022.0,2022,MEDIUM_GAP,1,1,NO,126-080-25,126-080-28,2022,rename,1,fc_first_new,KK,2013.0,2022.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
097-130-029,097-130-042,UNKNOWN,KK,kk_rename,13,2013.0,2012.0,2012,MEDIUM_GAP,1,1,NO,097-130-029,097-130-042,2012,rename,1,fc_first_new,KK,2013.0,2012.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']","['2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",OVERLAP_CHECK
097-122-013,097-122-033,PARCEL_SPLIT,KK,kk_rename,11,2020.0,2024.0,2024,MEDIUM_GAP,1,1,NO,097-122-013,097-122-033,2024,rename,1,fc_first_new,KK,2020.0,2024.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
031-213-016,031-213-03,UNKNOWN,KK,kk_rename,11,2025.0,2012.0,2012,MEDIUM_GAP,1,1,NO,031-213-016,031-213-03,2012,rename,1,fc_first_new,KK,2025.0,2012.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
117-230-008,117-230-007,PARCEL_SPLIT,KK,kk_rename,10,2025.0,2012.0,2012,MEDIUM_GAP,1,1,NO,117-230-008,117-230-007,2012,rename,1,fc_first_new,KK,2025.0,2012.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
027-313-16,027-313-06,UNKNOWN,KK,kk_rename,10,2025.0,,2026,MEDIUM_OLD_ONLY,1,0,NO,027-313-16,027-313-06,2026,rename,1,fc_first_new,KK,2025.0,,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
027-313-16,027-313-02,UNKNOWN,KK,kk_rename,10,2025.0,,2026,MEDIUM_OLD_ONLY,1,0,NO,027-313-16,027-313-02,2026,rename,1,fc_first_new,KK,2025.0,,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']","['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",OVERLAP_CHECK
083-063-023,083-063-007,UNKNOWN,KK,kk_rename,9,2025.0,2012.0,2012,MEDIUM_GAP,1,1,NO,083-063-023,083-063-007,2012,rename,1,fc_first_new,KK,2025.0,2012.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']","['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",OVERLAP_CHECK
117-100-089,117-100-014,UNKNOWN,KK,kk_rename,9,2025.0,2012.0,2012,MEDIUM_GAP,1,1,NO,117-100-089,117-100-014,2012,rename,1,fc_first_new,KK,2025.0,2012.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']","['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",OVERLAP_CHECK
123-032-11,123-032-29,PARCEL_SPLIT,KK,kk_rename,9,2016.0,2019.0,2019,MEDIUM_GAP,1,1,NO,123-032-11,123-032-29,2019,rename,1,fc_first_new,KK,2016.0,2019.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']","['2012', '2021', '2022', '2023', '2024', '2025']",OVERLAP_CHECK
098-210-030,098-210-031,PARCEL_SPLIT,KK,kk_rename,8,2017.0,2012.0,2012,MEDIUM_GAP,1,1,NO,098-210-030,098-210-031,2012,rename,1,fc_first_new,KK,2017.0,2012.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']","['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']",OVERLAP_CHECK
015-264-017,015-264-25,PARCEL_NEW,KK,kk_rename,8,2013.0,2012.0,2012,MEDIUM_GAP,1,1,NO,015-264-017,015-264-25,2012,rename,1,fc_first_new,KK,2013.0,2012.0,[],[],TRUE_GAP
036-543-011,036-472-009,PARCEL_NEW,ACCELA,accela_rename,8,2013.0,2012.0,2012,MEDIUM_GAP,1,1,NO,036-543-011,036-472-009,2012,rename,1,fc_first_new,ACCELA,2013.0,2012.0,[],[],TRUE_GAP
015-370-027,015-370-22,UNKNOWN,KK,kk_rename,7,2025.0,2018.0,2018,MEDIUM_GAP,1,1,NO,015-370-027,015-370-22,2018,rename,1,fc_first_new,KK,2025.0,2018.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']","['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",OVERLAP_CHECK
1319-30-610-002,1319-30-610-003,PARCEL_SPLIT,KK,kk_rename,7,2013.0,2012.0,2012,MEDIUM_GAP,1,1,NO,1319-30-610-002,1319-30-610-003,2012,rename,1,fc_first_new,KK,2013.0,2012.0,[],"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",ALREADY_HANDLED
098-010-036,098-010-041,PARCEL_SPLIT,ACCELA,accela_rename,6,2020.0,2019.0,2019,MEDIUM_GAP,1,1,NO,098-010-036,098-010-041,2019,rename,1,fc_first_new,ACCELA,2020.0,2019.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
093-083-015,093-083-044,PARCEL_SPLIT,KK,kk_rename,6,2020.0,2019.0,2019,MEDIUM_GAP,1,1,NO,093-083-015,093-083-044,2019,rename,1,fc_first_new,KK,2020.0,2019.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
093-083-014,093-083-050,PARCEL_SPLIT,KK,kk_rename,6,2020.0,2019.0,2019,MEDIUM_GAP,1,1,NO,093-083-014,093-083-050,2019,rename,1,fc_first_new,KK,2020.0,2019.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
098-231-024,098-231-039,PARCEL_SPLIT,KK,kk_rename,6,2020.0,2019.0,2019,MEDIUM_GAP,1,1,NO,098-231-024,098-231-039,2019,rename,1,fc_first_new,KK,2020.0,2019.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
098-192-002,098-192-011,PARCEL_SPLIT,ACCELA,accela_rename,6,2020.0,2019.0,2019,MEDIUM_GAP,1,1,NO,098-192-002,098-192-011,2019,rename,1,fc_first_new,ACCELA,2020.0,2019.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
1319-30-617-001,1319-30-617-000,UNKNOWN,KK,kk_rename,6,2025.0,2012.0,2012,MEDIUM_GAP,1,1,NO,1319-30-617-001,1319-30-617-000,2012,rename,1,fc_first_new,KK,2025.0,2012.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
1319-30-710-001,1319-30-710-000,UNKNOWN,KK,kk_rename,6,2025.0,2012.0,2012,MEDIUM_GAP,1,1,NO,1319-30-710-001,1319-30-710-000,2012,rename,1,fc_first_new,KK,2025.0,2012.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
1319-30-621-006,1319-30-621-003,UNKNOWN,KK,kk_rename,6,2025.0,2012.0,2012,MEDIUM_GAP,1,1,NO,1319-30-621-006,1319-30-621-003,2012,rename,1,fc_first_new,KK,2025.0,2012.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']","['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",OVERLAP_CHECK
1319-30-617-009,1319-30-617-000,UNKNOWN,KK,kk_rename,6,2025.0,2012.0,2012,MEDIUM_GAP,1,1,NO,1319-30-617-009,1319-30-617-000,2012,rename,1,fc_first_new,KK,2025.0,2012.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
1319-30-617-007,1319-30-617-000,UNKNOWN,KK,kk_rename,6,2025.0,2012.0,2012,MEDIUM_GAP,1,1,NO,1319-30-617-007,1319-30-617-000,2012,rename,1,fc_first_new,KK,2025.0,2012.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
1319-30-617-003,1319-30-617-000,UNKNOWN,KK,kk_rename,6,2025.0,2012.0,2012,MEDIUM_GAP,1,1,NO,1319-30-617-003,1319-30-617-000,2012,rename,1,fc_first_new,KK,2025.0,2012.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
1319-30-617-002,1319-30-617-000,UNKNOWN,KK,kk_rename,6,2025.0,2012.0,2012,MEDIUM_GAP,1,1,NO,1319-30-617-002,1319-30-617-000,2012,rename,1,fc_first_new,KK,2025.0,2012.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
093-083-012,093-083-051,PARCEL_SPLIT,KK,kk_rename,6,2020.0,2019.0,2019,MEDIUM_GAP,1,1,NO,093-083-012,093-083-051,2019,rename,1,fc_first_new,KK,2020.0,2019.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
026-122-033,026-122-036,PARCEL_SPLIT,KK,kk_rename,6,2020.0,2019.0,2019,MEDIUM_GAP,1,1,NO,026-122-033,026-122-036,2019,rename,1,fc_first_new,KK,2020.0,2019.0,[],[],TRUE_GAP
026-105-006,026-105-023,PARCEL_SPLIT,KK,kk_rename,6,2020.0,2019.0,2019,MEDIUM_GAP,1,1,NO,026-105-006,026-105-023,2019,rename,1,fc_first_new,KK,2020.0,2019.0,[],[],TRUE_GAP
090-162-016,090-162-045,PARCEL_SPLIT,KK,kk_rename,6,2020.0,2019.0,2019,MEDIUM_GAP,1,1,NO,090-162-016,090-162-045,2019,rename,1,fc_first_new,KK,2020.0,2019.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
093-083-010,093-083-047,PARCEL_SPLIT,KK,kk_rename,6,2020.0,2019.0,2019,MEDIUM_GAP,1,1,NO,093-083-010,093-083-047,2019,rename,1,fc_first_new,KK,2020.0,2019.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
093-083-008,093-083-045,PARCEL_SPLIT,ACCELA,accela_rename,6,2020.0,2019.0,2019,MEDIUM_GAP,1,1,NO,093-083-008,093-083-045,2019,rename,1,fc_first_new,ACCELA,2020.0,2019.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
093-083-009,093-083-046,PARCEL_SPLIT,ACCELA,accela_rename,6,2020.0,2019.0,2019,MEDIUM_GAP,1,1,NO,093-083-009,093-083-046,2019,rename,1,fc_first_new,ACCELA,2020.0,2019.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
093-083-011,093-083-048,PARCEL_SPLIT,KK,kk_rename,6,2020.0,2019.0,2019,MEDIUM_GAP,1,1,NO,093-083-011,093-083-048,2019,rename,1,fc_first_new,KK,2020.0,2019.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
1319-30-520-010,1319-30-520-000,UNKNOWN,KK,kk_rename,5,2025.0,2012.0,2012,MEDIUM_GAP,1,1,NO,1319-30-520-010,1319-30-520-000,2012,rename,1,fc_first_new,KK,2025.0,2012.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
1319-30-520-025,1319-30-520-000,UNKNOWN,KK,kk_rename,5,2025.0,2012.0,2012,MEDIUM_GAP,1,1,NO,1319-30-520-025,1319-30-520-000,2012,rename,1,fc_first_new,KK,2025.0,2012.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
1319-30-520-023,1319-30-520-000,UNKNOWN,KK,kk_rename,5,2025.0,2012.0,2012,MEDIUM_GAP,1,1,NO,1319-30-520-023,1319-30-520-000,2012,rename,1,fc_first_new,KK,2025.0,2012.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
1319-30-520-021,1319-30-520-000,UNKNOWN,KK,kk_rename,5,2025.0,2012.0,2012,MEDIUM_GAP,1,1,NO,1319-30-520-021,1319-30-520-000,2012,rename,1,fc_first_new,KK,2025.0,2012.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
1319-30-520-020,1319-30-520-000,UNKNOWN,KK,kk_rename,5,2025.0,2012.0,2012,MEDIUM_GAP,1,1,NO,1319-30-520-020,1319-30-520-000,2012,rename,1,fc_first_new,KK,2025.0,2012.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
1319-30-520-019,1319-30-520-000,UNKNOWN,KK,kk_rename,5,2025.0,2012.0,2012,MEDIUM_GAP,1,1,NO,1319-30-520-019,1319-30-520-000,2012,rename,1,fc_first_new,KK,2025.0,2012.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
1319-30-520-015,1319-30-520-000,UNKNOWN,KK,kk_rename,5,2025.0,2012.0,2012,MEDIUM_GAP,1,1,NO,1319-30-520-015,1319-30-520-000,2012,rename,1,fc_first_new,KK,2025.0,2012.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
1319-30-520-014,1319-30-520-000,UNKNOWN,KK,kk_rename,5,2025.0,2012.0,2012,MEDIUM_GAP,1,1,NO,1319-30-520-014,1319-30-520-000,2012,rename,1,fc_first_new,KK,2025.0,2012.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
1319-30-520-013,1319-30-520-000,UNKNOWN,KK,kk_rename,5,2025.0,2012.0,2012,MEDIUM_GAP,1,1,NO,1319-30-520-013,1319-30-520-000,2012,rename,1,fc_first_new,KK,2025.0,2012.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
1319-30-520-001,1319-30-520-000,UNKNOWN,KK,kk_rename,5,2025.0,2012.0,2012,MEDIUM_GAP,1,1,NO,1319-30-520-001,1319-30-520-000,2012,rename,1,fc_first_new,KK,2025.0,2012.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
1319-30-520-009,1319-30-520-000,UNKNOWN,KK,kk_rename,5,2025.0,2012.0,2012,MEDIUM_GAP,1,1,NO,1319-30-520-009,1319-30-520-000,2012,rename,1,fc_first_new,KK,2025.0,2012.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
1319-30-520-008,1319-30-520-000,UNKNOWN,KK,kk_rename,5,2025.0,2012.0,2012,MEDIUM_GAP,1,1,NO,1319-30-520-008,1319-30-520-000,2012,rename,1,fc_first_new,KK,2025.0,2012.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
