Lost_APN,Candidate_New_APN,Issue_Category,Match_Source,Match_Type,Total_Units_CSV,FC_Last_Year_Old,FC_First_Year_New,Suggested_Change_Year,Confidence,In_FC_Old,In_FC_New,Promote_Ready,old_apn,new_apn,change_year,change_type,is_primary,year_source,source,fc_last_year,fc_new_first,Old_Unit_Years,New_Unit_Years,Status
129-291-13,129-291-34,PARCEL_SPLIT,KK,kk_rename,9,2016.0,2017.0,2017,HIGH,1,1,YES,129-291-13,129-291-34,2017,rename,1,fc_last_old+1,KK,2016.0,2017.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
129-291-17,129-291-35,PARCEL_SPLIT,ACCELA,accela_rename,9,2016.0,2017.0,2017,HIGH,1,1,YES,129-291-17,129-291-35,2017,rename,1,fc_last_old+1,ACCELA,2016.0,2017.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
129-292-12,129-292-33,PARCEL_SPLIT,KK,kk_rename,9,2016.0,2017.0,2017,HIGH,1,1,YES,129-292-12,129-292-33,2017,rename,1,fc_last_old+1,KK,2016.0,2017.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
129-292-01,129-292-27,PARCEL_SPLIT,ACCELA,accela_rename,9,2016.0,2017.0,2017,HIGH,1,1,YES,129-292-01,129-292-27,2017,rename,1,fc_last_old+1,ACCELA,2016.0,2017.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
129-292-19,129-292-39,PARCEL_SPLIT,KK,kk_rename,9,2016.0,2017.0,2017,HIGH,1,1,YES,129-292-19,129-292-39,2017,rename,1,fc_last_old+1,KK,2016.0,2017.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
129-292-20,129-292-38,PARCEL_SPLIT,ACCELA,accela_rename,9,2016.0,2017.0,2017,HIGH,1,1,YES,129-292-20,129-292-38,2017,rename,1,fc_last_old+1,ACCELA,2016.0,2017.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
129-292-22,129-292-36,PARCEL_SPLIT,KK,kk_rename,9,2016.0,2017.0,2017,HIGH,1,1,YES,129-292-22,129-292-36,2017,rename,1,fc_last_old+1,KK,2016.0,2017.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
1418-34-110-010,1418-34-110-067,PARCEL_SPLIT,KK,kk_rename,9,2016.0,2017.0,2017,HIGH,1,1,YES,1418-34-110-010,1418-34-110-067,2017,rename,1,fc_last_old+1,KK,2016.0,2017.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
129-292-14,129-292-34,PARCEL_SPLIT,KK,kk_rename,9,2016.0,2017.0,2017,HIGH,1,1,YES,129-292-14,129-292-34,2017,rename,1,fc_last_old+1,KK,2016.0,2017.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']","['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",OVERLAP_CHECK
129-292-17,129-292-35,PARCEL_SPLIT,ACCELA,accela_rename,9,2016.0,2017.0,2017,HIGH,1,1,YES,129-292-17,129-292-35,2017,rename,1,fc_last_old+1,ACCELA,2016.0,2017.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
129-292-18,129-292-40,PARCEL_SPLIT,ACCELA,accela_rename,9,2016.0,2017.0,2017,HIGH,1,1,YES,129-292-18,129-292-40,2017,rename,1,fc_last_old+1,ACCELA,2016.0,2017.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
083-061-026,083-061-082,PARCEL_SPLIT,ACCELA,accela_rename,9,2016.0,2017.0,2017,HIGH,1,1,YES,083-061-026,083-061-082,2017,rename,1,fc_last_old+1,ACCELA,2016.0,2017.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
093-194-007,093-194-017,PARCEL_SPLIT,ACCELA,accela_rename,9,2016.0,2017.0,2017,HIGH,1,1,YES,093-194-007,093-194-017,2017,rename,1,fc_last_old+1,ACCELA,2016.0,2017.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
093-194-012,093-194-018,PARCEL_SPLIT,ACCELA,accela_rename,9,2016.0,2017.0,2017,HIGH,1,1,YES,093-194-012,093-194-018,2017,rename,1,fc_last_old+1,ACCELA,2016.0,2017.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
094-122-019,094-122-059,PARCEL_SPLIT,ACCELA,accela_rename,9,2016.0,2017.0,2017,HIGH,1,1,YES,094-122-019,094-122-059,2017,rename,1,fc_last_old+1,ACCELA,2016.0,2017.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
083-032-032,083-032-039,PARCEL_SPLIT,KK,kk_rename,9,2016.0,2017.0,2017,HIGH,1,1,YES,083-032-032,083-032-039,2017,rename,1,fc_last_old+1,KK,2016.0,2017.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
083-032-031,083-032-040,PARCEL_SPLIT,ACCELA,accela_rename,9,2016.0,2017.0,2017,HIGH,1,1,YES,083-032-031,083-032-040,2017,rename,1,fc_last_old+1,ACCELA,2016.0,2017.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
083-033-014,083-033-016,PARCEL_SPLIT,KK,kk_rename,9,2016.0,2017.0,2017,HIGH,1,1,YES,083-033-014,083-033-016,2017,rename,1,fc_last_old+1,KK,2016.0,2017.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
129-280-16,129-301-05,PARCEL_SPLIT,ACCELA,accela_rename,9,2016.0,2017.0,2017,HIGH,1,1,YES,129-280-16,129-301-05,2017,rename,1,fc_last_old+1,ACCELA,2016.0,2017.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
129-280-17,129-301-06,PARCEL_SPLIT,ACCELA,accela_rename,9,2016.0,2017.0,2017,HIGH,1,1,YES,129-280-17,129-301-06,2017,rename,1,fc_last_old+1,ACCELA,2016.0,2017.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
129-280-19,129-301-08,PARCEL_SPLIT,ACCELA,accela_rename,9,2016.0,2017.0,2017,HIGH,1,1,YES,129-280-19,129-301-08,2017,rename,1,fc_last_old+1,ACCELA,2016.0,2017.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
125-382-19,125-382-21,PARCEL_SPLIT,ACCELA,accela_rename,9,2016.0,2017.0,2017,HIGH,1,1,YES,125-382-19,125-382-21,2017,rename,1,fc_last_old+1,ACCELA,2016.0,2017.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
129-291-03,129-291-33,PARCEL_SPLIT,KK,kk_rename,9,2016.0,2017.0,2017,HIGH,1,1,YES,129-291-03,129-291-33,2017,rename,1,fc_last_old+1,KK,2016.0,2017.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
129-280-14,129-301-03,PARCEL_SPLIT,KK,kk_rename,9,2016.0,2017.0,2017,HIGH,1,1,YES,129-280-14,129-301-03,2017,rename,1,fc_last_old+1,KK,2016.0,2017.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
129-280-15,129-301-04,PARCEL_SPLIT,KK,kk_rename,9,2016.0,2017.0,2017,HIGH,1,1,YES,129-280-15,129-301-04,2017,rename,1,fc_last_old+1,KK,2016.0,2017.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
093-042-022,093-042-044,PARCEL_SPLIT,KK,kk_rename,8,2017.0,2018.0,2018,HIGH,1,1,YES,093-042-022,093-042-044,2018,rename,1,fc_last_old+1,KK,2017.0,2018.0,"['2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024', '2025']",[],TRUE_GAP
