APN,ParcelTrackerNotes
016-081-43,"New APN: 016-081-45 (parcels 016-081-42 & -43 were combined and then redivided with different boundary lines).
Both parcels 016-081-42 & 016-081-43 (now APNs 016-081-46 and 016-081-45, respectively) are a deed restricted project area for the purpose of limiting shorezone development."
016-211-16,
016-211-17,
016-300-63,
016-332-42,
016-544-20,
017-021-18,"New APN: 017-021-33 (Parcels 017-021-18, -19 & -20 were combined to form a new APN)"
017-021-20,"New APN: 017-021-33 (Parcels 017-021-18, -19 & -20 were combined to form a new APN)."
017-021-31,
018-090-79,New APN: 018-090-84 (018-330-09 & 018-090-79 were combined to form a new APN)
018-300-23,
018-320-13,
021-241-07,
021-321-09,
022-331-26,
023-341-20,
023-904-018,
023-960-002,
023-960-003,
023-960-004,
023-960-005,
023-960-006,
023-960-007,
025-225-14,Parcel was merged with adjacent APN 025-225-15 and the new parcel number is 025-225-31.
025-451-17,New APN's: 025-451-28 & 025-451-29 (Each of these new APN's was formed from a portion of 025-451-17 and 025-451-18)
026-034-08,New APNs: 026-034-19 & 026-034-20 (parcel was split to form two new parcels).
026-061-30,
027-313-02,New APN: 027-313-16 (parcels 027-313-02 and -06 were merged to form a new APN).
029-095-30,
030-421-02,
031-103-027,
031-201-011,
034-284-28,
034-691-20,
034-722-44,
034-734-26,
035-293-17,New APN: 035-293-31 (parcels 035-293-16 & 035-293-17 were consolidated.
036-472-09,
083-075-037,"Previous APN: 083-075-007 (parcel was split to form 083-075-036 [lot 12] and 083-075-037 [lot 13]).
NOTE: No verifications of land class or existing coverage have been conducted on this parcel."
083-085-042,
085-180-017,
085-180-018,
090-067-020,
090-072-031,Associated with former APN 090-072-026 and current HOA APN 090-072-041.
090-072-032,
090-072-033,
090-072-034,
090-072-035,
090-072-036,
090-072-037,
090-072-038,
090-072-039,
090-072-040,
090-172-004,
090-191-049,
090-191-050,"NOTE: The TRPA has no verifications of land class or existing coverage for this parcel. Under a Memorandum of Understanding (MOU) with Placer County, they can issue permits and verifications on behalf of the TRPA. Please check with Placer County Planning Services Division for any verifications they have completed on this parcel. Website: http://www.placer.ca.gov/departments/communitydevelopment/planning"
090-321-006,"Two (2) existing residential units (ERU) have been verified on this parcel (VBOU2018-0341).
Based on assessor's data, the structures on this parcel are over 50 years in age and may be eligible as historic resources. Demolitions, repairs, additions, reconstruction, modifications, and maintenance of the structures are subject to the provisions of Section 67.7 of the TRPA Code of Ordinances and will require TRPA review and approval."
092-160-032,
092-160-033,
094-233-004,
095-510-035,
097-073-032,
097-084-025,Previous APN's: 097-084-013 & 097-084-014 (parcels were combined).
097-111-028,
098-200-025,
115-020-042,
116-220-061,
117-071-051,Previous APN: 117-071-039. Prior to that it was 117-071-014 (parcel was subdivided into common areas and 8 residential units).
117-071-052,Previous APN: 117-071-041. Prior to that it was 117-071-014 (parcel was subdivided into common areas and 8 residential units).
117-210-014,
117-230-008,
117-230-009,
122-100-15,Previous APN: 122-100-07 (a portion of APN 122-100-07 became 122-100-14 and a portion was combined with 122-100-08 to form 122-100-15).
123-152-08,
123-161-32,
125-163-39,"Previous APN's:  125-163-32 (boundary line was adjusted to incorporate existing paved driveway on APN 125-163-33 being used by -32).
1,493 sf total base allowable coverage verified (72 sf of Class 1a; 350 sf of Class 3; 1,071 sf of Class 6) (LLAD2012-0086)."
126-082-66,Previous APN: 126-082-08
130-163-26,
130-163-27,"NOTE: This parcel is part of a deed restricted ""project area"" for the purpose of land coverage calculations that includes APNs 130-163-36 (formerly 130-163-27), 130-163-28, 130-163-29, 130-163-30, 130-163-33, 130-163-34, & 130-163-35."
130-241-63,Previous APN: 130-241-32 (lot line adjustment with APN 130-241-33 resulted in two new APN's: 130-241-63 & -64)
130-241-64,Previous APN: 130-241-33 (lot line adjustment with APN 130-241-32 resulted in two new APN's: 130-241-63 & -64)
130-332-10,"Previous APN's: 130-332-02 & 130-332-09 (APN -02 was ""split"" to form 130-332-09, and a subsequent boundary line adjustment changed the APN to 130-332-10). "
130-332-12,
130-332-13,
1318-03-210-022,
1318-03-210-023,
1318-16-810-038,
1319-30-610-004,
132-611-04,"Previous APN: 132-011-02 (parcel was split to form 132-611-01 [condo common area] and 132-611-02 through -06 & 132-612-01 [6 condominium units]).
This parcel is part of a TRPA deed-restricted area that includes APN's 132-611-01, -02, -03, -04, -05, -06, and 132-612-01, which deems these parcels will constitute one parcel for the purposes of land coverage calculations. All land area, land capability, and existing coverage for all named parcels will be shown on APN 132-611-01."
132-612-01,"Previous APN: 132-011-02 (parcel was split to form 132-611-01 [condo common area] and 132-611-02 through -06 & 132-612-01 [6 condominium units]).
This parcel is part of a TRPA deed-restricted area that includes APN's 132-611-01, -02, -03, -04, -05, -06, and 132-612-01, which deems these parcels will constitute one parcel for the purposes of land coverage calculations. All land area, land capability, and existing coverage for all named parcels will be shown on APN 132-611-01."
1418-03-401-012,"Previous APNs: 001-030-15 (NOTE: 001-030-15 is not in the TRPA database. Prior to being 001-030-15, this parcel was 001-030-04.)"
1418-03-401-014,
1418-03-401-017,
1418-34-310-014,
029-381-50,"New APN's:  029-620-01 through -16 (APN's 029-381-50, 029-401-04 & 029-401-05 were combined and then split into 15 new condo parcels and one common area [029-620-16])"
097-130-029,
112-180-009,
126-080-25,
117-020-009,
027-313-16,
015-304-31,New APN: 015-304-33
036-380-24,
1319-30-617-001,
1319-30-617-002,
1319-30-617-003,
1319-30-617-007,
1319-30-617-009,
1319-30-621-006,
1319-30-710-001,
015-264-17,
036-543-11,
117-110-072,"Previous APN: 117-110-008.
NOTE: This parcel is part of a ""project area"" that includes APNs 117-110-072 & 117-110-073. All parcel area, land capability, existing & banked coverage, and existing & banked development rights for both parcels in the project area have been combined and are shown here."
130-312-30,"Previous APNs: 130-312-27 & 130-312-04 (parcels were merged).
NOTE: This parcel is part of a deed-restricted project area for land coverage calculation purposes that includes APNs 130-312-25, 130-312-28, 130-132-30 (-30 was formerly APNs 130-312-04 & 130-312-27, which were merged). Parcel area, land capability, existing coverage and banked coverage for all parcels in the project area are shown on APN 130-312-25."
1319-30-514-002,
1319-30-514-003,
1319-30-514-004,
1319-30-514-005,
1319-30-514-007,
1319-30-514-008,
1319-30-514-009,
1319-30-514-011,
1319-30-514-012,
1319-30-514-014,
1319-30-514-015,
1319-30-514-017,
1319-30-514-018,
1319-30-514-019,
1319-30-514-020,
1319-30-514-021,
1319-30-514-022,
1319-30-514-024,
1319-30-515-001,
1319-30-519-004,
1319-30-519-005,
1319-30-519-007,
1319-30-519-013,
1319-30-520-001,
1319-30-520-002,
1319-30-520-006,
1319-30-520-007,
1319-30-520-008,
1319-30-520-009,
1319-30-520-010,
1319-30-520-013,
1319-30-520-014,
1319-30-520-015,
1319-30-520-019,
1319-30-520-020,
1319-30-520-021,
1319-30-520-023,
1319-30-520-025,
1319-30-520-026,
1319-30-520-030,
1319-30-611-001,
1319-30-611-002,
1319-30-611-003,
1319-30-611-004,
1319-30-611-005,
1319-30-611-006,
1319-30-611-007,
1319-30-611-008,
1319-30-612-001,
1319-30-612-002,
1319-30-612-003,
1319-30-612-004,
1319-30-612-005,
1319-30-612-007,
1319-30-612-008,
1319-30-612-009,
1319-30-612-010,
1319-30-612-011,
1319-30-612-012,
1319-30-614-004,
1319-30-614-006,
1319-30-614-007,
1319-30-614-008,
1319-30-615-001,
1319-30-615-002,
1319-30-615-003,
1319-30-615-004,
1319-30-615-005,
1319-30-615-006,
1319-30-622-006,
1319-30-622-009,
1319-30-622-010,
1319-30-623-001,
1319-30-624-001,
1319-30-624-002,
1319-30-624-003,
1319-30-624-004,
1319-30-625-001,
1319-30-625-002,
1319-30-625-003,
1319-30-625-004,
1319-30-626-001,
1319-30-626-002,
1319-30-626-003,
1319-30-626-004,
027-621-15,
036-350-08,New APN: 036-530-28 (036-350-08 & 036-350-09 were combined and a portion of -09 went to the adjoining parcel [036-530-23] and became 036-530-27; the remainder of the combined parcels became APN 036-530-28).
1319-30-515-002,
1319-30-515-003,
1319-30-515-004,
123-032-29,
035-296-14,
