APN,ParcelTrackerNotes
084-110-017,"New APNs: 084-110-026 & 084-110-027 (a portion of 084-110-011 was combined with a portion of 084-110-017 to form APN 084-110-026; the remaining portion of 084-110-011 was combined with the remainder of 084-110-017 to form APN 084-110-027).
Previous APNs: 084-110-002 & 084-110-009 (084-110-002 was combined with 084-110-009 and then split to form 084-110-014 and 084-110-017)."
092-142-010,"New APNs: 092-142-027, 092-142-028 (the parcel boundary of 092-142-010 and 092-142-020 was adjusted then the resultant parcel was divided into the two new APNs)."
092-142-020,New APN: 092-142-029 (the parcel boundary for 092-142-020 and 092-142-010 was adjusted to form the new APN).
093-194-007,
093-194-012,
094-122-019,
097-092-003,
097-122-013,
097-164-006,"New APN: 097-164-013 (Parcel 097-164-006, 097-164-011 & 097-164-012 were merged into new APN)."
115-060-010,New APNs: 115-060-020 & 115-060-021 (parcel was split).
117-071-015,"NOTE #1: APNs 117-071-015 & 117-071-044 are part of a deed restricted ""project area"". These parcels are permanently deed restricted to be treated as if legally consolidated for purposes of land coverage calculations within the project area. 

NOTE #2: New APNs: APN 117-071-053 & 117-071-054 (a small portion of APN 117-071-015 was combined with all of 117-071-044 to form APN 117-071-054. The remainder of 117-071-015 became APN 117-071-053).

NOTE #3: APN 117-071-054 became 117-071-055. APN 117-071-055 became 117-071-058. Project area is now APNs 117-071-053 and 117-071-058.

"
117-110-008,New APN: 117-110-072
117-120-031,
122-100-04,New APN: 122-100-29
122-100-23,"New APN: 122-100-27
Previous APNs: 122-100-11 and 122-100-03 (all of 122-100-11 and a portion of 122-100-03 were combined to form 122-100-23; the remainder of 122-100-03 became 122-100-24)."
122-100-24,"New APN: 122-100-28.
Previous APN: 122-100-03 (all of 122-100-11 and a portion of 122-100-03 were combined to form 122-100-23; the remainder of 122-100-03 became 122-100-24)."
123-032-11,New APN's: 123-032-26 and 123-032-27 (a portion of 123-032-11 and all of 123-032-12 were combined to form 123-032-26; the remainder of 123-032-11 was combined with 123-032-13 to form 123-032-27).
123-032-12,"New APN: 123-032-26 (a portion of 123-032-11 and all of 123-032-12 were combined to form 123-032-26; the remainder of 123-032-11 was combined with 123-032-13 to form 123-032-27).
Parcel area is shown only to the high water line."
125-382-19,
126-560-37,New APN: 126-560-41 (parcel boundary was adjusted with HOA common area to accommodate new garage)
129-280-14,
129-280-15,
129-280-16,
129-280-17,
129-280-18,New APN: 129-301-07
129-280-19,
129-291-03,
129-291-13,
129-291-17,
129-291-20,
129-292-01,
129-292-02,
129-292-03,
129-292-06,
129-292-07,
129-292-10,
129-292-12,
129-292-14,
129-292-17,
129-292-18,
129-292-19,
129-292-20,
129-292-22,
129-292-26,
130-312-04,"New APN: 130-312-30 (APNs 130-312-27 & 130-312-04 were merged to make this new APN).
NOTE: This parcel is part of a deed-restricted project area for land coverage calculation purposes that includes APNs 130-312-25, 130-312-28, 130-132-30 (-30 was formerly APNs 130-312-04 & 130-312-27, which were merged). Parcel area, land capability, existing coverage and banked coverage for all parcels in the project area are shown on APN 130-312-25."
130-312-27,"New APN: 130-312-30 (APNs 130-312-27 & 130-312-04 were merged).

NOTE: This parcel is part of a deed-restricted project area for land coverage calculation purposes that includes APNs 130-312-25, 130-312-28, 130-132-30 (-30 was formerly APNs 130-312-04 & 130-32-27, which were merged). Parcel area, land capability, existing coverage and banked coverage for all parcels in the project area are shown on APN 130-312-25."
1318-15-601-003,"Previous APN's: 1318-15-610-001, 005-321-29, 005-321-27, 005-321-24"
1418-10-702-006,
1418-15-201-003,New APNs: 1418-15-201-006 & 1418-15-601-003 (A portion of 1418-15-201-003 combined with all of 1418-15-601-001 to make APN 1418-15-601-003. The remainder of 1418-15-201-003 became APN 1418-15-201-006.)
1418-15-601-001,New APN: 1418-15-601-003 (A portion of 1418-15-201-003 combined with all of 1418-15-601-001 to make APN 1418-15-601-003. 
1418-15-801-005,
1418-27-210-029,"Verified parcel size is to HWL.
Previous APN: 1418-27-210-003 (parcel was split into 3 new APN's)
New APN's: 1418-27-210-036 and 1418-27-210-037 (parcels 1418-27-210-029 and 1418-27-210-030 were combined and split lengthwise).
File LCAP2013-0166 verified 9,851 sf of coverage. Not broken out by land class."
