Lost_APN,Candidate_New_APN,Confidence,FC_Last_Year_Old,FC_First_Year_New,Suggested_Change_Year,Total_Units_CSV,Match_Source,Issue_Category
1319-30-615-001,1319-30-615-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-615-002,1319-30-615-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-615-003,1319-30-615-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
015-264-17,015-264-25,MEDIUM_NEW_ONLY,,2012,2012,5,KK,UNKNOWN
1319-30-615-005,1319-30-615-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-615-006,1319-30-615-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-622-006,1319-30-622-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-622-009,1319-30-622-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-622-010,1319-30-610-001,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-624-002,1319-30-624-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-624-003,1319-30-624-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-624-004,1319-30-624-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-625-002,1319-30-625-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-625-003,1319-30-625-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-625-004,1319-30-625-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-626-001,1319-30-626-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-626-002,1319-30-626-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-626-003,1319-30-626-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
029-602-011,029-032-09,MEDIUM_OLD_ONLY,2014,,2015,5,KK,PARCEL_NEW
1319-30-612-012,1319-30-612-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
016-091-65,016-091-51,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-612-008,1319-30-612-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-612-010,1319-30-612-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-522-002,1319-30-523-003,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-522-001,1319-30-523-003,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-611-002,1319-30-610-001,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-520-026,1319-30-520-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-520-030,1319-30-520-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-520-002,1319-30-520-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-520-006,1319-30-520-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-520-007,1319-30-520-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-520-008,1319-30-520-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-520-009,1319-30-520-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-520-001,1319-30-520-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-520-014,1319-30-520-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-520-015,1319-30-520-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-520-019,1319-30-520-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-520-020,1319-30-520-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-520-021,1319-30-520-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-520-023,1319-30-520-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-520-025,1319-30-520-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-520-010,1319-30-520-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
021-321-35,021-321-29,MEDIUM_GAP,2025,2013,2013,5,KK,UNKNOWN
1319-30-612-009,1319-30-612-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-520-013,1319-30-520-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-612-007,1319-30-612-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-611-003,1319-30-610-001,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
036-543-11,036-472-009,MEDIUM_NEW_ONLY,,2012,2012,5,KK,UNKNOWN
129-292-31,129-290-01,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-514-022,1319-30-514-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-514-015,1319-30-514-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-515-001,1319-30-515-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-522-003,1319-30-523-003,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-522-004,1319-30-523-003,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-611-001,1319-30-610-001,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
025-551-34,025-551-02,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-514-024,1319-30-514-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-611-004,1319-30-610-001,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-611-005,1319-30-610-001,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-611-006,1319-30-610-001,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-611-007,1319-30-610-001,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-611-008,1319-30-610-001,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-612-001,1319-30-612-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-612-002,1319-30-612-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-612-003,1319-30-612-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-612-004,1319-30-612-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
1319-30-612-005,1319-30-612-000,MEDIUM_GAP,2025,2012,2012,5,KK,UNKNOWN
031-085-23,031-085-22,MEDIUM_GAP,2025,2013,2013,4,KK,PARCEL_SPLIT
021-321-32,021-321-29,MEDIUM_GAP,2025,2013,2013,4,KK,PARCEL_SPLIT
025-224-20,025-224-18,MEDIUM_GAP,2025,2013,2013,4,KK,PARCEL_SPLIT
1319-30-515-004,1319-30-515-000,MEDIUM_GAP,2025,2012,2012,4,KK,UNKNOWN
035-234-20,035-234-09,MEDIUM_GAP,2025,2013,2013,4,KK,PARCEL_SPLIT
1319-30-515-002,1319-30-515-000,MEDIUM_GAP,2025,2012,2012,4,KK,UNKNOWN
1319-30-515-003,1319-30-515-000,MEDIUM_GAP,2025,2012,2012,4,KK,UNKNOWN
021-201-16,021-201-11,MEDIUM_GAP,2025,2013,2013,3,KK,PARCEL_SPLIT
021-321-035,021-321-29,MEDIUM_GAP,2017,2013,2013,3,KK,PARCEL_SPLIT
033-574-006,033-574-03,MEDIUM_GAP,2017,2013,2013,3,KK,PARCEL_SPLIT
036-530-027,036-530-23,MEDIUM_GAP,2017,2013,2013,3,KK,PARCEL_SPLIT
029-630-12,029-095-06,MEDIUM_GAP,2025,2013,2013,2,KK,PARCEL_SPLIT
029-602-13,029-602-01,MEDIUM_GAP,2025,2013,2013,2,KK,PARCEL_SPLIT
028-301-65,028-301-25,MEDIUM_GAP,2025,2013,2013,2,KK,PARCEL_SPLIT
025-382-14,025-382-07,MEDIUM_GAP,2025,2013,2013,2,KK,PARCEL_SPLIT
017-041-34,017-041-19,MEDIUM_GAP,2025,2013,2013,2,KK,PARCEL_SPLIT
029-630-04,029-095-06,MEDIUM_GAP,2025,2013,2013,2,KK,PARCEL_SPLIT
029-630-15,029-095-06,MEDIUM_GAP,2025,2013,2013,2,KK,PARCEL_SPLIT
