Relation_ID,Residential_Unit_ID,APN,APN_canon,Transaction_ID,Sequence,Is_Latest,Transaction_Type,Development_Type,Detailed_Development_Type,Development_Right,Allocation_Number,Quantity,Transaction_Record_ID,Transaction_Created_Date,Transaction_Acknowledged_Date,Year_Built,TRPA_Project_Number,Local_Project_Number,TRPA_Status,TRPA_Status_Date,Local_Status,Local_Status_Date,Status_Jan_2026,Notes
RUT-023-211-022-015-01,RU-023-211-022-015,023-211-022,023-211-022,TRPA-CONV-2917,1,True,Conversion,Converted To,Multi-Family Residential From Conversion (TAU to MFRUU),Multi-Family Residential Unit of Use (MFRUU),,21.0,,,,2024.0,ERSP2024-0360,21040103,Acknowledged,2026-01-06,Finaled,2024-01-01,Completed,Finaled date is estimated
RUT-023-211-022-016-01,RU-023-211-022-016,023-211-022,023-211-022,TRPA-CONV-2917,1,True,Conversion,Converted To,Multi-Family Residential From Conversion (TAU to MFRUU),Multi-Family Residential Unit of Use (MFRUU),,21.0,,,,2024.0,ERSP2024-0360,21040103,Acknowledged,2026-01-06,Finaled,2024-01-01,Completed,Finaled date is estimated
RUT-023-211-022-017-01,RU-023-211-022-017,023-211-022,023-211-022,TRPA-CONV-2917,1,True,Conversion,Converted To,Multi-Family Residential From Conversion (TAU to MFRUU),Multi-Family Residential Unit of Use (MFRUU),,21.0,,,,2024.0,ERSP2024-0360,21040103,Acknowledged,2026-01-06,Finaled,2024-01-01,Completed,Finaled date is estimated
RUT-023-211-022-018-01,RU-023-211-022-018,023-211-022,023-211-022,TRPA-CONV-2917,1,True,Conversion,Converted To,Multi-Family Residential From Conversion (TAU to MFRUU),Multi-Family Residential Unit of Use (MFRUU),,21.0,,,,2024.0,ERSP2024-0360,21040103,Acknowledged,2026-01-06,Finaled,2024-01-01,Completed,Finaled date is estimated
RUT-023-211-022-019-01,RU-023-211-022-019,023-211-022,023-211-022,TRPA-CONV-2917,1,True,Conversion,Converted To,Multi-Family Residential From Conversion (TAU to MFRUU),Multi-Family Residential Unit of Use (MFRUU),,21.0,,,,2024.0,ERSP2024-0360,21040103,Acknowledged,2026-01-06,Finaled,2024-01-01,Completed,Finaled date is estimated
RUT-023-211-022-020-01,RU-023-211-022-020,023-211-022,023-211-022,TRPA-CONV-2917,1,True,Conversion,Converted To,Multi-Family Residential From Conversion (TAU to MFRUU),Multi-Family Residential Unit of Use (MFRUU),,21.0,,,,2024.0,ERSP2024-0360,21040103,Acknowledged,2026-01-06,Finaled,2024-01-01,Completed,Finaled date is estimated
RUT-023-211-022-021-01,RU-023-211-022-021,023-211-022,023-211-022,TRPA-CONV-2917,1,True,Conversion,Converted To,Multi-Family Residential From Conversion (TAU to MFRUU),Multi-Family Residential Unit of Use (MFRUU),,21.0,,,,2024.0,ERSP2024-0360,21040103,Acknowledged,2026-01-06,Finaled,2024-01-01,Completed,Finaled date is estimated
RUT-023-241-042-001-01,RU-023-241-042-001,023-241-042,023-241-042,TRPA-CONV-2071,1,False,Conversion,Converted To,Multi-Family Residential From Conversion (CFA to MFRUU),Multi-Family Residential Unit of Use (MFRUU),,14.0,ERSP2022-0098,2022-11-08,2022-05-29,2023.0,22020091,22020091,Finaled,2023-10-18,Finaled,2023-10-18,Completed,"CSLT-ALLOC-1804 allocated 2,800 SF CFA from the City Tahoe Valley pool; then TRPA-CONV-2071 converted the CFA to MFRUUs for this project. "
RUT-023-241-042-001-02,RU-023-241-042-001,023-241-042,023-241-042,CSLT-ALLOC-1804,2,True,Allocation,Allocation,Multi-Family Residential From Conversion (CFA to MFRUU),Commercial Floor Area (CFA),,0.0,ERSP2022-0098,2022-11-08,2022-05-29,2023.0,22020091,22020091,Finaled,2023-10-18,Finaled,2023-10-18,Completed,"CSLT-ALLOC-1804 allocated 2,800 SF CFA from the City Tahoe Valley pool; then TRPA-CONV-2071 converted the CFA to MFRUUs for this project. "
RUT-023-241-042-002-01,RU-023-241-042-002,023-241-042,023-241-042,TRPA-CONV-2071,1,False,Conversion,Converted To,Multi-Family Residential From Conversion (CFA to MFRUU),Multi-Family Residential Unit of Use (MFRUU),,14.0,ERSP2022-0098,2022-11-08,2022-05-29,2023.0,22020091,22020091,Finaled,2023-10-18,Finaled,2023-10-18,Completed,"CSLT-ALLOC-1804 allocated 2,800 SF CFA from the City Tahoe Valley pool; then TRPA-CONV-2071 converted the CFA to MFRUUs for this project. "
RUT-023-241-042-002-02,RU-023-241-042-002,023-241-042,023-241-042,CSLT-ALLOC-1804,2,True,Allocation,Allocation,Multi-Family Residential From Conversion (CFA to MFRUU),Commercial Floor Area (CFA),,0.0,ERSP2022-0098,2022-11-08,2022-05-29,2023.0,22020091,22020091,Finaled,2023-10-18,Finaled,2023-10-18,Completed,"CSLT-ALLOC-1804 allocated 2,800 SF CFA from the City Tahoe Valley pool; then TRPA-CONV-2071 converted the CFA to MFRUUs for this project. "
RUT-023-241-042-003-01,RU-023-241-042-003,023-241-042,023-241-042,TRPA-CONV-2071,1,False,Conversion,Converted To,Multi-Family Residential From Conversion (CFA to MFRUU),Multi-Family Residential Unit of Use (MFRUU),,14.0,ERSP2022-0098,2022-11-08,2022-05-29,2023.0,22020091,22020091,Finaled,2023-10-18,Finaled,2023-10-18,Completed,"CSLT-ALLOC-1804 allocated 2,800 SF CFA from the City Tahoe Valley pool; then TRPA-CONV-2071 converted the CFA to MFRUUs for this project. "
