Relation_ID,Residential_Unit_ID,APN,APN_canon,Transaction_ID,Sequence,Is_Latest,Transaction_Type,Development_Type,Detailed_Development_Type,Development_Right,Allocation_Number,Quantity,Transaction_Record_ID,Transaction_Created_Date,Transaction_Acknowledged_Date,Year_Built,TRPA_Project_Number,Local_Project_Number,TRPA_Status,TRPA_Status_Date,Local_Status,Local_Status_Date,Status_Jan_2026,Notes
RUT-025-041-023-037-02,RU-025-041-023-037,025-041-023,025-041-023,TRPA-ALLOC-2274,2,False,Residential Bonus Unit (RBU),Residential Bonus Unit,New Multi-Family Residential from Bonus Unit (Achievable),Residential Bonus Unit (RBU),,1.0,,,,2025.0,ERSP2022-1992,,Acknowledged,2023-05-17,Finaled,2025-10-01,Completed,City issued CofO in October 2025
RUT-025-041-023-037-03,RU-025-041-023-037,025-041-023,025-041-023,TRPA-ALLOC-1871,3,False,Residential Bonus Unit (RBU),Residential Bonus Unit,New Multi-Family Residential from Bonus Unit (Affordable),Residential Bonus Unit (RBU),,19.0,,,,2025.0,ERSP2022-1992,,Acknowledged,2023-05-17,Finaled,2025-10-01,Completed,City issued CofO in October 2025
RUT-025-041-023-037-04,RU-025-041-023-037,025-041-023,025-041-023,TRPA-CONVTRF-2288,4,True,Conversion With Transfer,Converted and Transferred To,Multi-Family Residential from Conversion/Transfer (TAU to MFRUU)(Affordable/LTCC),Multi-Family Residential Unit of Use (MFRUU),,21.0,ERSP2023-0438,2023-06-30,2023-05-19,2025.0,ERSP2022-1992,,Acknowledged,2023-05-17,Finaled,2025-10-01,Completed,"City issued CofO in October 2025. Per ERSP2022-1992, TRPA has agreed to reserve 21 residential bonus units for the project for up to five years. The assignment of these units may require a change to the Bijou/Al Tahoe Community Plan or the adoption of the Midtown Area Plan (replacing the Bijou/Al Tahoe Community Plan) to allow additional Residential Bonus Units in this area. "
RUT-025-041-023-038-01,RU-025-041-023-038,025-041-023,025-041-023,TRPA-ALLOC-1872,1,False,Residential Bonus Unit (RBU),Residential Bonus Unit,New Multi-Family Residential from Bonus Unit (Affordable),Residential Bonus Unit (RBU),,21.0,,,,,,,,,,,Not Completed,Bonus Units are reserved to replace the MFRUUs once the Mid-Town Area Plan is adopted
RUT-025-041-023-038-02,RU-025-041-023-038,025-041-023,025-041-023,TRPA-ALLOC-2274,2,False,Residential Bonus Unit (RBU),Residential Bonus Unit,New Multi-Family Residential from Bonus Unit (Achievable),Residential Bonus Unit (RBU),,1.0,,,,2025.0,ERSP2022-1992,,Acknowledged,2023-05-17,Finaled,2025-10-01,Completed,City issued CofO in October 2025
RUT-025-041-023-038-03,RU-025-041-023-038,025-041-023,025-041-023,TRPA-ALLOC-1871,3,False,Residential Bonus Unit (RBU),Residential Bonus Unit,New Multi-Family Residential from Bonus Unit (Affordable),Residential Bonus Unit (RBU),,19.0,,,,2025.0,ERSP2022-1992,,Acknowledged,2023-05-17,Finaled,2025-10-01,Completed,City issued CofO in October 2025
RUT-025-041-023-038-04,RU-025-041-023-038,025-041-023,025-041-023,TRPA-CONVTRF-2288,4,True,Conversion With Transfer,Converted and Transferred To,Multi-Family Residential from Conversion/Transfer (TAU to MFRUU)(Affordable/LTCC),Multi-Family Residential Unit of Use (MFRUU),,21.0,ERSP2023-0438,2023-06-30,2023-05-19,2025.0,ERSP2022-1992,,Acknowledged,2023-05-17,Finaled,2025-10-01,Completed,"City issued CofO in October 2025. Per ERSP2022-1992, TRPA has agreed to reserve 21 residential bonus units for the project for up to five years. The assignment of these units may require a change to the Bijou/Al Tahoe Community Plan or the adoption of the Midtown Area Plan (replacing the Bijou/Al Tahoe Community Plan) to allow additional Residential Bonus Units in this area. "
RUT-025-041-023-039-01,RU-025-041-023-039,025-041-023,025-041-023,TRPA-ALLOC-1872,1,False,Residential Bonus Unit (RBU),Residential Bonus Unit,New Multi-Family Residential from Bonus Unit (Affordable),Residential Bonus Unit (RBU),,21.0,,,,,,,,,,,Not Completed,Bonus Units are reserved to replace the MFRUUs once the Mid-Town Area Plan is adopted
RUT-025-041-023-039-02,RU-025-041-023-039,025-041-023,025-041-023,TRPA-ALLOC-2274,2,False,Residential Bonus Unit (RBU),Residential Bonus Unit,New Multi-Family Residential from Bonus Unit (Achievable),Residential Bonus Unit (RBU),,1.0,,,,2025.0,ERSP2022-1992,,Acknowledged,2023-05-17,Finaled,2025-10-01,Completed,City issued CofO in October 2025
RUT-025-041-023-039-03,RU-025-041-023-039,025-041-023,025-041-023,TRPA-ALLOC-1871,3,False,Residential Bonus Unit (RBU),Residential Bonus Unit,New Multi-Family Residential from Bonus Unit (Affordable),Residential Bonus Unit (RBU),,19.0,,,,2025.0,ERSP2022-1992,,Acknowledged,2023-05-17,Finaled,2025-10-01,Completed,City issued CofO in October 2025
RUT-025-041-023-039-04,RU-025-041-023-039,025-041-023,025-041-023,TRPA-CONVTRF-2288,4,True,Conversion With Transfer,Converted and Transferred To,Multi-Family Residential from Conversion/Transfer (TAU to MFRUU)(Affordable/LTCC),Multi-Family Residential Unit of Use (MFRUU),,21.0,ERSP2023-0438,2023-06-30,2023-05-19,2025.0,ERSP2022-1992,,Acknowledged,2023-05-17,Finaled,2025-10-01,Completed,"City issued CofO in October 2025. Per ERSP2022-1992, TRPA has agreed to reserve 21 residential bonus units for the project for up to five years. The assignment of these units may require a change to the Bijou/Al Tahoe Community Plan or the adoption of the Midtown Area Plan (replacing the Bijou/Al Tahoe Community Plan) to allow additional Residential Bonus Units in this area. "
RUT-025-041-023-040-01,RU-025-041-023-040,025-041-023,025-041-023,TRPA-ALLOC-1872,1,False,Residential Bonus Unit (RBU),Residential Bonus Unit,New Multi-Family Residential from Bonus Unit (Affordable),Residential Bonus Unit (RBU),,21.0,,,,,,,,,,,Not Completed,Bonus Units are reserved to replace the MFRUUs once the Mid-Town Area Plan is adopted
RUT-025-041-023-040-02,RU-025-041-023-040,025-041-023,025-041-023,TRPA-ALLOC-2274,2,False,Residential Bonus Unit (RBU),Residential Bonus Unit,New Multi-Family Residential from Bonus Unit (Achievable),Residential Bonus Unit (RBU),,1.0,,,,2025.0,ERSP2022-1992,,Acknowledged,2023-05-17,Finaled,2025-10-01,Completed,City issued CofO in October 2025
RUT-025-041-023-040-03,RU-025-041-023-040,025-041-023,025-041-023,TRPA-ALLOC-1871,3,False,Residential Bonus Unit (RBU),Residential Bonus Unit,New Multi-Family Residential from Bonus Unit (Affordable),Residential Bonus Unit (RBU),,19.0,,,,2025.0,ERSP2022-1992,,Acknowledged,2023-05-17,Finaled,2025-10-01,Completed,City issued CofO in October 2025
RUT-025-041-023-040-04,RU-025-041-023-040,025-041-023,025-041-023,TRPA-CONVTRF-2288,4,True,Conversion With Transfer,Converted and Transferred To,Multi-Family Residential from Conversion/Transfer (TAU to MFRUU)(Affordable/LTCC),Multi-Family Residential Unit of Use (MFRUU),,21.0,ERSP2023-0438,2023-06-30,2023-05-19,2025.0,ERSP2022-1992,,Acknowledged,2023-05-17,Finaled,2025-10-01,Completed,"City issued CofO in October 2025. Per ERSP2022-1992, TRPA has agreed to reserve 21 residential bonus units for the project for up to five years. The assignment of these units may require a change to the Bijou/Al Tahoe Community Plan or the adoption of the Midtown Area Plan (replacing the Bijou/Al Tahoe Community Plan) to allow additional Residential Bonus Units in this area. "
RUT-025-041-023-041-01,RU-025-041-023-041,025-041-023,025-041-023,TRPA-ALLOC-1872,1,False,Residential Bonus Unit (RBU),Residential Bonus Unit,New Multi-Family Residential from Bonus Unit (Affordable),Residential Bonus Unit (RBU),,21.0,,,,,,,,,,,Not Completed,Bonus Units are reserved to replace the MFRUUs once the Mid-Town Area Plan is adopted
RUT-025-041-023-041-02,RU-025-041-023-041,025-041-023,025-041-023,TRPA-ALLOC-2274,2,False,Residential Bonus Unit (RBU),Residential Bonus Unit,New Multi-Family Residential from Bonus Unit (Achievable),Residential Bonus Unit (RBU),,1.0,,,,2025.0,ERSP2022-1992,,Acknowledged,2023-05-17,Finaled,2025-10-01,Completed,City issued CofO in October 2025
RUT-025-041-023-041-03,RU-025-041-023-041,025-041-023,025-041-023,TRPA-ALLOC-1871,3,False,Residential Bonus Unit (RBU),Residential Bonus Unit,New Multi-Family Residential from Bonus Unit (Affordable),Residential Bonus Unit (RBU),,19.0,,,,2025.0,ERSP2022-1992,,Acknowledged,2023-05-17,Finaled,2025-10-01,Completed,City issued CofO in October 2025
RUT-025-041-023-041-04,RU-025-041-023-041,025-041-023,025-041-023,TRPA-CONVTRF-2288,4,True,Conversion With Transfer,Converted and Transferred To,Multi-Family Residential from Conversion/Transfer (TAU to MFRUU)(Affordable/LTCC),Multi-Family Residential Unit of Use (MFRUU),,21.0,ERSP2023-0438,2023-06-30,2023-05-19,2025.0,ERSP2022-1992,,Acknowledged,2023-05-17,Finaled,2025-10-01,Completed,"City issued CofO in October 2025. Per ERSP2022-1992, TRPA has agreed to reserve 21 residential bonus units for the project for up to five years. The assignment of these units may require a change to the Bijou/Al Tahoe Community Plan or the adoption of the Midtown Area Plan (replacing the Bijou/Al Tahoe Community Plan) to allow additional Residential Bonus Units in this area. "
RUT-025-071-020-001-01,RU-025-071-020-001,025-071-020,025-071-020,CSLT-ALLOC-282,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,SLT-15-O-10,1.0,,,,2022.0,ERSP2014-0752 & ERSP2014-0752-01,19120116,Project Complete,2023-10-27,Finaled,2022-12-21,Completed,Caretaker's residence part of building wildlife center
RUT-025-201-008-001-01,RU-025-201-008-001,025-201-008,025-201-008,CSLT-ALLOC-1762,1,True,Residential Allocation,Allocation,New Single-Family Residential From Allocation,Residential Allocation - CSLT - Single-Family Pool,SLT-21-O-08,1.0,,,,2024.0,MOUA2024-1658,22020072,,,Finaled,2024-08-30,Completed,
RUT-025-211-001-001-01,RU-025-211-001-001,025-211-001,025-211-001,TRPA-TRF-286,1,True,Transfer,Transfer,New Single-Family Residential from Transfer,Single-Family Residential Unit of Use (SFRUU),,1.0,TRAN2014-0857,,2014-10-01,2015.0,,14080145,,,Finaled,,Completed,
RUT-025-211-003-001-01,RU-025-211-003-001,025-211-003,025-211-003,CSLT-ALLOC-2233,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation - CSLT - Single-Family Pool,SLT-22-O-20,1.0,,,,2023.0,22050113,22050113,Finaled,2023-09-28,Finaled,2023-09-28,Completed,
RUT-025-223-004-001-01,RU-025-223-004-001,025-223-004,025-223-004,CSLT-ALLOC-203,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,SLT-14-O-05,1.0,,,,2016.0,,14080133,,,Finaled,2016-09-02,Completed,
RUT-025-223-007-001-01,RU-025-223-007-001,025-223-007,025-223-007,CSLT-ALLOC-2760,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation - CSLT - Town Center Pool,SLT-19-O-32,1.0,,,,2022.0,21070128,21070128,Finaled,2022-07-01,Finaled,2022-07-01,Completed,Finaled date is estimated
RUT-025-224-015-001-01,RU-025-224-015-001,025-224-015,025-224-015,CSLT-ALLOC-196,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,SLT-13-O-16,1.0,,,,2015.0,,14020061,,,Finaled,2015-07-09,Completed,
RUT-025-224-019-001-01,RU-025-224-019-001,025-224-019,025-224-019,CSLT-ALLOC-2849,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation - CSLT - Single-Family Pool,SLT-23-O-21,1.0,,,,,RESNEW25-0003,RESNEW25-0003,Issued,,Issued,,Not Completed,
RUT-025-224-019-002-01,RU-025-224-019-002,025-224-019,025-224-019,CSLT-ALLOC-2849,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation - CSLT - Single-Family Pool,SLT-23-O-21,1.0,,,,,RESNEW25-0003,RESNEW25-0003,Issued,,Issued,,Not Completed,
RUT-025-225-016-001-01,RU-025-225-016-001,025-225-016,025-225-016,CSLT-ALLOC-199,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,SLT-14-O-04,1.0,,,,2015.0,,14080061,,,Finaled,2015-05-05,Completed,
RUT-025-226-002-001-01,RU-025-226-002-001,025-226-002,025-226-002,TRPA-TRF-700,1,True,Transfer,Transfer,Single-Family Residential from Transfer,Single-Family Residential Unit of Use (SFRUU),,1.0,TRAN2018-0571,2018-09-19,2019-02-11,2020.0,MOUA2022-0932,18100121,Finaled,,Finaled,,Completed,
RUT-025-226-003-001-01,RU-025-226-003-001,025-226-003,025-226-003,CSLT-ALLOC-1737,1,True,Residential Allocation,Allocation,New Single-Family Residential From Allocation,Residential Allocation - CSLT - Single-Family Pool,SLT-21-O-14,1.0,,,,2024.0,MOUA2025-0015,22020024,,,Finaled,2024-11-20,Completed,
RUT-025-231-014-001-01,RU-025-231-014-001,025-231-014,025-231-014,CSLT-ALLOC-2259,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation - City of South Lake Tahoe,SLT-09-O-21,1.0,,,,2015.0,11090020,11090020,Finaled,2012-07-01,Finaled,2015-08-31,Completed,Finaled date is estimated
RUT-025-261-009-001-01,RU-025-261-009-001,025-261-009,025-261-009,CSLT-ALLOC-1739,1,True,Residential Allocation,Allocation,New Single-Family Residential From Allocation,Residential Allocation - CSLT - Single-Family Pool,SLT-21-O-22,1.0,,,,2025.0,,22010102,,,Finaled,2025-09-12,Completed,
RUT-025-261-013-001-01,RU-025-261-013-001,025-261-013,025-261-013,CSLT-ALLOC-237,1,True,Residential Allocation,Allocation,New Single-Family Residential From Allocation,Residential Allocation,SLT-14-O-11,1.0,,,,2017.0,,14120022,,,Finaled,2017-12-21,Completed,
RUT-025-262-004-001-01,RU-025-262-004-001,025-262-004,025-262-004,CSLT-ALLOC-822,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation - City of South Lake Tahoe,SLT-09-O-31,1.0,,,,2023.0,19030080,19030080,Finaled,2023-09-25,Finaled,2023-09-25,Completed,
RUT-025-262-006-001-01,RU-025-262-006-001,025-262-006,025-262-006,CSLT-ALLOC-2149,1,True,Residential Allocation,Allocation,New Single-Family Residential From Allocation,Residential Allocation - CSLT - Single-Family Pool,SLT-22-O-30,1.0,,,,2024.0,MOUA2025-0017,23030071,,,Finaled,2024-10-15,Completed,
RUT-025-264-009-001-01,RU-025-264-009-001,025-264-009,025-264-009,CSLT-ALLOC-2253,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation - City of South Lake Tahoe,SLT-09-O-15,1.0,,,,2011.0,10060088,10060088,Finaled,2011-07-01,Finaled,2011-07-01,Completed,
RUT-025-271-023-001-01,RU-025-271-023-001,025-271-023,025-271-023,TRPA-TRF-1997,1,True,Transfer,No Project,TBD,Single-Family Residential Unit of Use (SFRUU),,1.0,TRAN2022-0338,,2022-10-11,,,,,,,,No Project,Unsure if there is a project or not--several permits for remodeling and use of space above garage that is being illegally used as vac rental
RUT-025-271-030-001-01,RU-025-271-030-001,025-271-030,025-271-030,EDCCA-ALLOC-1408,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-09-O-30,1.0,,,,2012.0,,,,,,,Completed,
RUT-025-272-018-001-01,RU-025-272-018-001,025-272-018,025-272-018,EDCCA-ALLOC-2916/TRPA-TRF-2779,1,True,Residential Allocation,Allocation,New Single-Family Residential ADU From Allocation/PRU Transfer,Residential Allocation - El Dorado County,EL-24-O-12,1.0,,,,2025.0,ERSP2025-0772,383338,Project Complete,2025-09-25,Finaled,2025-09-16,Completed,
RUT-025-272-018-002-01,RU-025-272-018-002,025-272-018,025-272-018,EDCCA-ALLOC-2916/TRPA-TRF-2779,1,True,Residential Allocation,Allocation,New Single-Family Residential ADU From Allocation/PRU Transfer,Residential Allocation - El Dorado County,EL-24-O-12,1.0,,,,2025.0,ERSP2025-0772,383338,Project Complete,2025-09-25,Finaled,2025-09-16,Completed,
RUT-025-291-008-001-01,RU-025-291-008-001,025-291-008,025-291-008,CSLT-ALLOC-3039,1,True,Residential Allocation,Allocation,New Single-Family Residential From Allocation,Residential Allocation - CSLT - Town Center Pool,SLT-19-O-30,1.0,,,,2024.0,,21040130,,,Finaled,2024-07-11,Completed,
RUT-025-291-010-001-01,RU-025-291-010-001,025-291-010,025-291-010,CSLT-ALLOC-996,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,SLT-19-O-04,1.0,,,,2021.0,,19120124,,,Finaled,2021-11-01,Completed,
RUT-025-293-001-001-01,RU-025-293-001-001,025-293-001,025-293-001,CSLT-ALLOC-658,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,SLT-17-O-18,1.0,,,,2019.0,,,,,,,Completed,
RUT-025-303-002-001-01,RU-025-303-002-001,025-303-002,025-303-002,EDCCA-ALLOC-1720,1,True,Residential Allocation,Allocation,New Single-Family Residential From Allocation,Residential Allocation - El Dorado County,EL-19-O-15,1.0,,,,2022.0,0314951,314950,Issued,2021-07-30,Finaled,2022-11-02,Completed,
RUT-025-303-003-001-01,RU-025-303-003-001,025-303-003,025-303-003,EDCCA-ALLOC-743,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-18-O-15,1.0,,,,2019.0,,,,,,,Completed,
RUT-025-312-021-001-01,RU-025-312-021-001,025-312-021,025-312-021,EDCCA-ALLOC-569,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-17-O-28,1.0,,,,2019.0,,,,,,,Completed,
RUT-025-321-001-001-01,RU-025-321-001-001,025-321-001,025-321-001,CSLT-ALLOC-1064,1,True,Residential Allocation,Allocation,New Single-Family Residential From Allocation,Residential Allocation - City of South Lake Tahoe,SLT-19-O-19,1.0,,,,2024.0,,20090034,,,Finaled,2024-07-01,Completed,
RUT-025-331-013-001-01,RU-025-331-013-001,025-331-013,025-331-013,EDCCA-ALLOC-1791,1,True,Residential Allocation,Allocation,New Single-Family Residential From Allocation,Residential Allocation - El Dorado County,EL-20-O-28,1.0,,,,2022.0,316782,316781,Finaled,2024-05-29,Finaled,2022-09-16,Completed,
RUT-025-342-017-001-01,RU-025-342-017-001,025-342-017,025-342-017,EDCCA-ALLOC-592,1,True,Residential Allocation,Allocation,New Single-Family Residential From Allocation,Residential Allocation,EL-18-O-03,1.0,,,,2018.0,,,,,,,Completed,
RUT-025-352-009-001-01,RU-025-352-009-001,025-352-009,025-352-009,EDCCA-ALLOC-572,1,True,Residential Allocation,Allocation,New Single-Family Residential From Allocation,Residential Allocation,EL-17-O-17,1.0,,,,2018.0,,,,,,,Completed,
RUT-025-354-008-001-01,RU-025-354-008-001,025-354-008,025-354-008,EDCCA-ALLOC-1401,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-09-O-20,1.0,,,,2012.0,,,,,,,Completed,
RUT-025-354-015-001-01,RU-025-354-015-001,025-354-015,025-354-015,EDCCA-ALLOC-1973,1,True,Residential Allocation,Allocation,New Single-Family Residential From Allocation,Residential Allocation - El Dorado County,EL-21-O-09,1.0,,,,2024.0,0339726,339724,Issued,2022-04-05,Finaled,2024-07-31,Completed,
RUT-025-374-003-001-01,RU-025-374-003-001,025-374-003,025-374-003,CSLT-ALLOC-1115,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,SLT-19-O-07,1.0,,,,2022.0,,19120012,,,Finaled,2022-02-18,Completed,"Assessor says parcel is vacant, but google maps street view shows a house"
RUT-025-377-001-001-01,RU-025-377-001-001,025-377-001,025-377-001,TRPA-TRF-2780,1,True,Transfer,No Project,TBD,Single-Family Residential Unit of Use (SFRUU),,1.0,TRAN2025-0446,,,,,,,,,,No Project,RUU to be banked on the receiving parcel
RUT-025-377-009-001-01,RU-025-377-009-001,025-377-009,025-377-009,TRPA-CONVTRF-392,1,True,Conversion With Transfer,Converted and Transferred To,Single-Family Residential From Conversion (TAU to SFRUU),Single-Family Residential Unit of Use (SFRUU),,1.0,TRAN2016-0541,2016-07-25,2017-03-20,2017.0,16080019,16080019,Finaled,2017-08-21,Finaled,2017-08-21,Completed,
RUT-025-381-012-001-01,RU-025-381-012-001,025-381-012,025-381-012,TRPA-TRF-2358,1,False,Transfer,No Project,TBD,Commercial Floor Area (CFA),,68.0,TRAN2023-1146,,2023-12-04,,,,,,,,No Project,Remainder from Conversion and Transfer of CFA
RUT-025-381-012-001-02,RU-025-381-012-001,025-381-012,025-381-012,TRPA-TRF-2359,2,True,Transfer,No Project,TBD,Single-Family Residential Unit of Use (SFRUU),,4.0,TRAN2023-1146,,2023-12-04,,,,,,,,No Project,"Units were transferred to this parcel for banking, then later transferred to other properties"
RUT-025-394-012-001-01,RU-025-394-012-001,025-394-012,025-394-012,CSLT-ALLOC-186,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,SLT-13-O-01,1.0,,,,2014.0,,13090022,,,Finaled,2014-10-20,Completed,
RUT-025-401-010-001-01,RU-025-401-010-001,025-401-010,025-401-010,CSLT-ALLOC-188,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,SLT-13-O-03,1.0,,,,2014.0,,13110059,,,Finaled,2014-10-31,Completed,
RUT-025-432-020-001-01,RU-025-432-020-001,025-432-020,025-432-020,EDCCA-ALLOC-456,1,True,Residential Allocation,Allocation,New Single-Family Residential From Allocation,Residential Allocation,EL-15-O-04,1.0,,,,2018.0,,,,,,,Completed,
RUT-025-451-029-001-01,RU-025-451-029-001,025-451-029,025-451-029,EDCCA-ALLOC-503,1,True,Residential Allocation,Allocation,New Single-Family Residential From Allocation,Residential Allocation,EL-14-O-17,1.0,,,,2018.0,,,,,,,Completed,
RUT-025-542-008-001-01,RU-025-542-008-001,025-542-008,025-542-008,CSLT-ALLOC-459,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,SLT-15-O-27,1.0,,,,2017.0,,16040012,,,Finaled,2017-06-30,Completed,
RUT-025-543-008-001-01,RU-025-543-008-001,025-543-008,025-543-008,TRPA-TRF-305,1,True,Transfer,Transfer,New Single-Family Residential from Transfer,Single-Family Residential Unit of Use (SFRUU),,1.0,TRAN2014-0992,,2014-11-07,2015.0,,14090093,,,Finaled,,Completed,
RUT-025-544-001-001-01,RU-025-544-001-001,025-544-001,025-544-001,CSLT-ALLOC-925,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,SLT-19-O-06,1.0,,,,2020.0,,,,,,,Completed,
RUT-025-544-010-001-01,RU-025-544-010-001,025-544-010,025-544-010,CSLT-ALLOC-200/TRPA-TRF-297,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation/PRU Transfer,Residential Allocation,SLT-14-O-08,1.0,TRAN2014-1379,,2015-03-23,2018.0,14090124,14090124,Finaled,2018-06-05,Finaled,2018-06-05,Completed,"025-544-010 had previously transferred its development right, so a transfer was required"
RUT-025-552-011-001-01,RU-025-552-011-001,025-552-011,025-552-011,CSLT-ALLOC-662,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,SLT-14-O-02,1.0,,,,2023.0,,18020093,,,Finaled,2023-10-23,Completed,
RUT-025-554-014-001-01,RU-025-554-014-001,025-554-014,025-554-014,TRPA-CONVTRF-2754,1,True,Conversion With Transfer,Converted and Transferred To,Single-Family Residential ADU from Conversion/Transfer (TAU to SFRUU),Single-Family Residential Unit of Use (SFRUU),,1.0,TRAN2025-0359,,2025-05-16,,ERSP2024-1724,24110048,Permit Acknowledged,2025-04-21,Issued,2025-02-20,Not Completed,
RUT-025-580-002-001-01,RU-025-580-002-001,025-580-002,025-580-002,CSLT-ALLOC-2238,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation - City of South Lake Tahoe,SLT-09-O-01,1.0,,,,2010.0,ERSP2009-1081,9080034,Project Completed,2011-12-19,Finaled,2010-07-01,Completed,Finaled date is estimated
RUT-025-591-007-001-01,RU-025-591-007-001,025-591-007,025-591-007,EDCCA-ALLOC-1296,1,True,Residential Allocation,Allocation,New Single-Family Residential From Allocation,Residential Allocation - El Dorado County,EL-19-O-26,1.0,,,,2024.0,315824,367966,Finaled,2024-06-10,Finaled,2024-05-30,Completed,
RUT-025-592-012-001-01,RU-025-592-012-001,025-592-012,025-592-012,EDCCA-ALLOC-403,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-15-O-13,1.0,,,,2016.0,,,,,,,Completed,
RUT-025-643-011-001-01,RU-025-643-011-001,025-643-011,025-643-011,EDCCA-ALLOC-220,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-13-O-44,1.0,,,,2015.0,,,,,,,Completed,
RUT-025-644-001-001-01,RU-025-644-001-001,025-644-001,025-644-001,EDCCA-ALLOC-236,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-13-O-16,1.0,,,,2016.0,,221868,,,Finaled,2016-06-28,Completed,
RUT-025-651-001-001-01,RU-025-651-001-001,025-651-001,025-651-001,EDCCA-ALLOC-1433,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-09-O-61,1.0,,,,2014.0,,,,,,,Completed,
RUT-025-654-001-001-01,RU-025-654-001-001,025-654-001,025-654-001,EDCCA-ALLOC-1418,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-09-O-42,1.0,,,,2013.0,,,,,,,Completed,
RUT-025-670-021-001-01,RU-025-670-021-001,025-670-021,025-670-021,CSLT-ALLOC-1089,1,False,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation - City of South Lake Tahoe,SLT-20-O-32,1.0,,,,2022.0,20050011,20050011,Finaled,2023-09-13,Finaled,2022-12-09,Completed,Two NSFDs
RUT-025-670-021-001-02,RU-025-670-021-001,025-670-021,025-670-021,TRPA-TRF-922,2,True,Transfer,Allocation,New Single-Family Residential from Allocation/PRU Transfer,Potential Residential Unit of Use (PRUU),TBD,1.0,TRAN2019-0841,2019-10-02,2019-11-13,2022.0,20050011,20050011,Finaled,2023-09-13,Finaled,2022-12-09,Completed,Two NSFDs
RUT-025-670-021-002-01,RU-025-670-021-002,025-670-021,025-670-021,CSLT-ALLOC-1089,1,False,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation - City of South Lake Tahoe,SLT-20-O-32,1.0,,,,2022.0,20050011,20050011,Finaled,2023-09-13,Finaled,2022-12-09,Completed,Two NSFDs
RUT-025-670-021-002-02,RU-025-670-021-002,025-670-021,025-670-021,TRPA-TRF-922,2,True,Transfer,Allocation,New Single-Family Residential from Allocation/PRU Transfer,Potential Residential Unit of Use (PRUU),TBD,1.0,TRAN2019-0841,2019-10-02,2019-11-13,2022.0,20050011,20050011,Finaled,2023-09-13,Finaled,2022-12-09,Completed,Two NSFDs
RUT-025-670-034-001-01,RU-025-670-034-001,025-670-034,025-670-034,CSLT-ALLOC-2264,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation - City of South Lake Tahoe,SLT-11-O-06,1.0,,,,2014.0,12050005,12050005,Finaled,2014-07-01,Finaled,2014-07-01,Completed,
RUT-025-681-014-001-01,RU-025-681-014-001,025-681-014,025-681-014,CSLT-ALLOC-201,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,SLT-14-O-07,1.0,,,,2016.0,,14090078,,,Finaled,2016-12-13,Completed,
