Building_ID,APN,APN_canon,Square_Feet,Original_Year_Built,Feature,Surface,Parcel_Acres,Residential_Units,Units_Assigned,COUNTY,JURISDICTION
19148,027-311-017,027-311-017,1832.35,1972,Building,Hard,0.1152156480513938,2.0,2,EL,CSLT
19149,027-201-002,027-201-002,854.11,1954,Building,Hard,0.2174957093053693,1.0,1,EL,CSLT
19150,018-090-048,018-090-048,720.87,1975,Building,Hard,0.7372163827394502,1.0,0,EL,EL
19151,027-155-022,027-155-022,507.91,1963,Building,Hard,0.1152164263104593,2.0,1,EL,CSLT
19152,028-301-052,028-301-052,727.7,1973,Building,Hard,0.0456338959773922,1.0,1,EL,CSLT
19153,028-163-009,028-163-009,560.44,1974,Building,Hard,0.3335603080794554,1.0,0,EL,CSLT
19154,027-364-025,027-364-025,9235.8,1960,Building,Hard,0.6128112487473869,0.0,0,EL,CSLT
19155,027-352-005,027-352-005,327.98,1962,Building,Hard,0.1781493644139155,1.0,0,EL,CSLT
19156,028-152-047,028-152-047,5547.18,1981,Building,Hard,0.646706580358096,1.0,1,EL,CSLT
19157,027-153-032,027-153-032,2005.46,1947,Building,Hard,0.1380358431287796,1.0,1,EL,CSLT
19158,027-362-003,027-362-003,13308.56,1963,Building,Hard,0.7203452902286444,0.0,0,EL,CSLT
19159,028-152-048,028-152-048,950.91,1968,Building,Hard,0.2510394189070943,1.0,1,EL,CSLT
19160,027-651-001,027-651-001,18684.85,,Building,Hard,0.7019017937896904,0.0,0,EL,CSLT
19161,027-354-010,027-354-010,1900.69,1958,Building,Hard,0.1775873461465592,1.0,1,EL,CSLT
19162,027-311-022,027-311-022,881.44,1950,Building,Hard,0.1151538569374544,1.0,1,EL,CSLT
19163,028-301-005,028-301-005,819.95,1973,Building,Hard,0.0461505669378607,1.0,1,EL,CSLT
19164,027-311-025,027-311-025,1823.25,1947,Building,Hard,0.1147237259492231,0.0,0,EL,CSLT
19165,,,550.13,,Building,Hard,,,0,,
19166,027-170-002,027-170-002,12260.5,1961,Building,Hard,4.673490141610225,36.0,22,EL,CSLT
19167,028-241-001,028-241-001,1239.68,,Building,Hard,4.068418525489089,1.0,0,EL,CSLT
19168,027-202-005,027-202-005,260.79,1952,Building,Hard,0.2186167075320093,1.0,0,EL,CSLT
19169,027-362-007,027-362-007,6816.99,1960,Building,Hard,0.7213836975289386,0.0,0,EL,CSLT
19170,027-153-023,027-153-023,427.06,1957,Building,Hard,0.0913169380880747,1.0,1,EL,CSLT
19171,027-155-021,027-155-021,1969.01,1963,Building,Hard,0.1142571128975955,2.0,2,EL,CSLT
19172,027-352-005,027-352-005,2271.94,1962,Building,Hard,0.1781493644139155,1.0,1,EL,CSLT
19173,028-162-034,028-162-034,789.2,1971,Building,Hard,0.28425748685907,1.0,0,EL,CSLT
19174,027-354-011,027-354-011,2755.79,1954,Building,Hard,0.2358089842694048,1.0,1,EL,CSLT
19175,027-205-008,027-205-008,2246.89,1959,Building,Hard,0.2712979849162263,10.0,7,EL,CSLT
19176,027-153-036,027-153-036,2448.46,1947,Building,Hard,0.1143566147964727,0.0,0,EL,CSLT
19177,018-090-048,018-090-048,2320.62,1975,Building,Hard,0.7372163827394502,1.0,1,EL,EL
19178,027-125-029,027-125-029,1476.54,1972,Building,Hard,0.1142566931668227,2.0,2,EL,CSLT
19179,,,713.98,,Building,Hard,,,0,,
19180,027-202-001,027-202-001,865.5,1955,Building,Hard,0.2184548350489821,1.0,1,EL,CSLT
