APN,COUNTY,JURISDICTION,PARCEL_ACRES,COMBINED_YEAR_BUILT,combined_source,match_method,in_residential_subdiv,tier,OriginalYrBuilt,CountyYearBuilt,OriginalYrBuilt_source_APN
094-060-003,PL,PL,1.2447207791917043,2001,original,direct,True,3,2001.0,2002.0,094-060-003
117-100-086,PL,PL,1.698442428482972,2001,original,direct,True,3,2001.0,2002.0,117-100-086
1318-22-001-014,DG,DG,0.0192223530520618,2000,original,genealogy_new_from_old,True,3,2000.0,,1318-22-001-008
097-170-002,PL,PL,0.2370690548410092,2000,original,direct,True,3,2000.0,,097-170-02
091-190-014,PL,PL,0.2471212756154026,2000,original,direct,True,3,2000.0,,091-190-14
036-310-007,EL,EL,0.2965806308599104,2000,original,direct,True,3,2000.0,,036-310-007
036-310-006,EL,EL,0.3326409211812874,2000,original,direct,True,3,2000.0,,036-310-006
093-260-004,PL,PL,0.3415445988851237,2000,original,direct,True,3,2000.0,,093-260-04
032-201-008,EL,CSLT,0.7513961419901993,2000,original,direct,True,3,2000.0,,032-201-008
029-470-008,EL,CSLT,1.195381858645534,2000,original,direct,True,3,2000.0,2000.0,029-470-08
094-140-023,PL,PL,1.4959455220401925,2000,original,direct,True,3,2000.0,,094-140-023
