Year,Residential_Units,Percent_Change,Difference
2012,47184,,
2018,48292,2.3482536453034886,1108
2019,48401,0.22571026256936744,109
2020,48630,0.47313072043966287,229
2021,48697,0.1377750359860208,67
2022,48834,0.2813314988602933,137
2023,48921,0.17815456444281175,87
