Commodity,CommodityCode,Pool,Year,Direction,Units,AsOfDate,LoadedDate
Residential allocations,RES,Washoe County,2002,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2003,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2004,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2005,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2006,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2007,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2008,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2009,NotAssigned,7,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2010,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2011,NotAssigned,5,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2012,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2013,NotAssigned,1,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2014,NotAssigned,21,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2015,NotAssigned,10,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2016,NotAssigned,10,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2017,NotAssigned,10,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2018,NotAssigned,10,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2019,NotAssigned,8,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2020,NotAssigned,8,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2021,NotAssigned,6,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2022,NotAssigned,6,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2023,NotAssigned,7,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2024,NotAssigned,6,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2025,NotAssigned,10,"May 12, 2026",2026-05-15
Residential allocations,RES,Washoe County,2026,NotAssigned,10,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,1986,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,1987,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,1988,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,1989,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,1990,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,1991,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,1992,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,1993,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,1994,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,1995,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,1996,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,1997,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,1998,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,1999,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2000,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2001,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2002,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2003,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2004,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2005,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2006,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2007,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2008,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2009,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2010,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2011,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2012,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2013,NotAssigned,5,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2014,NotAssigned,1,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2015,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2016,NotAssigned,2,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2017,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2018,NotAssigned,5,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2019,NotAssigned,10,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2020,NotAssigned,10,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2021,NotAssigned,10,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2022,NotAssigned,10,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2023,NotAssigned,10,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2024,NotAssigned,10,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2025,NotAssigned,10,"May 12, 2026",2026-05-15
Residential allocations,RES,Douglas County,2026,NotAssigned,10,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,1986,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,1987,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,1988,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,1989,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,1990,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,1991,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,1992,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,1993,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,1994,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,1995,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,1996,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,1997,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,1998,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,1999,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2000,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2001,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2002,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2003,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2004,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2005,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2006,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2007,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2008,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2009,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2010,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2011,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2012,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2013,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2014,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2015,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2016,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2017,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2018,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2019,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2020,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2021,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2022,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2023,NotAssigned,11,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2024,NotAssigned,27,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2025,NotAssigned,30,"May 12, 2026",2026-05-15
Residential allocations,RES,El Dorado County,2026,NotAssigned,30,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,1986,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,1987,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,1988,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,1989,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,1990,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,1991,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,1992,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,1993,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,1994,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,1995,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,1996,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,1997,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,1998,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,1999,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2000,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2001,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2002,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2003,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2004,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2005,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2006,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2007,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2008,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2009,NotAssigned,4,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2010,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2011,NotAssigned,1,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2012,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2013,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2014,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2015,NotAssigned,2,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2016,NotAssigned,20,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2017,NotAssigned,4,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2018,NotAssigned,29,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2019,NotAssigned,1,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2020,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2021,NotAssigned,1,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2022,NotAssigned,14,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2023,NotAssigned,11,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2024,NotAssigned,33,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2025,NotAssigned,33,"May 12, 2026",2026-05-15
Residential allocations,RES,City of South Lake Tahoe,2026,NotAssigned,33,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,1986,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,1987,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,1988,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,1989,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,1990,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,1991,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,1992,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,1993,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,1994,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,1995,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,1996,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,1997,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,1998,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,1999,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2000,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2001,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2002,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2003,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2004,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2005,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2006,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2007,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2008,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2009,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2010,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2011,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2012,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2013,NotAssigned,7,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2015,NotAssigned,17,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2016,NotAssigned,9,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2017,NotAssigned,7,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2018,NotAssigned,10,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2019,NotAssigned,11,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2020,NotAssigned,10,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2021,NotAssigned,12,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2022,NotAssigned,12,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2023,NotAssigned,13,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2024,NotAssigned,14,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2025,NotAssigned,15,"May 12, 2026",2026-05-15
Residential allocations,RES,TRPA Allocation Incentive Pool,2026,NotAssigned,17,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,1986,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,1987,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,1988,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,1989,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,1990,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,1991,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,1992,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,1993,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,1994,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,1995,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,1996,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,1997,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,1998,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,1999,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2000,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2001,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2002,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2003,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2004,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2005,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2006,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2007,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2008,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2009,NotAssigned,11,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2010,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2011,NotAssigned,6,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2012,NotAssigned,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2013,NotAssigned,13,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2014,NotAssigned,22,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2015,NotAssigned,29,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2016,NotAssigned,41,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2017,NotAssigned,50,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2018,NotAssigned,91,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2019,NotAssigned,67,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2020,NotAssigned,65,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2021,NotAssigned,66,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2022,NotAssigned,79,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2023,NotAssigned,89,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2024,NotAssigned,127,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2025,NotAssigned,129,"May 12, 2026",2026-05-15
Residential allocations,RES,Grand Total,2026,NotAssigned,130,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 1987 Plan,1986,Unreleased,5787,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 1987 Plan,1987,Unreleased,5497,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 1987 Plan,1988,Unreleased,5199,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 1987 Plan,1989,Unreleased,5035,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 1987 Plan,1990,Unreleased,4734,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 1987 Plan,1991,Unreleased,4434,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 1987 Plan,1992,Unreleased,4149,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 1987 Plan,1993,Unreleased,3885,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 1987 Plan,1994,Unreleased,3653,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 1987 Plan,1995,Unreleased,3396,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 1987 Plan,1996,Unreleased,3096,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 1987 Plan,1997,Unreleased,2861,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 1987 Plan,1998,Unreleased,2641,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 1987 Plan,1999,Unreleased,2429,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 1987 Plan,2000,Unreleased,2200,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 1987 Plan,2001,Unreleased,1940,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 1987 Plan,2002,Unreleased,1687,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 1987 Plan,2003,Unreleased,1412,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 1987 Plan,2004,Unreleased,1171,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 1987 Plan,2005,Unreleased,942,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 1987 Plan,2006,Unreleased,709,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 1987 Plan,2007,Unreleased,504,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 1987 Plan,2008,Unreleased,292,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 1987 Plan,2009,Unreleased,86,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 1987 Plan,2010,Unreleased,86,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 1987 Plan,2011,Unreleased,0,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 2012 Plan,2012,Unreleased,2600,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 2012 Plan,2013,Unreleased,2470,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 2012 Plan,2014,Unreleased,2340,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 2012 Plan,2015,Unreleased,2200,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 2012 Plan,2016,Unreleased,2070,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 2012 Plan,2017,Unreleased,1940,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 2012 Plan,2018,Unreleased,1810,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 2012 Plan,2019,Unreleased,1680,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 2012 Plan,2020,Unreleased,1550,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 2012 Plan,2021,Unreleased,1420,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 2012 Plan,2022,Unreleased,1290,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 2012 Plan,2023,Unreleased,1160,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 2012 Plan,2024,Unreleased,1030,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 2012 Plan,2025,Unreleased,900,"May 12, 2026",2026-05-15
Residential allocations,RES,Unreleased Allocations - 2012 Plan,2026,Unreleased,770,"May 12, 2026",2026-05-15
