APN,YEAR,Residential_Units,TouristAccommodation_Units,CommercialFloorArea_SqFt,COUNTY,JURISDICTION,PARCEL_ACRES,APN_canon,OriginalYrBuilt,OriginalYrBuilt_source_APN,match_method,CountyYearBuilt,COMBINED_YEAR_BUILT,combined_source
029-650-001,2025,0,0,0.0,EL,CSLT,0.0199889642592085,029-650-001,2017.0,029-650-01,direct,2017.0,2017.0,original
029-650-008,2025,0,0,0.0,EL,CSLT,0.005423104891486,029-650-008,2017.0,029-650-08,direct,2017.0,2017.0,original
029-661-002,2025,0,0,0.0,EL,CSLT,0.0283918501585468,029-661-002,2017.0,029-661-002,direct,2017.0,2017.0,original
029-661-003,2025,0,0,0.0,EL,CSLT,0.0371427472704463,029-661-003,2017.0,029-661-003,direct,2017.0,2017.0,original
029-661-004,2025,0,0,0.0,EL,CSLT,0.0280896366829964,029-661-004,2017.0,029-661-04,direct,2017.0,2017.0,original
029-661-005,2025,0,0,0.0,EL,CSLT,0.0528209986154294,029-661-005,2017.0,029-661-05,direct,2017.0,2017.0,original
029-660-002,2025,0,0,0.0,EL,CSLT,0.0283918501585468,029-660-002,2017.0,029-660-002,direct,2017.0,2017.0,original
029-660-003,2025,0,0,0.0,EL,CSLT,0.0371427472704463,029-660-003,2017.0,029-660-03,direct,2017.0,2017.0,original
029-660-004,2025,0,0,0.0,EL,CSLT,0.0280896366829964,029-660-004,2017.0,029-660-004,direct,2017.0,2017.0,original
029-660-005,2025,0,0,0.0,EL,CSLT,0.0528209986154294,029-660-005,2017.0,029-660-05,direct,2017.0,2017.0,original
029-650-003,2025,0,0,0.0,EL,CSLT,0.0865152323616109,029-650-003,2017.0,029-650-03,direct,2017.0,2017.0,original
029-650-004,2025,0,0,0.0,EL,CSLT,0.2499461063263792,029-650-004,2017.0,029-650-04,direct,2017.0,2017.0,original
029-650-005,2025,0,0,0.0,EL,CSLT,0.1157834175941668,029-650-005,2017.0,029-650-05,direct,2017.0,2017.0,original
093-500-057,2025,0,0,0.0,PL,PL,0.0159509801859228,093-500-057,1961.0,093-500-57,direct,,1961.0,original
093-500-052,2025,0,0,0.0,PL,PL,0.0155714468725931,093-500-052,1984.0,093-500-52,direct,,1984.0,original
093-500-061,2025,0,0,0.0,PL,PL,0.0162205350550263,093-500-061,1987.0,093-500-61,direct,,1987.0,original
093-500-063,2025,0,0,0.0,PL,PL,0.011179257326551,093-500-063,1994.0,093-500-063,direct,,1994.0,original
093-500-046,2025,0,0,0.0,PL,PL,0.0155358770181212,093-500-046,1978.0,093-500-46,direct,,1978.0,original
093-500-051,2025,0,0,0.0,PL,PL,0.0155639393206245,093-500-051,1994.0,093-500-051,direct,,1994.0,original
