APN,YEAR,_merge,CommercialFloorArea_SqFt_x,Residential_Units_x,TouristAccommodation_Units_x,CommercialFloorArea_SqFt_y,Residential_Units_y,TouristAccommodation_Units_y
122-460-00,,right_only,,,,0,0,0
122-530-00,,right_only,,,,0,0,0
122-530-01,,right_only,,,,0,1,0
122-530-03,,right_only,,,,0,1,0
122-530-06,,right_only,,,,0,1,0
122-530-07,,right_only,,,,0,1,0
122-530-11,,right_only,,,,0,1,0
122-530-13,,right_only,,,,0,1,0
122-530-16,,right_only,,,,0,1,0
122-530-18,,right_only,,,,0,1,0
122-530-19,,right_only,,,,0,1,0
122-530-22,,right_only,,,,0,1,0
122-530-25,,right_only,,,,0,1,0
122-530-26,,right_only,,,,0,1,0
122-580-00,,right_only,,,,0,0,0
122-581-00,,right_only,,,,0,0,0
122-591-02,,right_only,,,,0,0,0
123-010-08,,right_only,,,,0,0,0
123-022-01,,right_only,,,,0,0,0
123-031-09,,right_only,,,,0,0,0
123-032-09,,right_only,,,,0,0,0
123-032-16,,right_only,,,,0,0,0
123-032-18,,right_only,,,,0,0,0
123-032-19,,right_only,,,,0,0,0
123-032-20,,right_only,,,,0,0,0
123-032-21,,right_only,,,,0,0,0
123-032-22,,right_only,,,,0,0,0
123-032-23,,right_only,,,,0,0,0
123-032-24,,right_only,,,,0,0,0
123-032-26,,right_only,,,,0,1,0
123-032-27,,right_only,,,,0,0,0
123-033-01,,right_only,,,,0,0,0
123-033-06,,right_only,,,,0,0,0
123-033-16,,right_only,,,,0,0,0
123-041-13,,right_only,,,,0,0,0
123-041-14,,right_only,,,,0,0,0
123-041-18,,right_only,,,,0,0,0
123-041-20,,right_only,,,,0,0,0
123-042-02,,right_only,,,,0,0,0
123-043-01,,right_only,,,,0,0,0
123-044-05,,right_only,,,,0,0,0
123-044-06,,right_only,,,,0,0,0
123-044-08,,right_only,,,,0,0,0
123-051-03,,right_only,,,,0,0,0
123-052-02,,right_only,,,,0,0,0
123-052-03,,right_only,,,,0,0,0
123-053-03,,right_only,,,,0,0,0
123-053-06,,right_only,,,,0,0,0
123-071-04,,right_only,,,,0,0,0
123-071-25,,right_only,,,,0,0,0
123-071-26,,right_only,,,,0,0,0
123-071-27,,right_only,,,,0,0,0
123-071-28,,right_only,,,,0,0,0
123-071-30,,right_only,,,,0,0,0
123-071-35,,right_only,,,,0,0,0
123-071-36,,right_only,,,,0,0,0
123-071-37,,right_only,,,,0,0,0
123-087-02,,right_only,,,,0,0,0
123-087-06,,right_only,,,,0,0,0
123-087-07,,right_only,,,,0,0,0
123-097-02,,right_only,,,,0,0,0
123-097-03,,right_only,,,,0,0,0
123-101-11,,right_only,,,,0,0,0
123-102-03,,right_only,,,,0,0,0
123-102-04,,right_only,,,,0,0,0
123-102-05,,right_only,,,,0,0,0
123-102-06,,right_only,,,,0,0,0
123-102-07,,right_only,,,,0,0,0
123-102-08,,right_only,,,,0,0,0
123-102-10,,right_only,,,,0,0,0
123-102-16,,right_only,,,,0,0,0
123-102-17,,right_only,,,,0,0,0
123-102-18,,right_only,,,,0,0,0
123-110-01,,right_only,,,,0,0,0
123-110-02,,right_only,,,,0,0,0
123-121-01,,right_only,,,,0,0,0
123-121-02,,right_only,,,,0,0,0
123-121-04,,right_only,,,,0,0,0
123-121-05,,right_only,,,,0,0,0
123-121-06,,right_only,,,,0,0,0
123-121-08,,right_only,,,,0,0,0
123-121-09,,right_only,,,,0,0,0
123-121-10,,right_only,,,,0,0,0
123-121-13,,right_only,,,,0,0,0
123-122-05,,right_only,,,,0,0,0
123-131-04,,right_only,,,,0,0,0
123-131-05,,right_only,,,,0,1,0
123-131-06,,right_only,,,,0,0,0
123-131-08,,right_only,,,,0,2,0
123-133-02,,right_only,,,,0,0,0
123-133-06,,right_only,,,,0,0,0
123-133-08,,right_only,,,,0,0,0
123-133-09,,right_only,,,,0,0,0
123-133-11,,right_only,,,,0,0,0
123-133-12,,right_only,,,,0,0,0
123-133-16,,right_only,,,,0,0,0
123-133-17,,right_only,,,,0,0,0
123-133-18,,right_only,,,,0,0,0
123-133-19,,right_only,,,,0,0,0
123-133-21,,right_only,,,,0,0,0
123-133-25,,right_only,,,,0,0,0
123-134-01,,right_only,,,,0,0,0
123-134-02,,right_only,,,,0,0,0
123-134-12,,right_only,,,,0,0,0
123-135-04,,right_only,,,,0,0,0
123-137-03,,right_only,,,,0,0,0
123-137-04,,right_only,,,,0,0,0
123-138-07,,right_only,,,,0,0,0
123-138-10,,right_only,,,,0,0,0
123-138-13,,right_only,,,,0,1,0
123-142-01,,right_only,,,,0,0,0
123-142-06,,right_only,,,,0,0,0
123-142-07,,right_only,,,,0,1,0
123-142-09,,right_only,,,,0,0,0
123-143-18,,right_only,,,,0,0,0
123-143-03,,right_only,,,,0,0,0
123-143-04,,right_only,,,,0,0,0
123-143-08,,right_only,,,,0,0,0
123-143-14,,right_only,,,,0,0,0
123-143-19,,right_only,,,,0,0,0
123-143-20,,right_only,,,,0,0,0
123-144-03,,right_only,,,,0,0,0
123-144-05,,right_only,,,,0,0,0
123-144-06,,right_only,,,,0,1,0
123-144-07,,right_only,,,,0,0,0
123-144-08,,right_only,,,,0,0,0
123-144-09,,right_only,,,,0,0,0
123-144-11,,right_only,,,,0,0,0
123-145-01,,right_only,,,,0,0,0
123-145-21,,right_only,,,,0,0,0
123-146-01,,right_only,,,,0,0,0
123-146-05,,right_only,,,,0,0,0
123-146-08,,right_only,,,,0,0,0
123-146-10,,right_only,,,,0,0,0
123-146-11,,right_only,,,,0,0,0
123-146-12,,right_only,,,,0,0,0
123-152-03,,right_only,,,,0,0,0
123-152-04,,right_only,,,,0,0,0
123-153-01,,right_only,,,,0,0,0
123-154-03,,right_only,,,,0,0,0
123-154-08,,right_only,,,,0,0,0
123-154-10,,right_only,,,,0,0,0
123-155-02,,right_only,,,,0,0,0
123-155-03,,right_only,,,,0,0,0
123-155-05,,right_only,,,,0,0,0
123-155-06,,right_only,,,,0,0,0
123-155-07,,right_only,,,,0,0,0
123-155-10,,right_only,,,,0,0,0
123-155-11,,right_only,,,,0,0,0
123-155-12,,right_only,,,,0,0,0
123-155-13,,right_only,,,,0,0,0
123-155-14,,right_only,,,,0,0,0
123-155-15,,right_only,,,,0,0,0
123-155-16,,right_only,,,,0,0,0
123-155-18,,right_only,,,,0,0,0
123-155-19,,right_only,,,,0,0,0
123-155-20,,right_only,,,,0,0,0
123-155-21,,right_only,,,,0,0,0
123-161-07,,right_only,,,,0,0,0
123-161-09,,right_only,,,,0,0,0
123-161-13,,right_only,,,,0,0,0
123-161-14,,right_only,,,,0,0,0
123-161-15,,right_only,,,,0,0,0
123-161-19,,right_only,,,,0,0,0
123-161-20,,right_only,,,,0,0,0
123-161-21,,right_only,,,,0,0,0
123-161-23,,right_only,,,,0,0,0
123-161-26,,right_only,,,,0,0,0
123-161-27,,right_only,,,,0,0,0
123-161-28,,right_only,,,,0,0,0
123-161-33,,right_only,,,,0,0,0
123-162-01,,right_only,,,,0,0,0
123-162-02,,right_only,,,,0,0,0
123-162-04,,right_only,,,,0,0,0
123-162-05,,right_only,,,,0,0,0
123-162-08,,right_only,,,,0,0,0
123-162-18,,right_only,,,,0,0,0
123-162-19,,right_only,,,,0,0,0
123-163-03,,right_only,,,,0,0,0
123-163-11,,right_only,,,,0,0,0
123-163-12,,right_only,,,,0,0,0
123-163-13,,right_only,,,,0,0,0
123-163-14,,right_only,,,,0,0,0
123-164-01,,right_only,,,,0,0,0
123-165-04,,right_only,,,,0,0,0
123-165-07,,right_only,,,,0,0,0
123-165-08,,right_only,,,,0,0,0
123-165-10,,right_only,,,,0,0,0
123-165-15,,right_only,,,,0,1,0
123-170-01,,right_only,,,,0,0,0
123-170-02,,right_only,,,,0,0,0
123-170-03,,right_only,,,,0,0,0
123-190-05,,right_only,,,,0,0,0
123-190-29,,right_only,,,,0,0,0
123-201-01,,right_only,,,,0,0,0
123-201-03,,right_only,,,,0,0,0
123-201-05,,right_only,,,,0,0,0
123-201-06,,right_only,,,,0,0,0
123-211-01,,right_only,,,,0,1,0
123-211-04,,right_only,,,,0,0,0
123-211-05,,right_only,,,,0,0,0
123-211-07,,right_only,,,,0,0,0
123-221-01,,right_only,,,,0,0,0
123-231-01,,right_only,,,,0,0,0
123-231-02,,right_only,,,,0,0,0
123-231-04,,right_only,,,,0,0,0
123-231-06,,right_only,,,,0,0,0
123-231-07,,right_only,,,,0,0,0
123-231-08,,right_only,,,,0,0,0
123-231-09,,right_only,,,,0,0,0
123-250-07,,right_only,,,,0,0,0
123-250-08,,right_only,,,,0,0,0
123-250-09,,right_only,,,,0,0,0
123-260-00,,right_only,,,,0,0,0
123-260-01,,right_only,,,,0,1,0
123-260-02,,right_only,,,,0,1,0
123-260-06,,right_only,,,,0,1,0
123-260-07,,right_only,,,,0,1,0
123-260-08,,right_only,,,,0,1,0
123-260-09,,right_only,,,,0,1,0
123-260-11,,right_only,,,,0,1,0
123-260-12,,right_only,,,,0,1,0
123-271-15,,right_only,,,,0,1,0
123-271-17,,right_only,,,,0,1,0
123-272-05,,right_only,,,,0,1,0
123-272-17,,right_only,,,,0,1,0
123-273-01,,right_only,,,,0,1,0
123-273-03,,right_only,,,,0,1,0
123-274-02,,right_only,,,,0,1,0
123-274-03,,right_only,,,,0,1,0
123-274-05,,right_only,,,,0,1,0
123-274-06,,right_only,,,,0,1,0
123-280-00,,right_only,,,,0,0,0
123-281-02,,right_only,,,,0,1,0
123-281-03,,right_only,,,,0,1,0
123-281-04,,right_only,,,,0,1,0
123-281-05,,right_only,,,,0,1,0
123-281-06,,right_only,,,,0,1,0
123-281-07,,right_only,,,,0,1,0
123-281-08,,right_only,,,,0,1,0
123-282-01,,right_only,,,,0,1,0
123-291-01,,right_only,,,,0,1,0
123-293-01,,right_only,,,,0,1,0
123-293-02,,right_only,,,,0,1,0
123-293-03,,right_only,,,,0,1,0
123-293-04,,right_only,,,,0,1,0
123-293-05,,right_only,,,,0,1,0
123-293-06,,right_only,,,,0,1,0
123-294-01,,right_only,,,,0,1,0
123-294-02,,right_only,,,,0,1,0
123-294-03,,right_only,,,,0,1,0
123-294-04,,right_only,,,,0,1,0
123-294-05,,right_only,,,,0,1,0
123-294-06,,right_only,,,,0,1,0
123-295-01,,right_only,,,,0,1,0
123-295-02,,right_only,,,,0,1,0
123-295-03,,right_only,,,,0,1,0
123-295-04,,right_only,,,,0,1,0
123-295-05,,right_only,,,,0,1,0
123-295-06,,right_only,,,,0,1,0
124-031-62,,right_only,,,,0,0,0
124-032-02,,right_only,,,,0,0,0
124-032-06,,right_only,,,,0,0,0
124-032-23,,right_only,,,,0,0,0
124-032-29,,right_only,,,,0,0,0
124-032-30,,right_only,,,,0,0,0
124-032-33,,right_only,,,,0,0,0
124-032-36,,right_only,,,,0,0,0
124-032-37,,right_only,,,,0,0,0
124-042-09,,right_only,,,,0,0,0
124-043-59,,right_only,,,,0,1,0
124-062-12,,right_only,,,,0,0,0
124-062-13,,right_only,,,,0,0,0
124-064-18,,right_only,,,,0,0,0
124-064-19,,right_only,,,,0,0,0
124-064-20,,right_only,,,,0,0,0
124-071-18,,right_only,,,,0,0,0
124-071-23,,right_only,,,,0,0,0
124-071-49,,right_only,,,,0,0,0
124-071-50,,right_only,,,,0,0,0
124-071-51,,right_only,,,,0,0,0
124-071-52,,right_only,,,,0,0,0
124-072-11,,right_only,,,,0,0,0
124-081-07,,right_only,,,,0,0,0
124-081-17,,right_only,,,,0,0,0
124-082-16,,right_only,,,,0,1,0
124-082-17,,right_only,,,,0,1,0
124-082-18,,right_only,,,,0,1,0
124-083-14,,right_only,,,,0,0,0
124-083-35,,right_only,,,,0,0,0
124-084-02,,right_only,,,,0,0,0
124-085-04,,right_only,,,,0,1,0
124-340-00,,right_only,,,,0,0,0
124-370-00,,right_only,,,,0,0,0
124-390-00,,right_only,,,,0,0,0
124-400-00,,right_only,,,,0,0,0
124-500-00,,right_only,,,,0,0,0
124-500-02,,right_only,,,,0,1,0
124-600-00,,right_only,,,,0,0,0
124-750-00,,right_only,,,,0,0,0
124-760-00,,right_only,,,,0,0,0
124-800-00,,right_only,,,,0,0,0
124-810-00,,right_only,,,,0,0,0
124-820-00,,right_only,,,,0,0,0
124-830-00,,right_only,,,,0,0,0
124-850-03,,right_only,,,,0,0,0
124-860-07,,right_only,,,,0,0,0
124-860-08,,right_only,,,,0,0,0
124-870-04,,right_only,,,,0,0,0
124-880-00,,right_only,,,,0,0,0
124-890-00,,right_only,,,,0,0,0
124-900-01,,right_only,,,,0,0,0
124-900-02,,right_only,,,,0,0,0
124-900-03,,right_only,,,,0,0,0
124-911-01,,right_only,,,,0,0,0
124-911-02,,right_only,,,,0,1,0
124-911-03,,right_only,,,,0,1,0
124-911-04,,right_only,,,,0,1,0
124-911-05,,right_only,,,,0,1,0
124-912-01,,right_only,,,,0,1,0
124-912-02,,right_only,,,,0,1,0
124-912-03,,right_only,,,,0,1,0
124-912-04,,right_only,,,,0,1,0
124-921-07,,right_only,,,,0,0,0
124-921-09,,right_only,,,,0,2,0
124-921-10,,right_only,,,,0,0,0
125-010-03,,right_only,,,,0,0,0
125-010-12,,right_only,,,,0,0,0
125-010-16,,right_only,,,,0,0,0
125-010-17,,right_only,,,,0,0,0
125-010-19,,right_only,,,,0,0,0
125-010-20,,right_only,,,,0,0,0
125-030-06,,right_only,,,,0,0,0
125-030-09,,right_only,,,,0,0,0
125-030-11,,right_only,,,,0,0,0
125-030-12,,right_only,,,,0,0,0
125-030-13,,right_only,,,,0,0,0
125-030-14,,right_only,,,,0,0,0
125-030-15,,right_only,,,,0,0,0
125-030-16,,right_only,,,,0,0,0
125-041-05,,right_only,,,,0,0,0
125-041-06,,right_only,,,,0,0,0
125-041-07,,right_only,,,,0,0,0
125-041-08,,right_only,,,,0,0,0
125-041-10,,right_only,,,,0,0,0
125-041-12,,right_only,,,,0,0,0
125-041-13,,right_only,,,,0,0,0
125-041-16,,right_only,,,,0,0,0
125-051-01,,right_only,,,,0,0,0
125-051-03,,right_only,,,,0,0,0
125-051-06,,right_only,,,,0,0,0
125-051-07,,right_only,,,,0,0,0
125-051-10,,right_only,,,,0,0,0
125-051-11,,right_only,,,,0,0,0
125-051-12,,right_only,,,,0,0,0
125-051-13,,right_only,,,,0,0,0
125-051-15,,right_only,,,,0,0,0
125-052-01,,right_only,,,,0,0,0
125-052-02,,right_only,,,,0,0,0
125-131-02,,right_only,,,,0,0,0
125-131-04,,right_only,,,,0,0,0
125-131-07,,right_only,,,,0,0,0
125-131-31,,right_only,,,,0,0,0
125-131-36,,right_only,,,,0,0,0
125-132-04,,right_only,,,,0,0,0
125-132-06,,right_only,,,,0,1,0
125-132-18,,right_only,,,,0,0,0
125-132-22,,right_only,,,,0,0,0
125-134-02,,right_only,,,,0,0,0
125-134-12,,right_only,,,,0,0,0
125-134-20,,right_only,,,,0,0,0
125-141-13,,right_only,,,,0,0,0
125-141-19,,right_only,,,,0,0,0
125-141-23,,right_only,,,,0,0,0
125-141-25,,right_only,,,,0,0,0
125-141-32,,right_only,,,,0,0,0
125-141-34,,right_only,,,,0,0,0
125-143-07,,right_only,,,,0,0,0
125-144-01,,right_only,,,,0,0,0
125-151-02,,right_only,,,,0,0,0
125-151-04,,right_only,,,,0,0,0
125-151-07,,right_only,,,,0,0,0
125-151-08,,right_only,,,,0,0,0
125-151-10,,right_only,,,,0,0,0
125-151-11,,right_only,,,,0,0,0
125-151-13,,right_only,,,,0,0,0
125-151-17,,right_only,,,,0,0,0
125-151-18,,right_only,,,,0,0,0
125-151-22,,right_only,,,,0,0,0
125-151-25,,right_only,,,,0,0,0
125-151-26,,right_only,,,,0,0,0
125-152-03,,right_only,,,,0,0,0
125-152-04,,right_only,,,,0,0,0
125-152-09,,right_only,,,,0,0,0
125-152-10,,right_only,,,,0,0,0
125-152-11,,right_only,,,,0,0,0
125-152-13,,right_only,,,,0,0,0
125-153-02,,right_only,,,,0,0,0
125-153-03,,right_only,,,,0,0,0
125-153-04,,right_only,,,,0,0,0
125-154-01,,right_only,,,,0,0,0
125-155-01,,right_only,,,,0,0,0
125-155-02,,right_only,,,,0,0,0
125-155-10,,right_only,,,,0,0,0
125-155-14,,right_only,,,,0,0,0
125-155-15,,right_only,,,,0,0,0
125-156-02,,right_only,,,,0,0,0
125-161-07,,right_only,,,,0,0,0
125-161-13,,right_only,,,,0,0,0
125-161-16,,right_only,,,,0,0,0
125-161-26,,right_only,,,,0,0,0
125-161-27,,right_only,,,,0,0,0
125-161-41,,right_only,,,,0,0,0
125-161-45,,right_only,,,,0,0,0
125-162-06,,right_only,,,,0,0,0
125-162-07,,right_only,,,,0,0,0
125-162-08,,right_only,,,,0,0,0
125-162-11,,right_only,,,,0,0,0
125-162-12,,right_only,,,,0,0,0
125-162-13,,right_only,,,,0,0,0
125-162-15,,right_only,,,,0,0,0
125-162-17,,right_only,,,,0,1,0
125-162-18,,right_only,,,,0,1,0
125-162-19,,right_only,,,,0,1,0
125-162-20,,right_only,,,,0,1,0
125-163-04,,right_only,,,,0,0,0
125-163-06,,right_only,,,,0,0,0
125-163-18,,right_only,,,,0,0,0
125-163-20,,right_only,,,,0,0,0
125-163-27,,right_only,,,,0,0,0
125-163-29,,right_only,,,,0,0,0
125-163-34,,right_only,,,,0,0,0
125-163-35,,right_only,,,,0,0,0
125-163-38,,right_only,,,,0,0,0
125-171-01,,right_only,,,,0,0,0
125-171-02,,right_only,,,,0,0,0
125-171-10,,right_only,,,,0,0,0
125-172-00,,right_only,,,,0,0,0
125-172-03,,right_only,,,,0,0,0
125-172-04,,right_only,,,,0,0,0
125-172-06,,right_only,,,,0,0,0
125-172-13,,right_only,,,,0,0,0
125-172-14,,right_only,,,,0,0,0
125-172-20,,right_only,,,,0,0,0
125-172-21,,right_only,,,,0,0,0
125-172-22,,right_only,,,,0,0,0
125-172-35,,right_only,,,,0,0,0
125-172-36,,right_only,,,,0,0,0
125-172-37,,right_only,,,,0,0,0
125-173-01,,right_only,,,,0,0,0
125-173-02,,right_only,,,,0,0,0
125-173-05,,right_only,,,,0,0,0
125-173-06,,right_only,,,,0,0,0
125-173-07,,right_only,,,,0,0,0
125-173-13,,right_only,,,,0,0,0
125-173-19,,right_only,,,,0,0,0
125-173-21,,right_only,,,,0,0,0
125-173-23,,right_only,,,,0,0,0
125-173-24,,right_only,,,,0,0,0
125-174-05,,right_only,,,,0,0,0
125-174-06,,right_only,,,,0,0,0
125-174-09,,right_only,,,,0,0,0
125-174-10,,right_only,,,,0,0,0
125-174-12,,right_only,,,,0,0,0
125-174-16,,right_only,,,,0,0,0
125-174-20,,right_only,,,,0,0,0
125-181-01,,right_only,,,,0,0,0
125-181-03,,right_only,,,,0,0,0
125-181-04,,right_only,,,,0,0,0
125-181-05,,right_only,,,,0,0,0
125-181-06,,right_only,,,,0,0,0
125-181-07,,right_only,,,,0,0,0
125-181-09,,right_only,,,,0,0,0
125-181-11,,right_only,,,,0,0,0
125-181-13,,right_only,,,,0,0,0
125-181-15,,right_only,,,,0,0,0
125-181-16,,right_only,,,,0,1,0
125-181-18,,right_only,,,,0,0,0
125-181-19,,right_only,,,,0,0,0
125-181-20,,right_only,,,,0,0,0
125-181-22,,right_only,,,,0,0,0
125-181-23,,right_only,,,,0,0,0
125-181-25,,right_only,,,,0,0,0
125-181-26,,right_only,,,,0,0,0
125-181-27,,right_only,,,,0,0,0
125-181-28,,right_only,,,,0,0,0
125-181-29,,right_only,,,,0,0,0
125-181-31,,right_only,,,,0,0,0
125-181-33,,right_only,,,,0,0,0
125-181-34,,right_only,,,,0,0,0
125-181-36,,right_only,,,,0,0,0
125-181-49,,right_only,,,,0,0,0
125-181-50,,right_only,,,,0,0,0
125-181-51,,right_only,,,,0,0,0
125-181-53,,right_only,,,,0,0,0
125-181-56,,right_only,,,,0,0,0
125-181-57,,right_only,,,,0,0,0
125-181-58,,right_only,,,,0,0,0
125-181-59,,right_only,,,,0,0,0
125-181-61,,right_only,,,,0,0,0
125-183-02,,right_only,,,,0,0,0
125-183-04,,right_only,,,,0,0,0
125-184-02,,right_only,,,,0,0,0
125-184-04,,right_only,,,,0,0,0
125-185-12,,right_only,,,,0,0,0
125-185-19,,right_only,,,,0,0,0
125-185-22,,right_only,,,,0,0,0
125-185-25,,right_only,,,,0,0,0
125-185-29,,right_only,,,,0,0,0
125-191-01,,right_only,,,,0,0,0
125-192-01,,right_only,,,,0,0,0
125-192-03,,right_only,,,,0,0,0
125-192-04,,right_only,,,,0,0,0
125-192-07,,right_only,,,,0,0,0
125-192-09,,right_only,,,,0,0,0
125-192-10,,right_only,,,,0,0,0
125-192-13,,right_only,,,,0,0,0
125-201-00,,right_only,,,,0,0,0
125-201-08,,right_only,,,,0,0,0
125-201-10,,right_only,,,,0,0,0
125-201-11,,right_only,,,,0,0,0
125-201-12,,right_only,,,,0,0,0
125-201-13,,right_only,,,,0,0,0
125-211-06,,right_only,,,,0,1,0
125-221-06,,right_only,,,,0,0,0
125-221-12,,right_only,,,,0,0,0
125-221-14,,right_only,,,,0,0,0
125-221-17,,right_only,,,,0,0,0
125-221-22,,right_only,,,,0,0,0
125-222-03,,right_only,,,,0,0,0
125-222-06,,right_only,,,,0,0,0
125-222-07,,right_only,,,,0,0,0
125-222-08,,right_only,,,,0,0,0
125-222-09,,right_only,,,,0,0,0
125-222-11,,right_only,,,,0,0,0
125-223-01,,right_only,,,,0,0,0
125-223-02,,right_only,,,,0,0,0
125-223-05,,right_only,,,,0,0,0
125-223-09,,right_only,,,,0,0,0
125-223-12,,right_only,,,,0,0,0
125-223-13,,right_only,,,,0,0,0
125-223-23,,right_only,,,,0,0,0
125-223-26,,right_only,,,,0,0,0
