APN,YEAR,_merge,CommercialFloorArea_SqFt_x,Residential_Units_x,TouristAccommodation_Units_x,CommercialFloorArea_SqFt_y,Residential_Units_y,TouristAccommodation_Units_y
015-370-028,2018.0,left_only,0.0,1.0,0.0,,,
016-101-095,2018.0,left_only,0.0,1.0,0.0,,,
025-735-012,2018.0,left_only,0.0,1.0,0.0,,,
026-105-023,2018.0,left_only,0.0,1.0,0.0,,,
026-122-036,2018.0,left_only,0.0,1.0,0.0,,,
026-300-002,2018.0,left_only,0.0,4.0,0.0,,,
027-122-025,2018.0,left_only,0.0,1.0,0.0,,,
027-313-017,2018.0,left_only,0.0,1.0,0.0,,,
031-043-014,2018.0,left_only,0.0,1.0,0.0,,,
033-661-026,2018.0,left_only,0.0,1.0,0.0,,,
035-283-037,2018.0,left_only,0.0,1.0,0.0,,,
035-283-038,2018.0,left_only,0.0,1.0,0.0,,,
080-162-018,2018.0,left_only,0.0,0.0,0.0,,,
080-192-034,2018.0,left_only,0.0,1.0,0.0,,,
083-074-019,2018.0,left_only,0.0,1.0,0.0,,,
083-202-018,2018.0,left_only,0.0,1.0,0.0,,,
084-052-013,2018.0,left_only,0.0,1.0,0.0,,,
084-121-015,2018.0,left_only,0.0,1.0,0.0,,,
084-191-004,2018.0,left_only,0.0,3.0,0.0,,,
090-030-046,2018.0,left_only,0.0,1.0,0.0,,,
090-134-061,2018.0,left_only,3178.0,0.0,0.0,,,
090-162-045,2018.0,left_only,0.0,1.0,0.0,,,
090-232-034,2018.0,left_only,0.0,1.0,0.0,,,
090-233-036,2018.0,left_only,0.0,1.0,0.0,,,
090-262-015,2018.0,left_only,0.0,1.0,0.0,,,
090-262-016,2018.0,left_only,0.0,1.0,0.0,,,
092-152-038,2018.0,left_only,0.0,1.0,0.0,,,
092-234-024,2018.0,left_only,0.0,1.0,0.0,,,
093-083-044,2018.0,left_only,0.0,1.0,0.0,,,
093-083-045,2018.0,left_only,0.0,1.0,0.0,,,
093-083-046,2018.0,left_only,0.0,1.0,0.0,,,
093-083-047,2018.0,left_only,0.0,1.0,0.0,,,
093-083-048,2018.0,left_only,0.0,1.0,0.0,,,
093-083-050,2018.0,left_only,0.0,1.0,0.0,,,
093-083-051,2018.0,left_only,0.0,1.0,0.0,,,
094-090-065,2018.0,left_only,26258.0,0.0,0.0,,,
097-122-031,2018.0,left_only,0.0,1.0,0.0,,,
098-010-041,2018.0,left_only,0.0,1.0,0.0,,,
098-164-016,2018.0,left_only,0.0,1.0,0.0,,,
098-192-011,2018.0,left_only,0.0,1.0,0.0,,,
098-231-039,2018.0,left_only,0.0,1.0,0.0,,,
115-040-081,2018.0,left_only,0.0,1.0,0.0,,,
117-100-088,2018.0,left_only,0.0,1.0,0.0,,,
117-150-048,2018.0,left_only,0.0,0.0,6.0,,,
122-181-77,2018.0,left_only,0.0,1.0,0.0,,,
122-530-38,2018.0,left_only,0.0,2.0,0.0,,,
123-032-28,2018.0,left_only,0.0,0.0,0.0,,,
123-032-29,2018.0,left_only,0.0,0.0,0.0,,,
123-131-10,2018.0,left_only,0.0,1.0,0.0,,,
126-080-27,2018.0,left_only,0.0,1.0,0.0,,,
126-082-67,2018.0,left_only,0.0,1.0,0.0,,,
126-570-37,2018.0,left_only,0.0,1.0,0.0,,,
1318-03-110-035,2018.0,left_only,0.0,1.0,0.0,,,
1318-09-810-117,2018.0,left_only,0.0,1.0,0.0,,,
1318-10-310-091,2018.0,left_only,0.0,4.0,0.0,,,
1318-22-002-110,2018.0,left_only,0.0,0.0,24.0,,,
1318-22-002-111,2018.0,left_only,0.0,0.0,25.0,,,
1318-22-002-112,2018.0,left_only,0.0,0.0,25.0,,,
1418-10-802-009,2018.0,left_only,0.0,8.0,0.0,,,
048-041-03,,right_only,,,,0,0,0
048-041-20,,right_only,,,,0,0,0
048-042-02,,right_only,,,,0,0,0
048-042-03,,right_only,,,,0,0,0
048-140-01,,right_only,,,,0,0,0
048-140-02,,right_only,,,,0,0,0
048-140-03,,right_only,,,,0,0,0
048-140-04,,right_only,,,,0,0,0
055-010-01,,right_only,,,,0,0,0
055-010-07,,right_only,,,,0,0,0
055-010-08,,right_only,,,,0,0,0
055-010-09,,right_only,,,,0,0,0
055-010-19,,right_only,,,,0,0,0
055-010-20,,right_only,,,,0,0,0
055-010-24,,right_only,,,,0,0,0
055-010-25,,right_only,,,,0,0,0
055-010-26,,right_only,,,,0,0,0
055-010-54,,right_only,,,,0,0,0
122-052-01,,right_only,,,,0,0,0
122-052-04,,right_only,,,,0,0,0
122-052-18,,right_only,,,,0,0,0
122-060-00,,right_only,,,,0,0,0
122-061-00,,right_only,,,,0,0,0
122-100-14,,right_only,,,,0,0,0
122-100-28,,right_only,,,,0,1,0
122-111-21,,right_only,,,,0,0,0
122-114-02,,right_only,,,,0,0,0
122-114-12,,right_only,,,,0,0,0
122-116-02,,right_only,,,,0,0,0
122-116-11,,right_only,,,,0,0,0
122-121-04,,right_only,,,,0,0,0
122-121-08,,right_only,,,,0,0,0
122-123-04,,right_only,,,,0,0,0
122-124-06,,right_only,,,,0,0,0
122-125-11,,right_only,,,,0,0,0
122-126-08,,right_only,,,,0,0,0
122-126-10,,right_only,,,,0,0,0
122-126-18,,right_only,,,,0,0,0
122-127-11,,right_only,,,,0,1,0
122-127-12,,right_only,,,,0,0,0
122-131-02,,right_only,,,,0,0,0
122-131-05,,right_only,,,,0,0,0
122-132-04,,right_only,,,,0,0,0
122-133-08,,right_only,,,,0,0,0
122-142-02,,right_only,,,,0,0,0
122-161-09,,right_only,,,,0,1,0
122-162-19,,right_only,,,,0,0,0
122-162-23,,right_only,,,,0,0,0
122-181-24,,right_only,,,,0,1,0
122-181-38,,right_only,,,,0,0,0
122-181-44,,right_only,,,,0,0,0
122-193-30,,right_only,,,,0,0,0
122-193-31,,right_only,,,,0,0,0
122-194-19,,right_only,,,,0,0,0
122-201-21,,right_only,,,,0,0,0
122-212-06,,right_only,,,,0,0,0
122-212-10,,right_only,,,,0,0,0
122-214-08,,right_only,,,,0,0,0
