APN,YEAR,_merge
022-271-015,2021,left_only
022-281-009,2021,left_only
022-281-012,2021,left_only
022-281-017,2021,left_only
022-281-019,2021,left_only
022-291-004,2021,left_only
022-322-021,2021,left_only
022-322-047,2021,left_only
022-322-054,2021,left_only
022-322-065,2021,left_only
022-332-017,2021,left_only
022-332-046,2021,left_only
022-341-010,2021,left_only
022-341-012,2021,left_only
022-344-001,2021,left_only
022-351-031,2021,left_only
022-351-034,2021,left_only
022-371-011,2021,left_only
022-371-020,2021,left_only
022-411-006,2021,left_only
022-411-013,2021,left_only
022-421-025,2021,left_only
022-421-044,2021,left_only
022-421-062,2021,left_only
022-421-071,2021,left_only
023-101-002,2021,left_only
023-101-017,2021,left_only
023-102-005,2021,left_only
023-102-007,2021,left_only
023-102-014,2021,left_only
023-102-034,2021,left_only
023-103-004,2021,left_only
023-103-008,2021,left_only
023-103-009,2021,left_only
023-103-023,2021,left_only
023-111-009,2021,left_only
023-111-052,2021,left_only
023-131-008,2021,left_only
023-132-016,2021,left_only
023-141-003,2021,left_only
023-141-008,2021,left_only
023-151-007,2021,left_only
023-151-014,2021,left_only
023-151-021,2021,left_only
023-152-012,2021,left_only
023-171-011,2021,left_only
023-171-024,2021,left_only
023-172-016,2021,left_only
023-172-019,2021,left_only
023-181-015,2021,left_only
023-181-027,2021,left_only
023-181-040,2021,left_only
023-182-027,2021,left_only
023-201-030,2021,left_only
023-201-042,2021,left_only
023-201-059,2021,left_only
023-201-063,2021,left_only
023-201-071,2021,left_only
023-211-024,2021,left_only
023-211-028,2021,left_only
023-211-031,2021,left_only
023-211-045,2021,left_only
023-211-049,2021,left_only
023-221-009,2021,left_only
023-221-028,2021,left_only
023-221-046,2021,left_only
023-221-053,2021,left_only
023-261-028,2021,left_only
023-281-017,2021,left_only
023-311-023,2021,left_only
023-311-045,2021,left_only
023-311-055,2021,left_only
023-321-016,2021,left_only
023-351-004,2021,left_only
023-362-007,2021,left_only
023-362-022,2021,left_only
023-371-006,2021,left_only
023-371-007,2021,left_only
023-391-005,2021,left_only
023-391-008,2021,left_only
023-441-014,2021,left_only
023-442-019,2021,left_only
023-452-010,2021,left_only
023-461-010,2021,left_only
023-462-003,2021,left_only
023-462-004,2021,left_only
023-462-011,2021,left_only
023-462-014,2021,left_only
023-462-015,2021,left_only
023-471-011,2021,left_only
023-471-023,2021,left_only
023-472-014,2021,left_only
023-481-002,2021,left_only
023-482-008,2021,left_only
023-482-009,2021,left_only
023-491-019,2021,left_only
023-501-014,2021,left_only
023-501-022,2021,left_only
023-502-036,2021,left_only
023-511-011,2021,left_only
023-511-014,2021,left_only
023-512-011,2021,left_only
023-531-006,2021,left_only
023-541-011,2021,left_only
023-541-024,2021,left_only
023-541-028,2021,left_only
023-541-035,2021,left_only
023-542-003,2021,left_only
023-542-010,2021,left_only
023-542-015,2021,left_only
023-542-019,2021,left_only
023-543-011,2021,left_only
023-552-012,2021,left_only
023-553-006,2021,left_only
023-555-005,2021,left_only
023-561-012,2021,left_only
023-561-020,2021,left_only
023-571-001,2021,left_only
023-572-005,2021,left_only
023-582-014,2021,left_only
023-601-018,2021,left_only
023-602-007,2021,left_only
023-602-020,2021,left_only
023-602-021,2021,left_only
023-612-002,2021,left_only
023-621-003,2021,left_only
023-621-017,2021,left_only
023-624-002,2021,left_only
023-624-028,2021,left_only
023-624-031,2021,left_only
023-625-022,2021,left_only
023-631-003,2021,left_only
023-632-001,2021,left_only
023-632-009,2021,left_only
023-633-009,2021,left_only
023-641-006,2021,left_only
023-643-003,2021,left_only
023-644-013,2021,left_only
023-645-024,2021,left_only
023-646-008,2021,left_only
023-652-009,2021,left_only
023-653-022,2021,left_only
023-653-024,2021,left_only
023-661-043,2021,left_only
023-663-012,2021,left_only
023-665-006,2021,left_only
023-681-006,2021,left_only
023-682-002,2021,left_only
023-682-027,2021,left_only
023-683-001,2021,left_only
023-684-005,2021,left_only
023-684-007,2021,left_only
023-686-003,2021,left_only
023-686-007,2021,left_only
023-687-002,2021,left_only
023-687-004,2021,left_only
023-691-020,2021,left_only
023-691-031,2021,left_only
023-692-011,2021,left_only
023-693-016,2021,left_only
023-693-018,2021,left_only
023-694-003,2021,left_only
023-694-021,2021,left_only
023-695-014,2021,left_only
023-696-018,2021,left_only
023-733-015,2021,left_only
023-733-021,2021,left_only
023-734-017,2021,left_only
023-736-001,2021,left_only
023-741-001,2021,left_only
023-741-007,2021,left_only
023-741-014,2021,left_only
023-742-017,2021,left_only
023-742-021,2021,left_only
023-742-028,2021,left_only
023-743-026,2021,left_only
023-744-004,2021,left_only
023-744-017,2021,left_only
023-744-022,2021,left_only
023-745-008,2021,left_only
023-745-011,2021,left_only
023-751-009,2021,left_only
023-751-015,2021,left_only
023-751-016,2021,left_only
023-751-017,2021,left_only
023-752-006,2021,left_only
023-753-003,2021,left_only
023-753-008,2021,left_only
023-754-013,2021,left_only
023-754-015,2021,left_only
023-755-005,2021,left_only
023-755-011,2021,left_only
023-756-005,2021,left_only
023-761-009,2021,left_only
023-763-006,2021,left_only
023-772-033,2021,left_only
023-772-038,2021,left_only
023-782-026,2021,left_only
023-783-004,2021,left_only
023-783-005,2021,left_only
023-783-012,2021,left_only
023-783-013,2021,left_only
023-783-014,2021,left_only
023-784-005,2021,left_only
023-802-003,2021,left_only
023-802-010,2021,left_only
023-811-004,2021,left_only
023-811-008,2021,left_only
023-811-014,2021,left_only
023-821-013,2021,left_only
023-821-027,2021,left_only
023-830-018,2021,left_only
023-830-026,2021,left_only
023-830-030,2021,left_only
023-830-045,2021,left_only
023-891-010,2021,left_only
023-891-017,2021,left_only
023-892-009,2021,left_only
023-901-009,2021,left_only
