APN,YEAR,_merge,CommercialFloorArea_SqFt_x,Residential_Units_x,TouristAccommodation_Units_x,CommercialFloorArea_SqFt_y,Residential_Units_y,TouristAccommodation_Units_y
092-154-009,2023.0,left_only,0.0,0.0,0.0,,,
092-154-010,2023.0,left_only,0.0,0.0,0.0,,,
094-200-026,2023.0,left_only,0.0,0.0,0.0,,,
094-200-027,2023.0,left_only,0.0,0.0,0.0,,,
094-200-029,2023.0,left_only,0.0,0.0,0.0,,,
094-200-037,2023.0,left_only,0.0,0.0,0.0,,,
094-200-049,2023.0,left_only,0.0,0.0,0.0,,,
094-200-050,2023.0,left_only,0.0,0.0,0.0,,,
094-200-051,2023.0,left_only,6886.0,0.0,0.0,,,
1318-10-310-002,2023.0,left_only,0.0,0.0,0.0,,,
1318-10-310-009,2023.0,left_only,0.0,0.0,0.0,,,
1318-10-310-086,2023.0,left_only,0.0,0.0,0.0,,,
1318-10-417-005,2023.0,left_only,0.0,0.0,0.0,,,
1318-10-417-006,2023.0,left_only,0.0,0.0,0.0,,,
1319-30-627-027,2023.0,left_only,0.0,0.0,0.0,,,
1319-30-627-028,2023.0,left_only,0.0,0.0,0.0,,,
1418-15-511-002,2023.0,left_only,0.0,0.0,0.0,,,
1418-15-511-025,2023.0,left_only,0.0,0.0,0.0,,,
1418-34-210-011,2023.0,left_only,0.0,0.0,0.0,,,
1418-34-210-012,2023.0,left_only,0.0,0.0,0.0,,,
014-080-002,,right_only,,,,0.0,,
036-300-000,,right_only,,,,0.0,,
091-090-009,,right_only,,,,0.0,,
092-154-051,,right_only,,,,0.0,,
094-200-060,,right_only,,,,0.0,,
094-200-062,,right_only,,,,0.0,,
1318-10-417-054,,right_only,,,,0.0,,
1418-15-511-026,,right_only,,,,0.0,,
1318-10-310-097,,right_only,,,,0.0,,
