Transaction Number,Parcel Type,APN,Current Parcel Status 2/1/2024,Parcel Address,Current Active Parcel
TRPA-TRF-2387,Receiving,032-291-029,Active,,
TRPA-TRF-2386,Receiving,023-102-041,Active,,
TRPA-TRF-2376,Receiving,093-271-009,Active,,
TRPA-TRF-2375,Receiving,083-350-036,Active,,
TRPA-TRF-2374,Receiving,023-753-004,Active,,
TRPA-TRF-2373,Receiving,034-171-002,Active,,
TRPA-TRF-2359,Receiving,025-381-012,Active,,
TRPA-TRF-2358,Receiving,025-381-012,Active,,
TRPA-TRF-2352,Receiving,023-461-016,Active,,
TRPA-TRF-2351,Receiving,035-272-009,Active,,
TRPA-TRF-2350,Receiving,032-282-004,Active,,
TRPA-TRF-2349,Receiving,032-282-003,Active,,
TRPA-TRF-2343,Receiving,028-052-004,Active,,
TRPA-TRF-2342,Receiving,090-191-048,Inactive,"8816 SALMON AVE, KINGS BEACH, CA 96143",090-191-051
TRPA-TRF-2341,Receiving,031-161-009,Active,,
TRPA-TRF-2340,Receiving,115-050-033,Active,,
TRPA-TRF-2339,Receiving,033-882-003,Active,,
TRPA-TRF-2338,Receiving,111-150-009,Active,,
TRPA-TRF-2337,Receiving,117-090-039,Active,,
TRPA-TRF-2336,Receiving,031-153-006,Active,,
TRPA-TRF-2335,Receiving,032-279-009,Active,,
TRPA-TRF-2333,Receiving,097-050-069,Active,,
TRPA-TRF-2332,Receiving,097-050-068,Active,,
TRPA-TRF-2330,Receiving,032-151-009,Active,,
TRPA-TRF-2327,Receiving,1418-03-401-014,Active,,
TRPA-TRF-2318,Receiving,015-033-019,Active,,
TRPA-TRF-2314,Receiving,092-222-006,Active,,
TRPA-TRF-2313,Receiving,031-122-012,Active,,
TRPA-TRF-2310,Receiving,033-402-002,Active,,
TRPA-TRF-2309,Receiving,029-341-003,Active,,
TRPA-TRF-2308,Receiving,029-341-002,Active,,
TRPA-TRF-2307,Receiving,029-341-001,Active,,
TRPA-TRF-2292,Receiving,032-291-028,Active,,
TRPA-TRF-2276,Receiving,032-090-005,Active,,
TRPA-TRF-2273,Receiving,015-313-017,Active,,
TRPA-TRF-2227,Receiving,035-211-028,Active,,
TRPA-TRF-2226,Receiving,034-522-006,Active,,
TRPA-TRF-2222,Receiving,081-062-002,Active,,
TRPA-TRF-2221,Receiving,035-212-008,Active,,
TRPA-TRF-2220,Receiving,034-172-012,Active,,
TRPA-TRF-2219,Receiving,033-801-007,Active,,
TRPA-TRF-2218,Receiving,031-163-017,Active,,
TRPA-TRF-2217,Receiving,031-124-003,Active,,
TRPA-TRF-2216,Receiving,031-166-015,Active,,
TRPA-TRF-2215,Receiving,023-182-028,Inactive,"906 EMERALD BAY RD, SOUTH LAKE TAHOE, CA 96150",023-960-008
TRPA-TRF-2211,Receiving,026-081-004,Active,,
TRPA-TRF-2210,Receiving,031-132-010,Active,,
TRPA-TRF-2154,Receiving,031-233-014,Active,,
TRPA-TRF-2153,Receiving,031-274-001,Active,,
TRPA-TRF-2142,Receiving,520-201-00,Active,,
TRPA-TRF-2141,Receiving,030-380-055,Active,,
TRPA-TRF-2140,Receiving,027-141-010,Active,,
TRPA-TRF-2139,Receiving,025-394-012,Active,,
TRPA-TRF-2138,Receiving,029-605-007,Active,,
TRPA-TRF-2137,Receiving,026-074-003,Active,,
TRPA-TRF-2136,Receiving,026-073-026,Active,,
TRPA-TRF-2135,Receiving,025-544-001,Active,,
TRPA-TRF-2134,Receiving,035-131-004,Active,,
TRPA-TRF-2133,Receiving,034-266-013,Active,,
TRPA-TRF-2132,Receiving,035-246-008,Active,,
TRPA-TRF-2131,Receiving,032-282-015,Active,,
TRPA-TRF-2130,Receiving,034-111-004,Active,,
TRPA-TRF-2129,Receiving,080-153-002,Active,,
TRPA-TRF-2128,Receiving,023-741-001,Active,,
TRPA-TRF-2127,Receiving,031-161-009,Active,,
TRPA-TRF-2126,Receiving,023-681-001,Active,,
TRPA-TRF-2124,Receiving,016-483-005,Active,,
TRPA-TRF-2123,Receiving,094-102-010,Active,,
TRPA-TRF-2122,Receiving,031-093-026,Active,,
TRPA-TRF-2120,Receiving,032-277-001,Active,,
TRPA-TRF-2118,Receiving,023-141-029,Active,,
TRPA-TRF-2114,Receiving,031-153-001,Active,,
TRPA-TRF-2112,Receiving,097-050-069,Active,,
TRPA-TRF-2111,Receiving,097-050-068,Active,,
TRPA-TRF-2088,Receiving,132-231-09,Active,,
TRPA-TRF-2085,Receiving,029-051-010,Active,,
TRPA-TRF-2084,Receiving,022-031-067,Active,,
TRPA-TRF-2083,Receiving,032-291-029,Active,,
TRPA-TRF-2082,Receiving,031-030-025,Active,,
TRPA-TRF-2081,Receiving,027-161-030,Active,,
TRPA-TRF-2080,Receiving,028-161-014,Active,,
TRPA-TRF-2072,Receiving,022-020-001,Active,,
TRPA-TRF-2070,Receiving,032-291-031,Active,,
TRPA-TRF-2068,Receiving,027-122-021,Active,,
TRPA-TRF-2067,Receiving,028-121-018,Active,,
TRPA-TRF-2066,Receiving,130-152-08,Active,,
TRPA-TRF-2065,Receiving,031-284-004,Active,,
TRPA-TRF-2064,Receiving,097-140-003,Inactive,"5245 SANS SOUCI TER, Homewood, CA 96141",097-140-046
TRPA-TRF-2063,Receiving,097-140-003,Inactive,"5245 SANS SOUCI TER, Homewood, CA 96141",097-140-046
TRPA-TRF-2062,Receiving,097-140-003,Inactive,"5245 SANS SOUCI TER, Homewood, CA 96141",097-140-046
TRPA-TRF-2061,Receiving,097-140-003,Inactive,"5245 SANS SOUCI TER, Homewood, CA 96141",097-140-046
TRPA-TRF-2060,Receiving,097-140-003,Inactive,"5245 SANS SOUCI TER, Homewood, CA 96141",097-140-046
TRPA-TRF-2059,Receiving,097-140-003,Inactive,"5245 SANS SOUCI TER, Homewood, CA 96141",097-140-046
TRPA-TRF-2058,Receiving,097-140-003,Inactive,"5245 SANS SOUCI TER, Homewood, CA 96141",097-140-046
TRPA-TRF-2057,Receiving,097-140-003,Inactive,"5245 SANS SOUCI TER, Homewood, CA 96141",097-140-046
TRPA-TRF-2056,Receiving,097-140-003,Inactive,"5245 SANS SOUCI TER, Homewood, CA 96141",097-140-046
TRPA-TRF-2055,Receiving,097-140-003,Inactive,"5245 SANS SOUCI TER, Homewood, CA 96141",097-140-046
TRPA-TRF-2054,Receiving,097-140-003,Inactive,"5245 SANS SOUCI TER, Homewood, CA 96141",097-140-046
TRPA-TRF-2053,Receiving,097-140-003,Inactive,"5245 SANS SOUCI TER, Homewood, CA 96141",097-140-046
TRPA-TRF-2052,Receiving,097-140-003,Inactive,"5245 SANS SOUCI TER, Homewood, CA 96141",097-140-046
TRPA-TRF-2051,Receiving,097-140-003,Inactive,"5245 SANS SOUCI TER, Homewood, CA 96141",097-140-046
TRPA-TRF-2050,Receiving,097-140-003,Inactive,"5245 SANS SOUCI TER, Homewood, CA 96141",097-140-046
TRPA-TRF-2049,Receiving,097-140-003,Inactive,"5245 SANS SOUCI TER, Homewood, CA 96141",097-140-046
TRPA-TRF-2048,Receiving,097-140-003,Inactive,"5245 SANS SOUCI TER, Homewood, CA 96141",097-140-046
TRPA-TRF-2047,Receiving,097-140-003,Inactive,"5245 SANS SOUCI TER, Homewood, CA 96141",097-140-046
TRPA-TRF-2046,Receiving,097-140-003,Inactive,"5245 SANS SOUCI TER, Homewood, CA 96141",097-140-046
TRPA-TRF-2045,Receiving,097-140-003,Inactive,"5245 SANS SOUCI TER, Homewood, CA 96141",097-140-046
TRPA-TRF-2044,Receiving,097-140-003,Inactive,"5245 SANS SOUCI TER, Homewood, CA 96141",097-140-046
TRPA-TRF-2043,Receiving,097-140-003,Inactive,"5245 SANS SOUCI TER, Homewood, CA 96141",097-140-046
TRPA-TRF-2041,Receiving,023-182-026,Active,,
TRPA-TRF-2040,Receiving,032-291-029,Active,,
TRPA-TRF-2039,Receiving,033-472-010,Active,,
TRPA-TRF-2036,Receiving,116-220-049,Active,,
TRPA-TRF-2035,Receiving,016-131-007,Active,,
TRPA-TRF-2034,Receiving,085-280-044,Active,,
TRPA-TRF-2030,Receiving,032-291-029,Active,,
TRPA-TRF-2027,Receiving,015-252-010,Active,,
TRPA-TRF-2024,Receiving,032-510-009,Active,,
TRPA-TRF-2023,Receiving,032-510-007,Active,,
TRPA-TRF-2022,Receiving,033-882-003,Active,,
TRPA-TRF-2021,Receiving,026-221-027,Active,,
TRPA-TRF-2020,Receiving,032-291-031,Active,,
TRPA-TRF-2015,Receiving,033-644-001,Active,,
TRPA-TRF-1999,Receiving,115-010-019,Active,,
TRPA-TRF-1997,Receiving,025-271-023,Active,,
TRPA-TRF-1994,Receiving,025-451-009,Active,,
TRPA-TRF-1987,Receiving,132-011-07,Active,,
TRPA-TRF-1980,Receiving,034-473-004,Active,,
TRPA-TRF-1975,Receiving,033-744-001,Active,,
TRPA-TRF-1881,Receiving,032-161-001,Active,,
TRPA-TRF-1880,Receiving,112-060-018,Active,,
TRPA-TRF-1879,Receiving,027-364-017,Active,,
TRPA-TRF-1876,Receiving,027-122-020,Active,,
TRPA-TRF-1875,Receiving,130-302-26,Active,,
TRPA-TRF-1874,Receiving,032-161-002,Active,,
TRPA-TRF-1842,Receiving,081-151-003,Active,,
TRPA-TRF-1839,Receiving,130-163-27,Active,,
TRPA-TRF-1836,Receiving,032-161-002,Active,,
TRPA-TRF-1835,Receiving,032-161-002,Active,,
TRPA-TRF-1834,Receiving,032-161-002,Active,,
TRPA-TRF-1833,Receiving,032-161-002,Active,,
TRPA-TRF-1832,Receiving,032-161-002,Active,,
TRPA-TRF-1831,Receiving,032-161-002,Active,,
TRPA-TRF-1830,Receiving,033-854-015,Active,,
TRPA-TRF-1822,Receiving,032-162-001,Active,,
TRPA-TRF-1821,Receiving,080-172-006,Active,,
TRPA-TRF-1819,Receiving,092-083-019,Active,,
TRPA-TRF-1799,Receiving,125-502-05,Active,,
TRPA-TRF-1797,Receiving,123-131-11,Active,,
TRPA-TRF-1787,Receiving,130-201-11,Active,,
TRPA-TRF-1714,Receiving,034-122-003,Active,,
TRPA-TRF-1699,Receiving,029-680-002,Active,,
TRPA-TRF-1698,Receiving,016-313-010,Active,,
TRPA-TRF-1697,Receiving,023-182-028,Inactive,"906 EMERALD BAY RD, SOUTH LAKE TAHOE, CA 96150",023-960-008
TRPA-TRF-1471,Receiving,031-161-009,Active,,
TRPA-TRF-1470,Receiving,031-161-009,Active,,
TRPA-TRF-1469,Receiving,083-162-012,Active,,
TRPA-TRF-1468,Receiving,032-161-008,Active,,
TRPA-TRF-1457,Receiving,014-321-002,Active,,
TRPA-TRF-1455,Receiving,025-321-001,Active,,
TRPA-TRF-1454,Receiving,027-311-031,Active,,
TRPA-TRF-1453,Receiving,027-311-032,Active,,
TRPA-TRF-1452,Receiving,032-161-001,Active,,
TRPA-TRF-1451,Receiving,032-161-012,Active,,
TRPA-TRF-1450,Receiving,081-043-012,Active,,
TRPA-TRF-1448,Receiving,032-161-002,Active,,
TRPA-TRF-1447,Receiving,032-161-002,Active,,
TRPA-TRF-1446,Receiving,032-161-002,Active,,
TRPA-TRF-1445,Receiving,032-161-002,Active,,
TRPA-TRF-1444,Receiving,032-161-002,Active,,
TRPA-TRF-1443,Receiving,032-291-029,Active,,
TRPA-TRF-1442,Receiving,023-182-028,Inactive,"906 EMERALD BAY RD, SOUTH LAKE TAHOE, CA 96150",023-960-008
TRPA-TRF-1441,Receiving,023-182-028,Inactive,"906 EMERALD BAY RD, SOUTH LAKE TAHOE, CA 96150",023-960-008
TRPA-TRF-1439,Receiving,023-182-028,Inactive,"906 EMERALD BAY RD, SOUTH LAKE TAHOE, CA 96150",023-960-008
TRPA-TRF-1438,Receiving,023-182-028,Inactive,"906 EMERALD BAY RD, SOUTH LAKE TAHOE, CA 96150",023-960-008
TRPA-TRF-1436,Receiving,029-051-015,Active,,
TRPA-TRF-1435,Receiving,034-522-006,Active,,
TRPA-TRF-1304,Receiving,033-715-003,Active,,
TRPA-TRF-1303,Receiving,032-221-002,Active,,
TRPA-TRF-1290,Receiving,032-352-006,Active,,
TRPA-TRF-1288,Receiving,030-352-015,Active,,
TRPA-TRF-1287,Receiving,125-451-09,Active,,
TRPA-TRF-1286,Receiving,032-343-005,Active,,
TRPA-TRF-1285,Receiving,032-343-005,Active,,
TRPA-TRF-1284,Receiving,032-343-005,Active,,
TRPA-TRF-1283,Receiving,032-343-005,Active,,
TRPA-TRF-1282,Receiving,032-343-005,Active,,
TRPA-TRF-1281,Receiving,1418-34-401-006,Active,,
TRPA-TRF-1278,Receiving,033-863-009,Active,,
TRPA-TRF-1274,Receiving,097-122-013,Inactive,"5000 W LAKE BLVD, HOMEWOOD, CA 96141",097-122-030
TRPA-TRF-1273,Receiving,098-360-005,Active,,
TRPA-TRF-1272,Receiving,029-051-010,Active,,
TRPA-TRF-1122,Receiving,098-330-004,Active,,
TRPA-TRF-1120,Receiving,132-240-03,Inactive,"873 TAHOE BLVD, INCLINE VILLAGE, NV 89451",132-240-22
TRPA-TRF-1113,Receiving,016-131-007,Active,,
TRPA-TRF-1112,Receiving,029-181-020,Active,,
TRPA-TRF-1111,Receiving,032-141-011,Active,,
TRPA-TRF-1110,Receiving,034-172-001,Active,,
TRPA-TRF-1108,Receiving,029-181-010,Active,,
TRPA-TRF-1107,Receiving,029-181-021,Active,,
TRPA-TRF-1106,Receiving,025-803-009,Active,,
TRPA-TRF-1105,Receiving,029-181-019,Active,,
TRPA-TRF-1103,Receiving,025-831-032,Active,,
TRPA-TRF-987,Receiving,033-562-001,Active,,
TRPA-TRF-986,Receiving,080-147-006,Active,,
TRPA-TRF-981,Receiving,033-813-005,Active,,
TRPA-TRF-980,Receiving,080-155-024,Active,,
TRPA-TRF-979,Receiving,026-134-014,Active,,
TRPA-TRF-978,Receiving,1418-10-401-003,Active,,
TRPA-TRF-945,Receiving,034-682-029,Active,,
TRPA-TRF-922,Receiving,025-670-021,Active,,
TRPA-TRF-920,Receiving,132-240-03,Inactive,"873 TAHOE BLVD, INCLINE VILLAGE, NV 89451",132-240-22
TRPA-TRF-919,Receiving,1418-34-201-009,Active,,
TRPA-TRF-900,Receiving,1318-26-101-010,Active,,
TRPA-TRF-891,Receiving,026-077-017,Active,,
TRPA-TRF-884,Receiving,098-022-017,Active,,
TRPA-TRF-882,Receiving,092-100-004,Active,,
TRPA-TRF-879,Receiving,026-095-008,Active,,
TRPA-TRF-851,Receiving,033-132-003,Active,,
TRPA-TRF-843,Receiving,1318-15-802-005,Active,,
TRPA-TRF-841,Receiving,130-163-27,Active,,
TRPA-TRF-840,Receiving,124-921-17,Active,,
TRPA-TRF-836,Receiving,031-204-008,Active,,
TRPA-TRF-834,Receiving,1318-15-802-005,Active,,
TRPA-TRF-832,Receiving,117-072-005,Active,,
TRPA-TRF-830,Receiving,034-266-007,Active,,
TRPA-TRF-825,Receiving,031-182-009,Active,,
TRPA-TRF-820,Receiving,034-192-013,Active,,
TRPA-TRF-814,Receiving,031-225-010,Active,,
TRPA-TRF-813,Receiving,085-250-008,Active,,
TRPA-TRF-799,Receiving,090-213-024,Active,,
TRPA-TRF-775,Receiving,023-181-043,Active,,
TRPA-TRF-774,Receiving,023-181-043,Active,,
TRPA-TRF-772,Receiving,132-012-05,Active,,
TRPA-TRF-770,Receiving,016-300-040,Active,,
TRPA-TRF-769,Receiving,035-262-012,Active,,
TRPA-TRF-754,Receiving,035-246-010,Active,,
TRPA-TRF-753,Receiving,034-452-003,Active,,
TRPA-TRF-752,Receiving,034-382-006,Active,,
TRPA-TRF-717,Receiving,022-122-019,Active,,
TRPA-TRF-704,Receiving,090-115-056,Active,,
TRPA-TRF-702,Receiving,094-070-001,Inactive,"255 N LAKE BLVD, TAHOE CITY, CA 96145",094-070-016
TRPA-TRF-701,Receiving,023-271-010,Active,,
TRPA-TRF-700,Receiving,025-226-002,Active,,
TRPA-TRF-699,Receiving,127-040-07,Active,,
TRPA-TRF-698,Receiving,081-091-011,Active,,
TRPA-TRF-697,Receiving,117-150-040,Inactive,"7699 N LAKE BLVD, KINGS BEACH, CA 96143",117-150-041
TRPA-TRF-696,Receiving,117-150-040,Inactive,"7699 N LAKE BLVD, KINGS BEACH, CA 96143",117-150-041
TRPA-TRF-692,Receiving,1318-23-710-046,Active,,
TRPA-TRF-683,Receiving,117-110-015,Inactive,"7238 N LAKE BLVD, TAHOE VISTA, CA 96148",117-110-074
TRPA-TRF-681,Receiving,1418-10-401-004,Active,,
TRPA-TRF-680,Receiving,034-482-004,Active,,
TRPA-TRF-678,Receiving,025-831-032,Active,,
TRPA-TRF-677,Receiving,027-364-005,Active,,
TRPA-TRF-676,Receiving,1318-15-802-001,Active,,
TRPA-TRF-675,Receiving,023-271-010,Active,,
TRPA-TRF-674,Receiving,023-271-010,Active,,
TRPA-TRF-673,Receiving,023-271-010,Active,,
TRPA-TRF-672,Receiving,023-271-010,Active,,
TRPA-TRF-671,Receiving,023-271-010,Active,,
TRPA-TRF-670,Receiving,023-271-010,Active,,
TRPA-TRF-669,Receiving,023-271-010,Active,,
TRPA-TRF-667,Receiving,1319-18-413-009,Active,,
TRPA-TRF-651,Receiving,1319-18-413-009,Active,,
TRPA-TRF-650,Receiving,033-575-004,Active,,
TRPA-TRF-649,Receiving,036-611-019,Active,,
TRPA-TRF-648,Receiving,022-122-019,Active,,
TRPA-TRF-647,Receiving,034-242-002,Active,,
TRPA-TRF-646,Receiving,033-682-008,Active,,
TRPA-TRF-645,Receiving,035-211-010,Active,,
TRPA-TRF-644,Receiving,033-312-016,Active,,
TRPA-TRF-643,Receiving,023-801-015,Active,,
TRPA-TRF-642,Receiving,028-141-021,Active,,
TRPA-TRF-641,Receiving,016-300-062,Active,,
TRPA-TRF-640,Receiving,032-510-001,Active,,
TRPA-TRF-639,Receiving,1318-23-301-001,Inactive,,1318-23-315-045
TRPA-TRF-638,Receiving,032-510-001,Active,,
TRPA-TRF-611,Receiving,031-241-24,Inactive,"2591 LAKE TAHOE BLVD, SOUTH LAKE TAHOE, CA 96150",031-241-026
TRPA-TRF-605,Receiving,029-441-15,Inactive,"40 LAKE PKWY, SOUTH LAKE TAHOE, CA 96150",029-710-021
TRPA-TRF-602,Receiving,033-857-020,Active,,
TRPA-TRF-601,Receiving,032-141-012,Active,,
TRPA-TRF-600,Receiving,032-141-012,Active,,
TRPA-TRF-599,Receiving,032-141-012,Active,,
TRPA-TRF-570,Receiving,031-236-015,Active,,
TRPA-TRF-553,Receiving,029-415-004,Active,,
TRPA-TRF-552,Receiving,130-311-07,Inactive,"1125 TUNNEL CREEK RD, INCLINE VILLAGE, NV 89451",130-311-19
TRPA-TRF-551,Receiving,027-204-007,Active,,
TRPA-TRF-550,Receiving,023-321-007,Active,,
TRPA-TRF-547,Receiving,023-103-014,Active,,
TRPA-TRF-545,Receiving,023-481-003,Active,,
TRPA-TRF-539,Receiving,022-344-024,Active,,
TRPA-TRF-533,Receiving,023-571-001,Active,,
TRPA-TRF-532,Receiving,023-892-002,Active,,
TRPA-TRF-531,Receiving,125-522-02,Active,,
TRPA-TRF-530,Receiving,029-441-21,Inactive,"30 LAKE PKWY, SOUTH LAKE TAHOE, CA 96150",029-710-021
TRPA-TRF-529,Receiving,125-541-14,Active,,
TRPA-TRF-528,Receiving,017-041-19,Inactive,"291 PARADISE FLAT LN, CA 96150",017-041-033
TRPA-TRF-527,Receiving,029-441-21,Inactive,"30 LAKE PKWY, SOUTH LAKE TAHOE, CA 96150",029-710-021
TRPA-TRF-525,Receiving,023-892-002,Active,,
TRPA-TRF-524,Receiving,023-696-013,Active,,
TRPA-TRF-520,Receiving,026-064-018,Active,,
TRPA-TRF-519,Receiving,029-441-21,Inactive,"30 LAKE PKWY, SOUTH LAKE TAHOE, CA 96150",029-710-021
TRPA-TRF-518,Receiving,1418-34-110-065,Active,,
TRPA-TRF-517,Receiving,028-061-034,Active,,
TRPA-TRF-516,Receiving,026-061-015,Active,,
TRPA-TRF-492,Receiving,029-441-21,Inactive,"30 LAKE PKWY, SOUTH LAKE TAHOE, CA 96150",029-710-021
TRPA-TRF-491,Receiving,029-441-21,Inactive,"30 LAKE PKWY, SOUTH LAKE TAHOE, CA 96150",029-710-021
TRPA-TRF-490,Receiving,029-441-21,Inactive,"30 LAKE PKWY, SOUTH LAKE TAHOE, CA 96150",029-710-021
TRPA-TRF-489,Receiving,029-441-21,Inactive,"30 LAKE PKWY, SOUTH LAKE TAHOE, CA 96150",029-710-021
TRPA-TRF-488,Receiving,029-441-21,Inactive,"30 LAKE PKWY, SOUTH LAKE TAHOE, CA 96150",029-710-021
TRPA-TRF-487,Receiving,029-441-21,Inactive,"30 LAKE PKWY, SOUTH LAKE TAHOE, CA 96150",029-710-021
TRPA-TRF-486,Receiving,029-441-21,Inactive,"30 LAKE PKWY, SOUTH LAKE TAHOE, CA 96150",029-710-021
TRPA-TRF-485,Receiving,028-042-012,Active,,
TRPA-TRF-467,Receiving,029-441-21,Inactive,"30 LAKE PKWY, SOUTH LAKE TAHOE, CA 96150",029-710-021
TRPA-TRF-466,Receiving,029-441-21,Inactive,"30 LAKE PKWY, SOUTH LAKE TAHOE, CA 96150",029-710-021
TRPA-TRF-465,Receiving,032-510-001,Active,,
TRPA-TRF-464,Receiving,029-441-21,Inactive,"30 LAKE PKWY, SOUTH LAKE TAHOE, CA 96150",029-710-021
TRPA-TRF-463,Receiving,029-441-21,Inactive,"30 LAKE PKWY, SOUTH LAKE TAHOE, CA 96150",029-710-021
TRPA-TRF-461,Receiving,029-441-21,Inactive,"30 LAKE PKWY, SOUTH LAKE TAHOE, CA 96150",029-710-021
TRPA-TRF-436,Receiving,022-343-27,Inactive,"1954 VENICE DR, SOUTH LAKE TAHOE, CA 96150",022-343-027
TRPA-TRF-435,Receiving,1318-15-802-005,Active,,
TRPA-TRF-434,Receiving,1318-10-411-014,Active,,
TRPA-TRF-433,Receiving,031-204-002,Active,,
TRPA-TRF-430,Receiving,028-011-19,Inactive,"1201 WILDWOOD AVE, SOUTH LAKE TAHOE, CA 96150",028-340-001
TRPA-TRF-429,Receiving,028-011-19,Inactive,"1201 WILDWOOD AVE, SOUTH LAKE TAHOE, CA 96150",028-340-001
TRPA-TRF-428,Receiving,028-011-19,Inactive,"1201 WILDWOOD AVE, SOUTH LAKE TAHOE, CA 96150",028-340-001
TRPA-TRF-427,Receiving,028-011-19,Inactive,"1201 WILDWOOD AVE, SOUTH LAKE TAHOE, CA 96150",028-340-001
TRPA-TRF-426,Receiving,028-011-19,Inactive,"1201 WILDWOOD AVE, SOUTH LAKE TAHOE, CA 96150",028-340-001
TRPA-TRF-425,Receiving,036-380-024,Active,,
TRPA-TRF-424,Receiving,023-191-007,Active,,
TRPA-TRF-423,Receiving,032-201-013,Active,,
TRPA-TRF-421,Receiving,023-182-006,Active,,
TRPA-TRF-419,Receiving,023-182-006,Active,,
TRPA-TRF-418,Receiving,026-221-013,Active,,
TRPA-TRF-417,Receiving,026-068-010,Active,,
TRPA-TRF-416,Receiving,026-068-018,Active,,
TRPA-TRF-412,Receiving,023-644-013,Active,,
TRPA-TRF-411,Receiving,023-653-024,Active,,
TRPA-TRF-393,Receiving,031-045-008,Active,,
TRPA-TRF-391,Receiving,022-171-033,Active,,
TRPA-TRF-390,Receiving,032-510-003,Active,,
TRPA-TRF-389,Receiving,023-391-008,Active,,
TRPA-TRF-388,Receiving,016-513-012,Active,,
TRPA-TRF-387,Receiving,023-191-007,Active,,
TRPA-TRF-386,Receiving,023-191-007,Active,,
TRPA-TRF-385,Receiving,097-130-032,Active,,
TRPA-TRF-383,Receiving,090-092-050,Active,,
TRPA-TRF-382,Receiving,090-092-050,Active,,
TRPA-TRF-380,Receiving,032-191-021,Active,,
TRPA-TRF-378,Receiving,016-513-012,Active,,
TRPA-TRF-375,Receiving,1318-15-611-054,Active,,
TRPA-TRF-374,Receiving,1318-15-611-054,Active,,
TRPA-TRF-373,Receiving,1318-15-611-054,Active,,
TRPA-TRF-371,Receiving,031-045-008,Active,,
TRPA-TRF-370,Receiving,131-014-03,Active,,
TRPA-TRF-368,Receiving,029-530-015,Active,,
TRPA-TRF-364,Receiving,123-071-34,Inactive,"105 STATE ROUTE 28, CRYSTAL BAY, NV 89451",123-293-02
TRPA-TRF-363,Receiving,123-052-02,Active,,
TRPA-TRF-362,Receiving,023-081-003,Active,,
TRPA-TRF-361,Receiving,560-101-00,Active,,
TRPA-TRF-360,Receiving,030-352-023,Active,,
TRPA-TRF-359,Receiving,029-530-015,Active,,
TRPA-TRF-356,Receiving,032-191-021,Active,,
TRPA-TRF-325,Receiving,028-061-034,Active,,
TRPA-TRF-323,Receiving,028-061-034,Active,,
TRPA-TRF-322,Receiving,094-110-023,Active,,
TRPA-TRF-321,Receiving,1418-34-401-006,Active,,
TRPA-TRF-320,Receiving,025-641-005,Active,,
TRPA-TRF-319,Receiving,034-722-039,Active,,
TRPA-TRF-317,Receiving,033-644-008,Active,,
TRPA-TRF-316,Receiving,1418-11-110-004,Active,,
TRPA-TRF-315,Receiving,1318-25-101-017,Inactive,,1318-24-404-023
TRPA-TRF-314,Receiving,025-781-001,Active,,
TRPA-TRF-312,Receiving,030-352-023,Active,,
TRPA-TRF-308,Receiving,028-123-007,Active,,
TRPA-TRF-307,Receiving,023-655-001,Active,,
TRPA-TRF-306,Receiving,023-102-041,Active,,
TRPA-TRF-305,Receiving,025-543-008,Active,,
TRPA-TRF-304,Receiving,034-722-039,Active,,
TRPA-TRF-303,Receiving,023-102-042,Active,,
TRPA-TRF-302,Receiving,023-892-015,Active,,
TRPA-TRF-301,Receiving,023-471-014,Active,,
TRPA-TRF-299,Receiving,1418-15-701-010,Active,,
TRPA-TRF-298,Receiving,032-274-007,Active,,
TRPA-TRF-297,Receiving,025-544-010,Active,,
TRPA-TRF-296,Receiving,028-090-093,Active,,
TRPA-TRF-295,Receiving,016-091-027,Active,,
TRPA-TRF-293,Receiving,026-063-013,Active,,
TRPA-TRF-292,Receiving,023-755-010,Active,,
TRPA-TRF-291,Receiving,023-441-037,Active,,
TRPA-TRF-290,Receiving,022-061-010,Active,,
TRPA-TRF-289,Receiving,026-061-012,Active,,
TRPA-TRF-288,Receiving,028-123-009,Active,,
TRPA-TRF-287,Receiving,028-062-013,Active,,
TRPA-TRF-286,Receiving,025-211-001,Active,,
TRPA-TRF-285,Receiving,025-032-002,Active,,
TRPA-TRF-242,Receiving,122-591-01,Active,,
TRPA-TRF-124,Receiving,097-130-029,Inactive,"5140 W LAKE BLVD, HOMEWOOD, CA 96141",097-130-042
TRPA-TRF-123,Receiving,097-130-029,Inactive,"5140 W LAKE BLVD, HOMEWOOD, CA 96141",097-130-042
TRPA-TRF-122,Receiving,097-130-028,Inactive,"5130 W LAKE BLVD, HOMEWOOD, CA 96141",097-130-043
TRPA-TRF-121,Receiving,097-130-028,Inactive,"5130 W LAKE BLVD, HOMEWOOD, CA 96141",097-130-043
TRPA-TRF-120,Receiving,097-130-027,Inactive,"5110 W LAKE BLVD, HOMEWOOD, CA 96141",097-130-043
TRPA-TRF-119,Receiving,097-130-027,Inactive,"5110 W LAKE BLVD, HOMEWOOD, CA 96141",097-130-043
TRPA-TRF-106,Receiving,1318-15-201-002,Active,,
TRPA-TRF-105,Receiving,033-472-010,Active,,
TRPA-TRF-104,Receiving,1318-23-311-015,Active,,
TRPA-TRF-103,Receiving,1318-23-311-016,Active,,
TRPA-TRF-102,Receiving,1318-23-311-017,Active,,
TRPA-TRF-101,Receiving,1318-23-311-018,Active,,
TRPA-TRF-100,Receiving,1318-23-311-018,Active,,
TRPA-TRF-98,Receiving,1318-27-001-001,Inactive,"180 LAKE PKWY, STATELINE, NV 89449",1318-27-001-015
