Transaction Number,Parcel Type,APN,Current Parcel Status 2/1/2024,Parcel Address,Current Active Parcel
TRPA-TRF-2063,Sending,093-490-012,Active,,
TRPA-TRF-2062,Sending,093-490-011,Active,,
TRPA-TRF-2061,Sending,093-490-010,Active,,
TRPA-TRF-2060,Sending,093-490-003,Active,,
TRPA-TRF-2059,Sending,093-490-002,Active,,
TRPA-TRF-2058,Sending,093-480-023,Active,,
TRPA-TRF-2057,Sending,093-480-022,Active,,
TRPA-TRF-2056,Sending,093-480-021,Active,,
TRPA-TRF-2055,Sending,093-480-020,Active,,
TRPA-TRF-2054,Sending,093-480-019,Active,,
TRPA-TRF-2053,Sending,093-480-018,Active,,
TRPA-TRF-2052,Sending,093-480-015,Active,,
TRPA-TRF-2051,Sending,093-480-014,Active,,
TRPA-TRF-2050,Sending,093-480-013,Active,,
TRPA-TRF-2049,Sending,093-480-012,Active,,
TRPA-TRF-2048,Sending,093-480-011,Active,,
TRPA-TRF-2047,Sending,093-480-010,Active,,
TRPA-TRF-2046,Sending,093-480-008,Active,,
TRPA-TRF-2045,Sending,093-480-007,Active,,
TRPA-TRF-2044,Sending,093-480-006,Active,,
TRPA-TRF-2043,Sending,093-480-005,Active,,
TRPA-TRF-2041,Sending,081-043-012,Active,,
TRPA-TRF-2040,Sending,032-141-003,Active,,
TRPA-TRF-2039,Sending,034-270-055,Active,,
TRPA-TRF-2036,Sending,093-480-018,Active,,
TRPA-TRF-2035,Sending,084-010-047,Active,,
TRPA-TRF-2034,Sending,093-480-009,Active,,
TRPA-TRF-2030,Sending,027-010-016,Active,,
TRPA-TRF-2027,Sending,085-360-003,Active,,
TRPA-TRF-2024,Sending,025-081-013,Active,,
TRPA-TRF-2023,Sending,025-081-013,Active,,
TRPA-TRF-2022,Sending,026-075-019,Active,,
TRPA-TRF-2021,Sending,032-151-015,Active,,
TRPA-TRF-2020,Sending,033-050-006,Active,,
TRPA-TRF-2015,Sending,026-075-019,Active,,
TRPA-TRF-1999,Sending,090-241-007,Active,,
TRPA-TRF-1997,Sending,023-141-008,Active,,
TRPA-TRF-1994,Sending,026-075-019,Active,,
TRPA-TRF-1987,Sending,131-100-01,Active,,
TRPA-TRF-1980,Sending,026-075-019,Active,,
TRPA-TRF-1975,Sending,026-075-019,Active,,
TRPA-TRF-1881,Sending,033-306-005,Active,,
TRPA-TRF-1880,Sending,090-056-043,Active,,
TRPA-TRF-1879,Sending,023-141-037,Active,,
TRPA-TRF-1876,Sending,031-173-003,Active,,
TRPA-TRF-1875,Sending,127-040-03,Active,,
TRPA-TRF-1874,Sending,025-552-001,Active,,
TRPA-TRF-1842,Sending,036-010-009,Active,,
TRPA-TRF-1839,Sending,131-100-01,Active,,
TRPA-TRF-1836,Sending,034-212-001,Active,,
TRPA-TRF-1835,Sending,034-153-006,Active,,
TRPA-TRF-1834,Sending,033-432-005,Active,,
TRPA-TRF-1833,Sending,023-756-014,Active,,
TRPA-TRF-1832,Sending,081-112-014,Active,,
TRPA-TRF-1831,Sending,080-102-016,Active,,
TRPA-TRF-1830,Sending,023-141-027,Active,,
TRPA-TRF-1822,Sending,127-090-04,Active,,
TRPA-TRF-1821,Sending,023-191-018,Active,,
TRPA-TRF-1819,Sending,098-167-019,Active,,
TRPA-TRF-1799,Sending,131-100-01,Active,,
TRPA-TRF-1797,Sending,123-032-21,Active,,
TRPA-TRF-1787,Sending,131-100-01,Active,,
TRPA-TRF-1714,Sending,093-130-014,Active,,
TRPA-TRF-1699,Sending,1318-26-101-011,Active,,
TRPA-TRF-1698,Sending,027-082-033,Active,,
TRPA-TRF-1697,Sending,036-010-009,Active,,
TRPA-TRF-1471,Sending,034-214-001,Active,,
TRPA-TRF-1470,Sending,034-214-001,Active,,
TRPA-TRF-1469,Sending,090-153-010,Active,,
TRPA-TRF-1468,Sending,032-142-006,Active,,
TRPA-TRF-1457,Sending,014-021-011,Active,,
TRPA-TRF-1455,Sending,029-630-029,Active,,
TRPA-TRF-1454,Sending,1318-22-002-103,Active,,
TRPA-TRF-1453,Sending,1318-22-002-103,Active,,
TRPA-TRF-1452,Sending,023-151-003,Active,,
TRPA-TRF-1451,Sending,023-151-003,Active,,
TRPA-TRF-1450,Sending,026-075-019,Active,,
TRPA-TRF-1448,Sending,033-305-004,Active,,
TRPA-TRF-1447,Sending,034-791-002,Active,,
TRPA-TRF-1446,Sending,033-305-002,Active,,
TRPA-TRF-1445,Sending,035-294-002,Active,,
TRPA-TRF-1444,Sending,033-494-015,Active,,
TRPA-TRF-1443,Sending,023-181-038,Active,,
TRPA-TRF-1442,Sending,030-581-002,Active,,
TRPA-TRF-1441,Sending,081-092-005,Active,,
TRPA-TRF-1439,Sending,030-581-001,Active,,
TRPA-TRF-1438,Sending,126-580-07,Active,,
TRPA-TRF-1436,Sending,023-191-007,Active,,
TRPA-TRF-1435,Sending,1418-34-113-001,Active,,
TRPA-TRF-1304,Sending,081-121-001,Active,,
TRPA-TRF-1303,Sending,023-801-015,Active,,
TRPA-TRF-1290,Sending,026-075-019,Active,,
TRPA-TRF-1288,Sending,029-630-029,Active,,
TRPA-TRF-1287,Sending,126-580-07,Active,,
TRPA-TRF-1286,Sending,034-791-002,Active,,
TRPA-TRF-1285,Sending,033-305-004,Active,,
TRPA-TRF-1284,Sending,035-294-002,Active,,
TRPA-TRF-1283,Sending,033-494-015,Active,,
TRPA-TRF-1282,Sending,033-305-002,Active,,
TRPA-TRF-1281,Sending,1418-34-401-007,Active,,
TRPA-TRF-1278,Sending,036-350-043,Active,,
TRPA-TRF-1274,Sending,090-066-024,Active,,
TRPA-TRF-1273,Sending,090-066-024,Active,,
TRPA-TRF-1272,Sending,023-191-007,Active,,
TRPA-TRF-1122,Sending,097-050-029,Active,,
TRPA-TRF-1120,Sending,023-392-047,Active,,
TRPA-TRF-1113,Sending,031-030-039,Active,,
TRPA-TRF-1112,Sending,023-481-003,Active,,
TRPA-TRF-1111,Sending,022-061-010,Active,,
TRPA-TRF-1110,Sending,036-010-008,Active,,
TRPA-TRF-1108,Sending,081-093-015,Active,,
TRPA-TRF-1107,Sending,023-102-042,Active,,
TRPA-TRF-1106,Sending,036-010-009,Active,,
TRPA-TRF-1105,Sending,023-653-024,Active,,
TRPA-TRF-1103,Sending,036-010-009,Active,,
TRPA-TRF-987,Sending,031-195-009,Active,,
TRPA-TRF-986,Sending,025-644-005,Active,,
TRPA-TRF-981,Sending,034-752-008,Active,,
TRPA-TRF-980,Sending,033-693-008,Active,,
TRPA-TRF-979,Sending,033-693-008,Active,,
TRPA-TRF-978,Sending,027-074-005,Active,,
TRPA-TRF-945,Sending,031-144-002,Active,,
TRPA-TRF-922,Sending,023-561-013,Active,,
TRPA-TRF-920,Sending,1318-22-002-014,Active,,
TRPA-TRF-919,Sending,1318-26-515-032,Active,,
TRPA-TRF-900,Sending,1318-26-101-011,Active,,
TRPA-TRF-891,Sending,022-122-019,Active,,
TRPA-TRF-884,Sending,085-360-003,Active,,
TRPA-TRF-882,Sending,090-066-024,Active,,
TRPA-TRF-879,Sending,027-313-13,Inactive,"3606 TAMARACK AVE, SOUTH LAKE TAHOE, CA 96150",027-313-017
TRPA-TRF-851,Sending,1318-26-101-011,Active,,
TRPA-TRF-843,Sending,023-393-027,Active,,
TRPA-TRF-841,Sending,122-052-08,Active,,
TRPA-TRF-840,Sending,081-073-011,Active,,
TRPA-TRF-836,Sending,033-304-009,Active,,
TRPA-TRF-834,Sending,023-761-014,Active,,
TRPA-TRF-832,Sending,090-202-010,Active,,
TRPA-TRF-830,Sending,034-781-001,Active,,
TRPA-TRF-825,Sending,034-161-006,Active,,
TRPA-TRF-820,Sending,034-096-007,Active,,
TRPA-TRF-814,Sending,081-052-002,Active,,
TRPA-TRF-813,Sending,093-480-003,Active,,
TRPA-TRF-799,Sending,092-090-005,Active,,
TRPA-TRF-775,Sending,025-884-001,Active,,
TRPA-TRF-774,Sending,030-361-025,Active,,
TRPA-TRF-772,Sending,124-071-52,Active,,
TRPA-TRF-770,Sending,018-300-023,Active,,
TRPA-TRF-769,Sending,036-010-008,Active,,
TRPA-TRF-754,Sending,081-111-002,Active,,
TRPA-TRF-753,Sending,033-754-002,Active,,
TRPA-TRF-752,Sending,023-691-028,Active,,
TRPA-TRF-717,Sending,034-251-012,Active,,
TRPA-TRF-704,Sending,090-202-035,Active,,
TRPA-TRF-702,Sending,117-072-014,Active,,
TRPA-TRF-701,Sending,025-360-027,Active,,
TRPA-TRF-700,Sending,029-604-002,Active,,
TRPA-TRF-699,Sending,127-030-39,Active,,
TRPA-TRF-698,Sending,081-043-007,Active,,
TRPA-TRF-697,Sending,093-480-002,Active,,
TRPA-TRF-696,Sending,093-480-001,Active,,
TRPA-TRF-692,Sending,1318-24-710-019,Active,,
TRPA-TRF-683,Sending,117-100-086,Active,,
TRPA-TRF-681,Sending,1318-10-310-078,Active,,
TRPA-TRF-680,Sending,036-010-008,Active,,
TRPA-TRF-678,Sending,036-010-008,Active,,
TRPA-TRF-677,Sending,022-051-088,Active,,
TRPA-TRF-676,Sending,1318-26-101-092,Active,,
TRPA-TRF-675,Sending,023-571-001,Active,,
TRPA-TRF-674,Sending,023-102-041,Active,,
TRPA-TRF-673,Sending,023-103-014,Active,,
TRPA-TRF-672,Sending,023-655-001,Active,,
TRPA-TRF-671,Sending,023-892-015,Active,,
TRPA-TRF-670,Sending,026-221-013,Active,,
TRPA-TRF-669,Sending,026-095-014,Active,,
TRPA-TRF-667,Sending,1318-24-404-018,Active,,
TRPA-TRF-651,Sending,1318-24-404-018,Active,,
TRPA-TRF-650,Sending,025-741-001,Active,,
TRPA-TRF-649,Sending,025-741-001,Active,,
TRPA-TRF-648,Sending,023-111-039,Active,,
TRPA-TRF-647,Sending,033-826-002,Active,,
TRPA-TRF-646,Sending,034-161-003,Active,,
TRPA-TRF-645,Sending,081-152-014,Active,,
TRPA-TRF-644,Sending,081-152-014,Active,,
TRPA-TRF-643,Sending,029-041-018,Active,,
TRPA-TRF-642,Sending,029-170-001,Active,,
TRPA-TRF-641,Sending,033-180-006,Active,,
TRPA-TRF-640,Sending,023-393-003,Active,,
TRPA-TRF-639,Sending,1318-22-002-103,Active,,
TRPA-TRF-638,Sending,023-191-007,Active,,
