APN,Year,apn_in_fc_other_years
034-734-026,2018,False
034-734-026,2019,False
034-734-026,2020,False
034-734-026,2021,False
034-734-026,2022,False
034-734-026,2023,False
034-734-026,2024,False
034-734-026,2025,False
