old_apn,new_apn,change_year,overlap_pct,change_type,is_primary,source
001-130-07,1418-15-801-009,,,,1,LTINFO
001-130-15,001-130-17,,,,1,LTINFO
001-130-15,001-130-18,,,,1,LTINFO
001-130-17,1418-15-801-001,,,,1,LTINFO
001-130-18,1418-15-801-002,,,,1,LTINFO
001-140-02,1418-00-001-009,,,,1,LTINFO
001-151-03,1418-10-810-003,,,,1,LTINFO
001-151-04,1418-10-810-004,,,,1,LTINFO
001-151-05,1418-10-810-005,,,,1,LTINFO
001-151-08,1418-10-810-001,,,,1,LTINFO
001-151-09,1418-15-510-001,,,,1,LTINFO
001-152-01,1418-15-510-002,,,,1,LTINFO
001-152-02,1418-15-510-003,,,,1,LTINFO
001-152-08,1418-15-510-009,,,,1,LTINFO
001-152-11,1418-15-510-012,,,,1,LTINFO
001-153-05,1418-10-810-019,,,,1,LTINFO
001-153-06,1418-10-810-018,,,,1,LTINFO
001-153-07,1418-10-810-017,,,,1,LTINFO
001-153-09,1418-10-810-015,,,,1,LTINFO
001-153-11,1418-10-810-013,,,,1,LTINFO
001-153-15,1418-10-810-010,,,,1,LTINFO
001-153-17,1418-10-810-008,,,,1,LTINFO
001-153-18,1418-10-810-009,,,,1,LTINFO
001-154-04,1418-11-410-006,,,,1,LTINFO
001-154-05,1418-11-410-007,,,,1,LTINFO
001-154-07,1418-11-410-009,,,,1,LTINFO
001-161-03,1418-10-710-003,,,,1,LTINFO
001-161-06,1418-10-710-006,,,,1,LTINFO
001-161-08,1418-10-710-008,,,,1,LTINFO
001-161-13,1418-10-710-015,,,,1,LTINFO
001-161-40,1418-10-710-010,,,,1,LTINFO
001-163-03,1418-10-710-067,,,,1,LTINFO
001-163-04,1418-10-710-068,,,,1,LTINFO
001-163-05,1418-10-710-069,,,,1,LTINFO
001-163-07,1418-10-710-072,,,,1,LTINFO
001-163-09,1418-10-710-074,,,,1,LTINFO
001-163-11,1418-10-710-076,,,,1,LTINFO
001-170-03,1418-11-311-008,,,,1,LTINFO
001-170-04,001-170-19,,,,1,LTINFO
001-170-08,1418-11-311-003,,,,1,LTINFO
001-170-19,1418-11-311-007,,,,1,LTINFO
001-190-09,001-190-13,,,,1,LTINFO
001-190-13,1418-10-702-006,,,,1,LTINFO
001-190-14,1418-10-702-005,,,,1,LTINFO
