"Pool","Development Right","Jurisdiction","Balance Remaining","# of Trans","Comments","Active?"
"Residential Bonus Unit (RBU) - TRPA Centers Pool - Moderate/Achievable","Residential Bonus Unit (RBU)","Tahoe Regional Planning Agency (TRPA)","119","10","Must be used in Centers; must be used for moderate or achievable housing.","Yes"
"Residential Bonus Unit (RBU) - TRPA Centers Pool - Transfer Incentives Pool (Any)","Residential Bonus Unit (RBU)","Tahoe Regional Planning Agency (TRPA)","263","3","Must be used in centers; can be used for market-rate. affordable, moderate, or achievable. Use for market-rate first. Affordable, moderate, and achievable should draw from the other pools until they are used up.","Yes"
"Residential Bonus Unit (RBU) - TRPA Community Enhancement Project (CEP) pool (inactive)","Residential Bonus Unit (RBU)","Tahoe Regional Planning Agency (TRPA)","0","0","To be returned to the TRPA pool if unused. 12 units reserved for Homewood; 24 units reserved for Boulder Bay. The 245 units remaining in the pool (including those reserved for Homewood and Boulder Bay) were returned to the TRPA pool June 2019 and this pool was retired (deactivated).","No"
"Residential Bonus Unit (RBU) - TRPA Pool (inactive)","Residential Bonus Unit (RBU)","Tahoe Regional Planning Agency (TRPA)","0","2","These can be used anywhere (outside centers). Used for affordable housing or transfer incentives. This pool was retired in June 2019 and the remaining 279 units in the pool were moved to the TRPA bonus unit pools for affordable and moderate/achievable.","No"
"Tourist Accommodation Unit (TAU) - Bijou/Al Tahoe CP","Tourist Accommodation Unit (TAU)","City of South Lake Tahoe (CSLT)","0","0","","Yes"
"Tourist Accommodation Unit (TAU) - Carnelian Bay CP (inactive)","Tourist Accommodation Unit (TAU)","Placer County, CA (PLCO)","0","0","This pool became inactive with the adoption of the Placer County Area Plan. ","No"
"Tourist Accommodation Unit (TAU) - Greater Tahoe City Mixed Use Subdistrict","Tourist Accommodation Unit (TAU)","Placer County, CA (PLCO)","25","0","This pool was formerly called ""Tahoe City CP"" but was renamed in 2018 to align with the new Placer County Area Plan.","Yes"
"Tourist Accommodation Unit (TAU) - Incline Village Com. CP (inactive)","Tourist Accommodation Unit (TAU)","Washoe County, NV (WACO)","0","0","This pool became inactive once the Washoe County Tahoe Area Plan was adopted in May 2021.","No"
"Tourist Accommodation Unit (TAU) - Incline Village Tourist CP (inactive)","Tourist Accommodation Unit (TAU)","Washoe County, NV (WACO)","0","0","This pool became inactive once the Washoe County Tahoe Area Plan was adopted in May 2021.","No"
"Tourist Accommodation Unit (TAU) - Kings Beach Commercial Town Center","Tourist Accommodation Unit (TAU)","Placer County, CA (PLCO)","0","0","This pool was formerly call the ""Kings Beach CP"" but was renamed in 2018 to align with the new Placer County Area Plan.","Yes"
"Tourist Accommodation Unit (TAU) - Kings Beach Ind. CP (inactive)","Tourist Accommodation Unit (TAU)","Placer County, CA (PLCO)","0","0","This pool became inactive with the adoption of the Placer County Area Plan.","No"
"Tourist Accommodation Unit (TAU) - Kingsbury CP","Tourist Accommodation Unit (TAU)","Douglas County, NV (DGCO)","0","0","","Yes"
"Tourist Accommodation Unit (TAU) - Meyers Area Plan","Tourist Accommodation Unit (TAU)","El Dorado County, CA (ELDO)","10","0","This pool was formerly called the ""Meyers CP"" and was renamed following the adoption of the Meyers Area Plan.","Yes"
"Tourist Accommodation Unit (TAU) - Nevada North Stateline Community Plan (inactive)","Tourist Accommodation Unit (TAU)","Washoe County, NV (WACO)","0","0","The 33 units that were in this pool were moved to the Tahoe Area Plan tourist accommodation unit pool once that area plan was adopted and this pool was made inactive. 

The units in this pool were the estimate of what was remaining at program launch and was 33 less 31 for Boulder Bay.","No"
"Tourist Accommodation Unit (TAU) - North Tahoe East Mixed Use Subdistrict","Tourist Accommodation Unit (TAU)","Placer County, CA (PLCO)","12","0","Created in 2012 when the North Stateline Community Plan (45 remaining units) was split into California North Stateline Community Plan (12 units) and Nevada North Stateline Community Plan (33 units). 

This plan was formerly called ""California North Stateline Community Plan (032)"" but in 2018 the name was changed to align with the new Placer County Area Plan.
","Yes"
"Tourist Accommodation Unit (TAU) - Ponderosa Ranch CP (inactive)","Tourist Accommodation Unit (TAU)","Washoe County, NV (WACO)","0","0","This pool became inactive once the Washoe County Tahoe Area Plan was adopted in May 2021.","No"
"Tourist Accommodation Unit (TAU) - Round Hill CP","Tourist Accommodation Unit (TAU)","Douglas County, NV (DGCO)","0","0","","Yes"
"Tourist Accommodation Unit (TAU) - South Shore Area Plan - DG","Tourist Accommodation Unit (TAU)","Douglas County, NV (DGCO)","25","0","Formerly Stateline Community Plan","Yes"
"Tourist Accommodation Unit (TAU) - South Y CP","Tourist Accommodation Unit (TAU)","City of South Lake Tahoe (CSLT)","0","0","","Yes"
"Tourist Accommodation Unit (TAU) - South Y Ind. Tract CP","Tourist Accommodation Unit (TAU)","City of South Lake Tahoe (CSLT)","0","0","","Yes"
"Tourist Accommodation Unit (TAU) - Tahoe Area Plan - WA CO","Tourist Accommodation Unit (TAU)","Washoe County, NV (WACO)","33","0","This plan was adopted by the TRPA Governing Board in May 2021 and replaces all community plans and plan area statements in Washoe County. These are considered ""Bonus"" TAUs and cannot be converted to another development right. Per the Area Plan, bonus development rights may be awarded by TRPA for proposals that remove development from sensitive lands and relocate it in Town Centers.  
NOTE: 31 of these TAUs are being reserved for Boulder Bay.","Yes"
"Tourist Accommodation Unit (TAU) - Tahoe Vista CP (inactive)","Tourist Accommodation Unit (TAU)","Placer County, CA (PLCO)","0","0","This pool became inactive with the adoption of the Placer County Area Plan.","No"
"Tourist Accommodation Unit (TAU) - Tourist Core Area Plan Pool - CSLT","Tourist Accommodation Unit (TAU)","City of South Lake Tahoe (CSLT)","25","0","Formerly Stateline/Ski Run Community Plan","Yes"
"Tourist Accommodation Unit (TAU) - TRPA Pool","Tourist Accommodation Unit (TAU)","Tahoe Regional Planning Agency (TRPA)","34","4","Can be used for transfer incentives and environmentally beneficial projects.","Yes"
"Tourist Accommodation Unit (TAU) - Unassigned to CPs","Tourist Accommodation Unit (TAU)","Tahoe Regional Planning Agency (TRPA)","40","0","","Yes"
"","","","508,243","1,782","",""
