"Pool","Development Right","Jurisdiction","Balance Remaining","# of Trans","Comments","Active?"
"Commercial Floor Area (CFA) - TRPA 2012 Regional Plan Allocation (Not for Use until 1987 CFA is used)","Commercial Floor Area (CFA)","Tahoe Regional Planning Agency (TRPA)","200,000","0","The 2012 Regional Plan provides for an allocation of 200,000 square feet of CFA that will not be made available for distribution to local jurisdictions or other use until the remaining CFA from the 1987 Regional Plan is exhausted. 
Per Section 50.4 of the TRPA Code of Ordinances.","Yes"
"Commercial Floor Area (CFA) - TRPA Special Project/CEP Pool","Commercial Floor Area (CFA)","Tahoe Regional Planning Agency (TRPA)","137,191","1","Can be used for transfer incentives. ","Yes"
"Commercial Floor Area (CFA) - Washoe non-community plan (inactive)","Commercial Floor Area (CFA)","Washoe County, NV (WACO)","0","0","The 2,000 square feet of CFA that was in this pool was moved to the Tahoe Area Plan CFA pool once that area plan was adopted and this pool was made inactive. The CFA that was in this pool was what remained upon adoption of the 2012 Regional Plan.","No"
"Mooring Allocation - Additional Marina Moorings","Mooring Allocation","Tahoe Regional Planning Agency (TRPA)","0","126","Under the Shoreline Plan adopted by the TRPA Governing Board on October 24, 2018, and per TRPA Code of Ordinances Subsection 84.3.2(E)(2), TRPA may permit a maximum of 330 additional marina moorings. Per TRPA Code of Ordinances Subsection 84.3.2(E)(2)(a), additional moorings shall be allocated for use by marinas as either buoys or boat slips.
---------------------------------------------------------------------------------------
On August 28, 2024, the TRPA Governing Board approved the Meeks Bay Restoration Project. As a mitigation measure for the project, 119 moorings were returned to the Marina pool to mitigate the loss of mooring capacity and launching capacity from the permanent closure of the Meeks Bay Marina. These moorings were to be prioritized for west shore marinas (Camp Richardson, Obexers, Homewood, Sunnyside, Tahoe City Marina), but may be used for other areas as directed by the Shoreline Steering Committee.","Yes"
"Mooring Allocation - Additional Private Moorings","Mooring Allocation","Tahoe Regional Planning Agency (TRPA)","0","344","Under the Shoreline Plan adopted by the TRPA Governing Board on October 24, 2018, and per TRPA Code of Ordinances Subsection 84.3.2(E)(2), TRPA may permit a maximum of 1,486 additional private moorings. 

Per TRPA Code of Ordinances Subsection 84.3.2(E)(2)(a), additional moorings shall be used for private moorings as either buoys or boat lifts.","Yes"
"Mooring Allocation - Additional Public Agency Moorings","Mooring Allocation","Tahoe Regional Planning Agency (TRPA)","0","13","Under the Shoreline Plan adopted by the TRPA Governing Board on October 24, 2018, and per TRPA Code of Ordinances Subsection 84.3.2(E)(2) TRPA may permit a maximum of 300 additional public agency moorings. 
Per TRPA Code of Ordinances Subsection 84.3.2(E)(2)(a), additional moorings shall be allocated for use by public agencies for use as buoys or boat slips.","Yes"
"Persons-at-one-time (PAOT) - Bijou Meadow (101)","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","0","0","","Yes"
"Persons-at-one-time (PAOT) - Bijou/Al Tahoe Community Plan (098)","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","0","0","","Yes"
"Persons-at-one-time (PAOT) - Carnelian Bay Subdivision (016B)","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","0","0","","Yes"
"Persons-at-one-time (PAOT) - County Club Meadow 9119)","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","0","0","","Yes"
