Row Labels,CY2012,CY2013,CY2014,CY2015,CY2016,CY2017,CY2018,CY2019,CY2020,CY2021,CY2022,CY2023,CY2024,CY2025
023-201-058,,,,,,,7236,7236,7236,7236,7236,7236,7236,7236
023-201-060,,,,,,,3276,3276,3276,3276,3276,3276,3276,3276
023-201-061,,,,,,,1402,1402,1402,1402,1402,1402,1402,1402
023-201-063,,,,,,,290,290,290,290,290,290,290,290
023-201-067,,,,,,,3909,3909,3909,3909,3909,3909,3909,3909
023-201-070,,,,,,,2849,2849,2849,2849,2849,2849,2849,2849
023-201-071,,,,,,,3489,3489,3489,3489,3489,3489,3489,3489
023-201-075,,,,,,,73441,73441,73441,73441,73441,73441,73441,73441
023-201-42,3077,3077,3077,3077,3077,3077,,,,,,,,
023-201-43,953,953,953,953,953,953,,,,,,,,
023-201-44,176,176,176,176,176,176,,,,,,,,
023-201-53,10701,10701,10701,10701,10701,10701,,,,,,,,
023-201-55,2610,2610,2610,2610,2610,2610,,,,,,,,
023-201-57,5763,5763,5763,5763,5763,5763,,,,,,,,
023-201-58,7236,7236,7236,7236,7236,7236,,,,,,,,
023-201-60,3276,3276,3276,3276,3276,3276,,,,,,,,
023-201-61,1402,1402,1402,1402,1402,1402,,,,,,,,
023-201-63,290,290,290,290,290,290,,,,,,,,
023-201-67,3909,3909,3909,3909,3909,3909,,,,,,,,
023-201-70,2849,2849,2849,2849,2849,2849,,,,,,,,
023-201-71,3489,3489,3489,3489,3489,3489,,,,,,,,
023-201-75,73441,73441,73441,73441,73441,73441,,,,,,,,
023-211-01,1230,1230,1230,1230,1230,1230,,,,,,,,
023-211-001,,,,,,,1230,1230,1230,1230,1230,1230,1230,1230
023-211-03,1940,1940,1940,1940,1940,1940,,,,,,,,
023-211-003,,,,,,,1940,1940,1940,1940,1940,1940,1940,1940
023-211-05,13302,13302,13302,13302,13302,13302,,,,,,,,
023-211-005,,,,,,,13302,13302,13302,13302,13302,13302,13302,13302
023-211-19,11722,11722,11722,11722,11722,11722,,,,,,,,
023-211-019,,,,,,,11722,11722,11722,11722,11722,11722,11722,11722
023-211-21,3258,3258,3258,3258,3258,3258,,,,,,,,
023-211-021,,,,,,,3258,3258,3258,3258,3258,3258,3258,3258
023-211-25,8305,8305,8305,8305,8305,8305,,,,,,,,
023-211-28,4680,4680,4680,4680,4680,4680,,,,,,,,
023-211-025,,,,,,,8305,8305,8305,8305,8305,8305,8305,8305
023-211-028,,,,,,,4680,4680,4680,4680,4680,4680,4680,4680
023-211-032,,,,,,,3475,3475,3475,3475,3475,3475,3475,3475
023-211-036,,,,,,,1208,1208,1208,1208,1208,1208,1208,1208
023-211-037,,,,,,,2424,2424,2424,2424,2424,2424,2424,2424
023-211-039,,,,,,,1441,1441,1441,1441,1441,1441,1441,1441
023-211-040,,,,,,,4212,4212,4212,4212,4212,4212,4212,4212
023-211-042,,,,,,,1559,1559,1559,1559,1559,1559,1559,1559
023-211-045,,,,,,,358,358,358,358,358,358,358,358
023-211-047,,,,,,,7992,7992,7992,7992,7992,7992,7992,7992
023-211-048,,,,,,,7654,7654,7654,7654,7654,7654,7654,7654
023-211-049,,,,,,,1303,1303,1303,1303,1303,1303,1303,1303
023-211-32,3475,3475,3475,3475,3475,3475,,,,,,,,
023-211-36,1208,1208,1208,1208,1208,1208,,,,,,,,
023-211-37,2424,2424,2424,2424,2424,2424,,,,,,,,
023-211-39,1441,1441,1441,1441,1441,1441,,,,,,,,
023-211-40,4212,4212,4212,4212,4212,4212,,,,,,,,
023-211-42,1559,1559,1559,1559,1559,1559,,,,,,,,
023-211-45,358,358,358,358,358,358,,,,,,,,
023-211-47,7992,7992,7992,7992,7992,7992,,,,,,,,
023-211-48,7654,7654,7654,7654,7654,7654,,,,,,,,
