APN,Year,Tourist_Units,CommercialFloorArea_SqFt
023-171-023,2018,0,12784.0
023-171-023,2019,0,12784.0
023-171-023,2020,0,12784.0
023-171-023,2021,0,12784.0
023-171-023,2022,0,12784.0
023-171-023,2023,0,12784.0
023-171-023,2024,0,12784.0
023-171-024,2018,0,7075.0
023-171-024,2019,0,7075.0
023-171-024,2020,0,7075.0
023-171-024,2021,0,7075.0
023-171-024,2022,0,7075.0
023-171-024,2023,0,7075.0
023-171-024,2024,0,7075.0
023-171-10,2012,0,734.0
023-171-11,2012,0,3425.0
023-171-18,2012,0,3608.0
023-171-23,2012,0,12784.0
023-171-24,2012,0,7075.0
023-172-001,2018,0,7843.0
023-172-001,2019,0,7843.0
023-172-001,2020,0,7843.0
023-172-001,2021,0,7843.0
023-172-001,2022,0,7843.0
023-172-001,2023,0,7843.0
023-172-001,2024,0,7843.0
023-172-01,2012,0,7843.0
023-172-022,2018,0,1067.0
023-172-022,2019,0,1067.0
023-172-022,2020,0,1067.0
023-172-022,2021,0,1067.0
023-172-022,2022,0,1067.0
023-172-022,2023,0,1067.0
023-172-022,2024,0,1067.0
023-172-034,2018,0,2557.0
023-172-034,2019,0,2557.0
023-172-034,2020,0,2557.0
023-172-034,2021,0,2557.0
023-172-034,2022,0,2557.0
023-172-034,2023,0,2557.0
023-172-034,2024,0,2557.0
023-172-035,2018,0,100.0
023-172-035,2019,0,100.0
023-172-035,2020,0,100.0
023-172-035,2021,0,100.0
023-172-035,2022,0,100.0
023-172-035,2023,0,100.0
023-172-035,2024,0,100.0
023-172-22,2012,0,1067.0
023-172-34,2012,0,2557.0
023-172-35,2012,0,100.0
023-181-010,2018,0,7668.0
023-181-010,2019,0,7668.0
023-181-010,2020,0,7668.0
023-181-010,2021,0,7668.0
023-181-010,2022,0,7668.0
023-181-010,2023,0,7668.0
023-181-010,2024,0,7668.0
023-181-019,2018,0,2483.0
023-181-019,2019,0,2483.0
023-181-019,2020,0,2483.0
023-181-019,2021,0,2483.0
023-181-019,2022,0,2483.0
023-181-019,2023,0,2483.0
023-181-019,2024,0,2483.0
023-181-022,2018,0,2814.0
023-181-022,2019,0,2814.0
023-181-022,2020,0,2814.0
023-181-022,2021,0,2814.0
023-181-022,2022,0,2814.0
023-181-022,2023,0,2814.0
023-181-022,2024,0,2814.0
023-181-038,2018,0,2520.0
023-181-038,2019,0,2520.0
023-181-038,2020,0,2520.0
023-181-038,2021,0,2520.0
023-181-038,2022,0,2520.0
023-181-038,2023,0,2520.0
023-181-038,2024,0,2520.0
023-181-043,2018,0,3924.0
023-181-043,2019,0,3924.0
023-181-043,2020,0,3924.0
023-181-043,2021,0,3924.0
023-181-043,2022,0,3924.0
023-181-043,2023,0,3924.0
023-181-043,2024,0,3924.0
023-181-047,2018,0,1716.0
023-181-047,2019,0,1716.0
023-181-047,2020,0,1716.0
023-181-047,2021,0,1716.0
023-181-047,2022,0,1716.0
023-181-047,2023,0,1716.0
023-181-047,2024,0,1716.0
023-181-10,2012,0,7668.0
